Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Market Capitalization,104,116,112,112,106,94,103,142,147,147,149,152,158,118,187,208,-,-,-
Market Cap Growth,-,23.85%,8.04%,-21.22%,-27.67%,-36.40%,-30.65%,-6.67%,-7.27%,24.18%,-20.56%,-27.14%,-,-,-,-,-,-,-
Enterprise Value,135,150,139,134,117,106,107,148,154,163,143,140,126,87,170,148,3,-,-8
PE Ratio,-6.95,-6.95,-5.45,-6.59,-6.08,-5.76,-6.20,-7.36,-8.67,-6.53,-5.95,-7.38,-6.12,-5.47,-9.70,-9.49,-,-,-
PS Ratio,0.65,0.69,0.68,0.66,0.61,0.54,0.59,0.85,0.91,0.96,1.01,1.08,1.14,0.86,1.39,1.55,-,-,-
PB Ratio,0.96,1.00,1.00,0.94,0.79,0.62,0.60,0.80,0.79,0.81,0.76,0.76,0.79,0.60,0.88,0.68,-,-,-
Debt / Equity Ratio,0.34,0.34,0.33,0.29,0.24,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.13,0.11,0.10,0.06,0.09,-,0.08
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,49.60%,-,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-4807.70%,0.00%,0.00%,0.00%,0.00%
Total Shareholder Return,-,-,-,-,-,-,-,-,-,-,-,-,-,49.60%,-,-,-,-,
