Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+66 Quarters
Market Capitalization,432,507,789,688,646,679,720,700,669,732,531,398,448,457,760,511,531,524,491,645,682,631,585,543,524,535,547,353,339,322,384,302,255,242,233,217,215,212,217,201,184,Upgrade
Market Cap Growth,-,-25.31%,9.69%,-1.74%,-3.42%,-7.24%,35.41%,75.72%,49.21%,60.31%,-30.03%,-22.07%,-15.55%,-12.82%,54.76%,-20.71%,-22.19%,-16.92%,-16.14%,18.85%,30.26%,17.87%,6.93%,53.58%,54.63%,66.39%,42.66%,17.15%,32.91%,32.87%,64.44%,39.31%,18.30%,13.94%,7.47%,7.45%,16.88%,19.85%,18.16%,10.42%,7.88%,Upgrade
Enterprise Value,31,107,522,46,-191,-498,-547,-881,-620,-671,-560,-522,-438,53,342,135,294,328,366,303,498,368,308,236,297,247,281,9,180,178,43,-90,124,90,111,62,166,127,104,160,108,Upgrade
PE Ratio,5.95,6.99,11.86,11.52,11.67,13.76,15.09,15.44,15.62,16.40,15.06,13.57,15.23,15.14,18.77,10.65,10.81,13.55,13.89,27.61,34.87,24.16,24.56,18.22,19.07,19.96,21.16,15.61,17.48,19.35,26.09,21.46,17.97,18.25,18.79,17.63,17.68,17.88,19.38,18.85,18.20,Upgrade
PS Ratio,2.16,2.54,4.17,3.89,3.85,4.21,4.53,4.52,4.45,4.92,3.84,2.86,3.28,3.38,5.38,3.70,3.81,4.01,3.95,5.46,6.11,5.57,5.27,5.04,5.03,5.20,5.39,3.52,3.49,3.54,4.50,3.83,3.51,3.52,3.58,3.48,3.51,3.55,3.73,3.54,3.33,Upgrade
PB Ratio,0.67,0.78,1.25,1.13,1.06,1.13,1.20,1.19,1.15,1.26,0.92,0.69,0.78,0.80,1.32,1.29,1.37,1.38,1.34,1.82,1.97,2.33,2.16,1.97,1.95,2.03,2.11,1.35,1.32,1.28,1.56,1.22,1.36,1.30,1.26,1.18,1.19,1.20,1.25,1.18,1.10,Upgrade
Debt / Equity Ratio,0.52,0.52,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.10,0.10,0.11,0.11,0.11,0.14,0.14,0.14,0.15,-,-,-,-,-,0.01,0.00,-,-,-,-,-,-,-,-,0.06,Upgrade
Dividend Yield,7.34%,1.56%,1.00%,1.15%,1.22%,1.16%,1.09%,1.12%,1.17%,1.06%,1.47%,1.95%,1.73%,1.69%,0.94%,1.02%,0.98%,0.99%,0.97%,0.74%,0.65%,0.67%,0.65%,0.70%,0.73%,0.71%,0.62%,0.82%,0.85%,0.90%,0.67%,0.71%,0.83%,0.88%,0.57%,0.61%,0.49%,0.50%,0.36%,0.39%,-,Upgrade
Payout Ratio,43.70%,41.90%,38.20%,43.30%,54.20%,61.90%,56.50%,56.50%,86.70%,68.40%,68.40%,68.40%,72.20%,433.30%,200.00%,46.20%,46.20%,42.90%,35.50%,37.90%,550.00%,47.80%,250.00%,45.50%,50.00%,58.80%,47.40%,50.00%,47.40%,56.20%,72.70%,80.00%,57.10%,61.50%,45.50%,45.50%,40.00%,40.00%,30.00%,30.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.87%,-0.87%,-0.74%,-0.77%,-0.56%,-0.75%,-0.59%,-0.55%,-0.61%,-0.62%,-1.21%,-37.65%,-37.84%,-37.53%,-36.79%,-0.64%,-7.91%,-13.15%,-13.30%,-13.35%,-5.65%,-0.85%,-0.72%,-18.07%,-18.16%,-18.13%,-18.24%,-21.43%,-21.30%,-21.19%,-21.40%,-0.86%,-0.58%,-0.58%,-0.29%,-0.12%,-0.14%,-0.07%,-0.10%,-0.17%,-0.18%,Upgrade
Total Shareholder Return,6.47%,0.69%,0.26%,0.38%,0.66%,0.40%,0.50%,0.57%,0.56%,0.44%,0.26%,-35.70%,-36.11%,-35.83%,-35.85%,0.38%,-6.94%,-12.16%,-12.33%,-12.62%,-5.00%,-0.18%,-0.07%,-17.37%,-17.43%,-17.42%,-17.61%,-20.61%,-20.44%,-20.29%,-20.74%,-0.15%,0.26%,0.29%,0.28%,0.49%,0.35%,0.42%,0.27%,0.22%,-0.18%,Upgrade
