Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30
Market Capitalization,"1,209","1,228","1,249","1,161","1,200","1,362","1,328","1,290","1,275","1,201","1,100",926,900,658,"1,330","1,193","1,125","1,091",957,"1,027","1,033",999,"1,027","1,079","1,100","1,039",982,877,824,807,833,790,842,847,865,765,774
Market Cap Growth,-,-9.82%,-5.95%,-9.97%,-5.93%,13.45%,20.70%,39.34%,41.77%,82.35%,-17.27%,-22.39%,-20.03%,-39.67%,38.87%,16.09%,8.92%,9.29%,-6.79%,-4.74%,-6.08%,-3.87%,4.64%,22.94%,33.43%,28.65%,17.79%,10.99%,-2.07%,-4.64%,-3.69%,3.35%,8.77%,-,-,-,-
Enterprise Value,"3,155","3,176","3,158","3,077","3,158","3,269","3,177","3,015","3,064","2,906","2,819","2,645","2,575","2,601","3,223","2,934","2,625","2,534","2,292","2,235","2,077","1,944","1,862","1,866","1,929","1,855","1,632","1,531","1,497","1,488","1,531","1,438","1,385","1,489","1,512","1,346","1,320"
PE Ratio,15.14,14.78,16.71,10.36,9.50,7.32,6.59,5.99,4.53,4.25,18.81,67.26,-17.64,-6.35,11.81,13.29,12.09,11.81,13.23,10.21,10.47,9.71,9.39,9.27,9.42,7.75,8.79,15.18,19.38,44.63,25.29,17.95,20.21,18.80,18.99,10.55,9.38
PS Ratio,3.80,3.87,4.24,4.02,4.30,5.00,4.90,4.76,4.76,4.49,4.02,3.32,3.15,2.30,4.81,4.47,4.42,4.50,4.14,4.64,4.87,4.82,5.19,5.73,6.15,6.10,5.84,5.28,5.09,5.10,5.42,5.32,5.77,5.98,6.38,6.09,6.85
PB Ratio,0.91,0.93,0.95,0.87,0.89,1.01,1.00,1.00,0.99,0.97,0.90,0.78,0.80,0.61,1.04,1.02,1.04,1.01,0.95,0.99,1.00,0.97,0.99,1.05,1.07,1.10,1.05,1.03,0.98,0.98,1.00,0.90,1.04,1.05,1.08,1.02,1.01
Debt / Equity Ratio,1.50,1.50,1.51,1.48,1.48,1.44,1.44,1.41,1.41,1.41,1.47,1.51,1.54,1.82,1.51,1.55,1.47,1.39,1.38,1.31,1.04,0.94,0.84,0.80,0.84,0.90,0.74,0.83,0.84,0.87,0.87,0.76,0.70,0.82,0.84,0.80,0.74
Dividend Yield,10.36%,3.22%,3.13%,2.95%,2.85%,2.46%,2.50%,2.56%,2.59%,2.75%,3.00%,3.57%,3.67%,5.68%,2.76%,2.86%,2.95%,2.99%,3.32%,2.96%,2.82%,2.92%,2.84%,2.70%,2.63%,2.60%,2.70%,2.76%,2.93%,3.00%,2.91%,2.84%,2.64%,2.62%,2.51%,3.57%,2.39%
Payout Ratio,149.40%,72.70%,213.30%,375.00%,187.50%,81.10%,55.60%,130.40%,38.50%,56.60%,44.10%,33.00%,38.00%,-19.10%,161.90%,125.90%,117.20%,60.70%,-1700.00%,97.10%,113.30%,109.70%,97.10%,103.00%,94.40%,77.30%,68.00%,87.20%,48.60%,261.50%,-94.40%,200.00%,97.10%,85.00%,-161.90%,328.60%,73.90%
Buyback Yield / Dilution,-10.67%,-10.67%,-10.46%,-3.56%,-3.42%,-1.44%,-0.38%,-0.07%,-0.00%,-,-1.92%,-9.82%,-12.68%,-14.84%,-15.45%,-12.15%,-13.91%,-11.78%,-9.23%,-4.53%,-0.65%,-7.81%,-9.84%,-20.19%,-19.81%,-11.70%,-9.32%,-7.79%,-8.89%,-9.19%,-11.72%,-11.32%,-20.30%,-38.57%,-81.94%,-32.55%,-26.46%
Total Shareholder Return,-0.31%,-7.45%,-7.33%,-0.61%,-0.58%,1.02%,2.11%,2.49%,2.59%,2.75%,1.08%,-6.25%,-9.01%,-9.16%,-12.68%,-9.29%,-10.96%,-8.79%,-5.91%,-1.58%,2.17%,-4.89%,-7.01%,-17.50%,-17.18%,-9.10%,-6.62%,-5.04%,-5.95%,-6.19%,-8.81%,-8.48%,-17.66%,-35.95%,-79.43%,-28.98%,-24.07%
