Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Market Capitalization,375,427,368,337,395,541,556,490,470,446,402,340,316,176,354,409,353,341,269,242,221,212,225,215,213,223,188,172,173,171,199,169,224,140,147,144,161,-
Market Cap Growth,-,-21.14%,-33.87%,-31.16%,-15.81%,21.33%,38.43%,44.25%,48.58%,153.46%,13.56%,-16.99%,-10.51%,-48.37%,31.46%,69.53%,60.06%,60.93%,19.81%,12.52%,3.61%,-4.89%,19.56%,24.79%,23.02%,30.15%,-5.77%,1.93%,-22.67%,22.24%,35.81%,17.04%,38.78%,-,-,-,-,-
Enterprise Value,927,982,876,835,849,907,965,819,703,671,618,569,594,490,663,593,488,453,355,300,369,363,354,304,243,326,341,261,259,227,232,185,187,242,250,243,221,-51
PE Ratio,-23.60,-23.60,-18.33,60.51,8.99,7.69,7.27,7.27,10.91,8.54,11.39,9.39,24.44,11.31,11.15,11.56,6.40,8.59,7.37,7.77,9.24,9.06,11.69,9.62,7.08,10.05,16.90,40.95,-113.90,30.98,12.85,8.32,11.63,8.22,9.05,-,-,-
PS Ratio,2.96,3.40,3.08,3.06,3.88,5.71,6.37,5.77,5.41,4.94,4.41,3.82,3.87,2.29,4.82,5.86,4.91,4.91,4.17,4.17,4.35,4.25,4.36,4.20,4.01,4.75,4.31,3.87,4.21,3.95,4.74,4.08,5.60,3.98,5.51,-,-,-
PB Ratio,0.90,1.03,0.88,0.75,0.98,1.26,1.28,1.14,1.17,1.11,1.00,0.83,0.78,0.45,1.07,1.22,1.00,1.01,0.81,0.72,0.92,0.90,0.96,1.00,0.98,1.04,0.87,0.80,0.82,0.78,0.86,0.70,0.93,0.59,1.01,1.00,1.13,-
Debt / Equity Ratio,1.48,1.48,1.35,1.14,1.23,0.97,1.08,0.82,0.66,0.85,0.65,0.62,0.74,1.01,1.01,0.73,0.45,0.46,0.29,0.22,0.67,0.72,0.59,0.46,0.52,0.65,0.78,0.51,0.50,0.32,0.31,0.28,0.25,0.50,0.81,0.75,0.48,0.14
Dividend Yield,15.03%,3.31%,4.51%,3.56%,2.83%,2.06%,2.00%,2.27%,2.37%,2.49%,3.53%,3.26%,3.50%,6.11%,2.53%,2.19%,2.53%,2.62%,3.50%,3.23%,2.90%,3.01%,2.77%,2.69%,2.70%,2.58%,3.06%,3.37%,3.39%,3.43%,2.99%,3.55%,2.66%,2.64%,3.44%,2.19%,2.38%,-
Payout Ratio,-274.10%,181.80%,-134.30%,3600.00%,-78.30%,200.00%,81.80%,28.60%,92.30%,94.70%,287.50%,76.60%,52.20%,-211.80%,156.50%,-102.90%,37.50%,80.00%,131.40%,72.00%,76.60%,80.00%,163.60%,156.50%,72.00%,150.00%,83.70%,50.70%,-,-80.00%,-900.00%,105.90%,83.70%,133.30%,104.10%,68.10%,79.60%,0.00%
Buyback Yield / Dilution,-13.99%,-13.99%,-13.95%,-7.81%,-0.39%,-0.42%,-0.49%,-0.53%,-0.55%,-3.34%,-23.85%,-23.84%,-23.85%,-20.58%,-21.54%,-14.90%,-39.84%,-39.77%,-18.48%,-35.06%,-10.96%,-10.94%,-8.36%,0.42%,1.77%,1.97%,3.81%,3.35%,1.69%,-58.50%,-67.66%,-68.63%,-68.25%,-4.50%,-,-,-,-
Total Shareholder Return,1.14%,-10.68%,-9.44%,-4.25%,2.44%,1.64%,1.52%,1.74%,1.82%,-0.85%,-20.32%,-20.58%,-20.34%,-14.47%,-19.01%,-12.71%,-37.31%,-37.16%,-14.98%,-31.84%,-8.07%,-7.93%,-5.59%,3.11%,4.48%,4.55%,6.87%,6.72%,5.08%,-55.07%,-64.66%,-65.08%,-65.59%,-1.86%,3.44%,2.19%,2.38%,-
