Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30
Market Capitalization,112,-,128,148,164,153,153,146,129,127,127,104,106,146,148,143,140,131,150,153,142,134,135,134,131,126,120,120,108,103,110,113,-,-
Market Cap Growth,-,-,-16.33%,1.03%,27.49%,20.07%,20.41%,39.89%,20.83%,-12.97%,-14.01%,-26.95%,-23.97%,11.95%,-1.54%,-6.62%,-1.27%,-2.40%,10.64%,14.00%,7.90%,6.09%,12.42%,11.99%,22.11%,22.39%,9.41%,5.86%,-,-,-,-,-,-
Enterprise Value,166,55,185,199,215,213,208,199,168,168,136,132,115,164,173,167,172,179,195,198,161,160,172,183,181,184,152,177,154,124,164,148,12,16
PE Ratio,29.43,0,22.71,-43.64,41.37,17.16,12.53,9.83,8.83,4.91,4.85,2.41,-1.66,19.53,16.79,9.95,9.20,-53.61,13.66,0,13.44,13.62,10.98,9.81,10.72,15.58,10.37,9.36,-38.22,-62.37,11.36,0,0,0
PS Ratio,19.62,0,67.39,-637.53,114.39,59.92,44.36,33.65,31.54,18.04,17.60,9.28,-6.79,14.95,55.60,35.09,32.97,-1202.41,47.26,0,46.21,45.28,37.36,34.79,37.39,54.13,35.84,33.10,-169.35,-466.14,38.92,0,0,0
PB Ratio,0.75,0,0.87,0.99,1.08,1.00,0.99,1.02,0.91,0.90,0.93,0.78,0.85,1.02,1.03,1.00,0.99,0.93,1.04,1.06,1.00,0.95,0.96,0.96,0.94,0.91,0.87,0.87,0.78,0.73,0.77,0.79,0,0
Debt / Equity Ratio,0.41,0.41,0.44,0.36,0.39,0.42,0.36,0.74,0.28,0.34,0.09,0.31,0.08,0.15,0.19,0.18,0.28,0.40,0.32,0.32,0.29,0.21,0.27,0.36,0.39,0.49,0.33,0.45,0.38,0.37,0.41,0.35,0.29,0.25
Current Ratio,1.03,1.03,59.00,88.90,805.40,0.76,0,74.92,66.66,3.04,78.87,1.47,352.95,0.72,2.10,3.24,7.34,1.45,2.88,3.09,0.14,0.75,3.61,4.56,6.49,1.38,0.70,4.34,6.84,0.26,6.11,0.54,0.68,19.05
Asset Turnover,-,0.01,0.00,0.01,0.01,0.02,0.02,0.02,0.04,0.05,0.06,-0.12,0.06,0.02,0.02,0.02,0.00,0.02,0,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.00,0.00,0.01,0,-,0,
Return on Equity (ROE),-,0.96%,-0.57%,0.65%,1.45%,1.97%,2.59%,2.56%,4.60%,4.77%,8.14%,-12.89%,1.31%,1.54%,2.51%,2.68%,-0.43%,1.90%,0.00%,1.87%,1.74%,2.19%,2.44%,2.20%,1.46%,2.09%,2.32%,-0.51%,-0.29%,1.68%,0.00%,-,0.00%,
Return on Assets (ROA),-,0.66%,-0.42%,0.47%,1.02%,1.45%,1.49%,1.99%,3.44%,4.36%,6.23%,-11.91%,1.14%,1.30%,2.14%,2.10%,-0.31%,1.44%,0.00%,1.45%,1.44%,1.73%,1.79%,1.59%,0.98%,1.58%,1.59%,-0.37%,-0.21%,1.19%,0.00%,-,0.00%,
Return on Capital (ROIC),-,1.02%,-0.18%,0.67%,1.22%,1.60%,1.60%,2.16%,3.70%,4.54%,6.97%,-11.80%,1.53%,1.46%,2.37%,2.56%,-0.02%,1.73%,-,1.84%,1.66%,1.98%,2.06%,1.95%,1.30%,2.01%,1.89%,-0.39%,-0.26%,1.46%,-,-,-,
Earnings Yield,3.41%,-,1.10%,-0.57%,0.60%,1.46%,2.00%,2.54%,2.83%,5.09%,5.15%,10.38%,-15.10%,1.28%,1.49%,2.51%,2.72%,-0.47%,1.83%,0.00%,1.86%,1.83%,2.28%,2.55%,2.33%,1.61%,2.41%,2.67%,-0.65%,-0.40%,2.20%,0.00%,-,-
FCF Yield,34.37%,0.00%,-,-,-,-,-,-,-,-,-,-2.52%,-,5.90%,-,22.79%,-,-0.36%,-,-7.97%,-,19.19%,-,11.76%,-,1.05%,-,-24.17%,-,-,-,-,0.00%,0.00%
Dividend Yield,10.51%,-,-,-,-,-,-,-,-,-,-,7.08%,-,1.68%,-,5.77%,-,1.87%,-,4.79%,-,1.81%,-,5.24%,-,1.85%,-,5.63%,-,-,-,-,-,-
Payout Ratio,0.00%,0.00%,-,-,-,-,-,-,-,-,-,68.22%,-,131.02%,-,229.57%,-,-400.90%,-,0.00%,-,98.50%,-,205.67%,-,115.51%,-,210.70%,-,-,-,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-6.89%,-6.89%,-15.82%,-17.29%,-5.20%,-6.00%,-1.06%,0.91%,-0.82%,1.83%,-0.16%,-0.02%,3.11%,0.42%,1.95%,0.58%,-4.73%,-1.90%,-1.60%,-1.17%,4.25%,-1.69%,-0.68%,-4.85%,-6.74%,1.43%,0.15%,-,-,-,-,-,-,-
Total Shareholder Return,3.76%,-6.89%,-15.82%,-17.29%,-5.20%,-6.00%,-1.06%,0.91%,-0.82%,1.83%,-0.16%,7.06%,3.11%,2.10%,1.95%,6.35%,-4.73%,-0.03%,-1.60%,3.62%,4.25%,0.12%,-0.68%,0.39%,-6.74%,3.29%,0.15%,5.63%,-,-,-,-,-,-
