Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,187,213,246,234,281,298,200,199,196,202,180,122,158,149,294,274,239,247,251,290,269,-,-
Market Cap Growth,-,-28.58%,22.95%,17.87%,43.42%,47.14%,11.67%,62.38%,24.01%,36.33%,-38.98%,-55.25%,-33.81%,-39.77%,17.22%,-5.62%,-11.33%,-,-,-,-,-,-
Enterprise Value,78,104,159,98,8,-46,-95,-166,-194,-173,-39,-111,-22,-19,21,-47,-97,-73,-68,-19,-45,-245,-240
PE Ratio,7.22,7.73,9.13,9.62,12.45,13.16,9.69,10.05,11.11,13.11,13.08,8.89,9.82,9.77,16.99,17.83,17.93,16.05,17.32,26.28,25.14,-,-
PS Ratio,1.83,2.08,2.39,2.42,3.06,3.31,2.40,2.43,2.48,2.66,2.34,1.57,2.00,1.87,3.91,3.94,3.75,4.11,4.39,5.28,4.95,-,-
PB Ratio,0.60,0.68,0.78,0.75,0.88,0.92,0.76,0.77,0.78,0.80,0.71,0.48,0.63,0.59,1.16,1.14,1.02,1.20,1.25,1.47,1.39,-,-
Debt / Equity Ratio,0.28,0.28,0.28,0.28,0.26,0.27,0.32,0.32,0.33,0.35,0.35,0.37,0.15,0.49,0.09,0.08,0.08,0.08,0.04,0.03,0.03,0.09,0.10
Dividend Yield,1.66%,0.60%,0.26%,0.28%,0.24%,0.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,12.00%,18.20%,8.10%,9.30%,13.20%,9.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.42%,-0.42%,-21.32%,-24.45%,-24.63%,-12.18%,8.12%,9.88%,9.41%,8.67%,8.36%,1.63%,-5.63%,-13.33%,-16.58%,-10.97%,-20.25%,-44.98%,-49.73%,-58.20%,-47.44%,-38.82%,-33.58%
Total Shareholder Return,1.24%,0.18%,-21.06%,-24.17%,-24.38%,-11.97%,8.12%,9.88%,9.41%,8.67%,8.36%,1.63%,-5.63%,-13.33%,-16.58%,-10.97%,-20.25%,-44.98%,-49.73%,-58.20%,-47.44%,-38.82%,-33.58%
