Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31,2017-12-31,2017-01-01
Market Capitalization,"3,988","4,440","5,813","13,731","12,747","13,863","17,187","27,824","35,753","34,639",-,-,-,-,-,-,-,-
Market Cap Growth,-,-67.97%,-66.18%,-50.65%,-64.35%,-59.98%,-,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"2,337","2,788","4,585","11,992","9,725","11,097","15,942","25,622","33,173","31,963",-347,"-2,765",-,"-2,538",-,"-1,613",-101,-340
PE Ratio,3.02,3.56,3.33,6.00,4.76,5.28,6.62,12.24,17.88,18.34,-,-,-,-,-,-,-,-
PS Ratio,0.48,0.53,0.68,1.43,1.28,1.44,1.87,3.20,4.33,4.35,-,-,-,-,-,-,-,-
PB Ratio,0.30,0.33,0.45,0.96,0.83,0.95,1.21,2.02,2.71,2.78,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.63,0.63,0.68,0.59,0.55,0.51,0.45,0.44,0.40,0.36,0.52,0.32,-,0.30,-,0.44,1.19,1.27
Dividend Yield,12.68%,3.87%,-,2.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,86.20%,-294.50%,0.00%,168.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-,-
Buyback Yield / Dilution,7.06%,7.06%,7.06%,7.06%,7.06%,-0.94%,-0.94%,-0.94%,-0.94%,-,-,-,-,-,-,-,-,-
Total Shareholder Return,19.74%,10.93%,7.06%,9.73%,7.06%,-0.94%,-0.94%,-0.94%,-0.94%,-,-,-,-,-,-,-,-,-
