Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+65 Quarters
Market Capitalization,634,875,"1,228","1,130","1,164","1,371","1,422","1,338","1,398","1,250",478,344,451,420,665,587,585,581,505,657,711,664,690,669,656,689,662,499,496,532,529,464,313,302,312,275,279,310,291,199,202,Upgrade
Market Cap Growth,-,-36.13%,-13.68%,-15.54%,-16.77%,9.61%,197.70%,288.82%,210.20%,197.82%,-28.16%,-41.33%,-22.94%,-27.79%,31.83%,-10.70%,-17.80%,-12.38%,-26.87%,-1.85%,8.44%,-3.71%,4.13%,33.98%,32.33%,29.64%,25.23%,7.62%,58.65%,75.86%,69.74%,68.64%,12.05%,-2.61%,7.26%,38.35%,38.15%,60.80%,62.23%,-2.02%,-0.44%,Upgrade
Enterprise Value,"1,731","1,972","2,451","1,700","1,246","1,251","1,319",997,510,"1,503","1,712",-24,425,600,"1,109",911,786,931,529,877,987,"1,164","1,226","1,188","1,264","1,239","1,240",949,910,"1,044",987,591,524,507,525,447,459,512,434,270,299,Upgrade
PE Ratio,4.07,5.91,8.45,8.04,8.34,9.00,14.71,20.14,31.83,198.86,12.73,10.44,13.73,13.27,18.38,11.42,13.30,14.51,12.86,35.61,33.34,28.31,33.59,18.28,18.21,19.13,18.67,14.55,14.86,21.29,25.06,26.85,21.91,16.68,22.65,20.85,24.36,29.89,22.19,15.42,15.37,Upgrade
PS Ratio,1.53,2.12,2.98,2.77,2.80,3.14,3.62,3.98,5.14,6.56,2.77,2.27,3.04,3.00,4.68,3.73,3.79,3.94,3.44,4.85,5.40,4.91,5.26,4.92,4.92,5.18,5.04,3.87,3.88,4.57,5.05,4.93,3.81,3.85,4.25,3.98,4.34,5.19,5.04,3.56,3.69,Upgrade
PB Ratio,0.53,0.74,1.05,0.99,1.02,1.19,1.19,1.11,1.16,1.07,0.68,0.67,0.90,0.85,1.34,1.21,1.23,1.25,1.11,1.49,1.62,1.53,1.61,1.51,1.51,1.61,1.62,1.38,1.39,1.52,1.55,1.36,0.94,1.68,1.78,1.57,1.61,1.86,1.82,1.67,1.72,Upgrade
Debt / Equity Ratio,1.48,1.48,1.19,0.77,0.32,0.27,0.24,0.24,0.25,0.79,2.11,0.67,0.92,0.84,1.13,0.94,0.76,0.97,0.70,0.78,0.87,1.38,1.47,1.37,1.59,1.44,1.69,1.42,1.38,1.65,1.65,0.69,0.86,1.41,1.52,1.26,1.41,1.47,1.19,0.91,1.17,Upgrade
Dividend Yield,6.23%,1.06%,0.75%,0.82%,0.81%,0.69%,0.68%,0.73%,0.71%,0.80%,0.99%,1.38%,1.05%,1.13%,0.69%,0.78%,0.78%,0.78%,0.90%,0.69%,0.64%,0.69%,0.66%,0.68%,0.69%,0.66%,0.61%,0.80%,0.81%,0.75%,0.76%,0.86%,0.86%,0.89%,0.86%,0.97%,0.96%,0.86%,0.88%,1.07%,1.02%,Upgrade
Payout Ratio,25.10%,26.10%,24.20%,24.50%,25.50%,29.30%,28.90%,27.00%,20.20%,-36.40%,141.20%,36.40%,43.60%,64.90%,-71.90%,32.90%,43.40%,35.40%,33.30%,69.70%,67.60%,37.70%,-65.70%,47.90%,51.10%,48.90%,45.10%,46.00%,45.10%,46.90%,46.90%,51.10%,575.00%,56.10%,65.70%,54.80%,62.20%,575.00%,71.90%,67.60%,63.90%,Upgrade
Buyback Yield / Dilution,2.82%,2.82%,4.65%,5.79%,5.63%,4.44%,-104.73%,-107.51%,-110.73%,-109.09%,0.38%,0.50%,0.61%,0.02%,-0.22%,-0.30%,-0.31%,-0.33%,-0.42%,-0.37%,-0.44%,-0.45%,-12.76%,-12.83%,-12.86%,-12.86%,-0.54%,-0.54%,-49.09%,-49.08%,-49.21%,-49.32%,-0.71%,-0.71%,-4.25%,-25.77%,-29.57%,-29.50%,-26.92%,-6.23%,-4.38%,Upgrade
Total Shareholder Return,9.04%,3.88%,5.40%,6.61%,6.44%,5.13%,-104.05%,-106.77%,-110.02%,-108.29%,1.37%,1.88%,1.66%,1.15%,0.47%,0.48%,0.47%,0.45%,0.48%,0.32%,0.20%,0.24%,-12.11%,-12.15%,-12.17%,-12.20%,0.06%,0.27%,-48.28%,-48.32%,-48.46%,-48.46%,0.15%,0.18%,-3.39%,-24.80%,-28.61%,-28.64%,-26.03%,-5.16%,-3.36%,Upgrade
