Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Market Capitalization,58,70,59,49,55,72,112,148,75,119,47,33,36,29,54,37,24,38,41,30,-,-,-,-,-
Market Cap Growth,-,-3.46%,-47.47%,-66.84%,-26.46%,-39.21%,138.56%,354.50%,107.02%,310.74%,-13.10%,-12.70%,48.71%,-24.74%,32.03%,26.57%,-,-,-,-,-,-,-,-,-
Enterprise Value,40,52,41,31,38,56,99,132,59,105,34,20,26,21,46,29,15,29,31,20,-10,-,-,-,-10
PE Ratio,36.75,35.47,22.02,13.97,48.12,102.01,79.16,84.87,12.82,17.06,8.79,8.29,20.42,-144.63,-507.75,1197.78,93.01,29.35,33.29,25.73,-,-,-,-,-
PS Ratio,1.61,1.94,1.63,1.33,1.46,1.92,2.93,3.82,1.88,3.02,1.32,1.04,1.35,1.18,2.18,1.45,0.90,1.40,1.47,1.03,-,-,-,-,-
PB Ratio,1.94,2.33,1.99,1.68,1.90,2.56,4.62,6.37,2.97,4.82,2.04,1.52,1.89,1.68,3.11,2.16,1.42,2.21,2.38,1.71,-,-,-,-,-
Debt / Equity Ratio,0.05,0.05,0.06,0.06,0.07,0.10,0.12,0.08,0.08,0.09,0.11,0.09,0.09,0.11,0.11,0.12,0.04,0.04,0.04,0.04,0.05,-,-,-,0.05
Current Ratio,7.09,7.09,6.22,5.67,5.25,6.27,4.74,3.22,4.76,6.77,4.86,4.30,4.88,5.27,5.37,4.83,4.82,4.49,3.68,3.48,3.23,-,-,-,4.35
Buyback Yield / Dilution,-4.14%,-4.14%,-4.93%,-5.01%,-5.15%,-0.93%,-,-,7.64%,-2.83%,-2.83%,-0.23%,-8.76%,2.31%,2.31%,-0.23%,-26.15%,-15.18%,-29.56%,-,-,-,-,-,-
Total Shareholder Return,-4.14%,-4.14%,-4.93%,-5.01%,-5.15%,-0.93%,-,-,7.64%,-2.83%,-2.83%,-0.23%,-8.76%,2.31%,2.31%,-0.23%,-26.15%,-15.18%,-29.56%,-,-,-,-,-,-
