Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31
Market Capitalization,6,10,13,24,49,71,29,39,45,19,35,47,77,82,-,-
Market Cap Growth,-,-85.47%,-55.33%,-38.00%,8.61%,278.26%,-17.35%,-18.04%,-41.23%,-77.27%,-,-,-,-,-,-
Enterprise Value,21,25,27,36,52,75,32,42,45,32,49,47,77,95,-,3
PE Ratio,1.59,1.59,1.74,38.09,-4.38,-3.34,-10.13,-11.17,-13.57,-5.07,-6.76,-10.43,-,-23.48,-,-
PS Ratio,0.37,0.61,0.84,1.75,4.20,7.27,3.15,4.72,5.91,2.56,4.89,7.01,-,18.44,-,-
PB Ratio,0.70,1.15,0.45,1.09,4.34,-2.71,2.24,2.92,3.19,-296.02,154.92,-,-,127.78,-,-
Debt / Equity Ratio,1.85,1.85,0.60,0.73,0.84,-0.36,0.76,0.76,0.69,-221.71,67.37,-,-,20.77,-,-8.91
Current Ratio,0.42,0.42,0.56,0.64,0.93,0.18,3.56,4.98,4.97,0.21,0.09,-,-,0.14,-,0.10
Buyback Yield / Dilution,-62.67%,-25.34%,-59.21%,-91.96%,-212.89%,-158.45%,-162.94%,-162.71%,-158.65%,-47.38%,-9.01%,-,-,-,-,-
Total Shareholder Return,-62.67%,-25.34%,-59.21%,-91.96%,-212.89%,-158.45%,-162.94%,-162.71%,-158.65%,-47.38%,-9.01%,-,-,-,-,-
