Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+67 Quarters
Market Capitalization,"18,354","20,086","22,980","21,328","18,620","22,818","20,699","18,990","17,851","16,878","13,100","9,980","9,432","8,803","12,410","11,449","11,905","11,341","10,662","13,429","13,033","13,019","12,895","12,159","11,553","10,957","9,834","8,247","6,978","6,726","8,298","7,146","8,570","8,107","8,110","7,569","7,157","7,872","7,310","5,827","6,002",Upgrade
Market Cap Growth,-,-11.97%,11.02%,12.31%,4.31%,35.19%,58.00%,90.29%,89.26%,91.73%,5.56%,-12.83%,-20.77%,-22.38%,16.40%,-14.74%,-8.65%,-12.89%,-17.32%,10.44%,12.80%,18.82%,31.12%,47.43%,65.58%,62.92%,18.51%,15.41%,-18.58%,-17.04%,2.33%,-5.59%,19.75%,2.99%,10.94%,29.89%,19.24%,22.45%,37.04%,15.20%,27.18%,Upgrade
Enterprise Value,"8,975","10,741","15,069","10,464","16,490","20,421","15,644","3,613","15,050","14,211","10,927","7,773","3,911","-2,716","8,579","8,691","8,900","8,199","6,741","10,358","12,677","12,799","12,521","8,519","11,818","10,640","10,106","9,400","7,025","7,216","7,728","6,744","8,133","7,790","7,627","7,504","6,392","6,933","6,179","4,873","5,016",Upgrade
PE Ratio,11.38,12.04,14.67,14.17,12.44,15.16,13.47,13.54,15.09,16.11,15.20,12.20,10.79,9.16,11.79,11.07,11.54,11.28,10.80,15.67,16.56,17.63,21.19,19.12,18.80,19.69,17.27,15.58,14.33,13.60,17.21,14.23,16.83,16.25,16.55,15.76,15.51,18.63,18.37,15.87,18.02,Upgrade
PS Ratio,1.63,1.79,2.09,1.94,1.71,2.15,2.01,1.95,1.95,1.98,1.60,1.25,1.19,1.10,1.59,1.48,1.56,1.51,1.43,1.85,1.85,1.90,1.95,1.91,1.88,1.87,1.75,1.53,1.32,1.28,1.59,1.37,1.67,1.61,1.65,1.56,1.52,1.71,1.60,1.30,1.36,Upgrade
PB Ratio,1.83,2.01,2.33,2.26,1.96,2.65,2.41,2.30,2.27,2.22,1.78,1.40,1.35,1.30,1.81,1.74,1.83,1.78,1.74,2.11,2.12,2.19,2.26,2.18,2.14,2.10,1.94,1.68,1.47,1.45,1.79,1.58,1.92,1.85,1.90,1.83,1.78,2.03,1.93,1.59,1.69,Upgrade
Debt / Equity Ratio,0.40,0.40,0.34,0.40,0.40,0.39,0.37,0.38,0.40,0.42,0.44,0.45,0.48,0.47,0.42,0.49,0.45,0.47,0.52,0.45,0.46,0.49,0.62,0.63,0.53,0.45,0.55,0.57,0.43,0.43,0.44,0.49,0.48,0.51,0.51,0.52,0.52,0.44,0.44,0.45,0.45,Upgrade
Dividend Yield,1.75%,0.46%,0.40%,0.35%,0.79%,0.32%,-,0.29%,0.31%,0.65%,-,0.52%,0.55%,0.59%,0.42%,0.42%,0.41%,0.86%,-,0.33%,0.34%,0.57%,-,0.27%,0.28%,0.30%,0.33%,0.35%,0.41%,0.43%,0.35%,0.37%,0.31%,0.32%,0.32%,0.31%,0.32%,0.29%,0.31%,0.34%,0.33%,Upgrade
Payout Ratio,23.90%,21.30%,17.80%,16.70%,48.20%,21.80%,0.00%,12.50%,17.40%,30.20%,0.00%,24.20%,29.70%,30.40%,19.20%,17.90%,18.50%,36.70%,0.00%,16.60%,18.90%,29.90%,0.00%,16.50%,17.40%,28.30%,21.40%,16.50%,22.40%,22.40%,27.00%,20.00%,19.40%,22.80%,20.20%,16.50%,18.40%,21.70%,19.30%,16.40%,23.30%,Upgrade
Buyback Yield / Dilution,-2.91%,-2.91%,-3.77%,-4.05%,-1.89%,-0.57%,-1.34%,-1.51%,-1.24%,-0.07%,1.25%,1.62%,2.92%,1.95%,3.94%,4.84%,3.88%,3.42%,0.67%,-0.98%,-1.56%,-1.51%,-1.80%,-2.19%,-2.19%,-1.92%,0.32%,1.33%,1.73%,1.40%,-0.59%,-1.20%,-1.74%,-1.68%,-1.88%,-1.94%,-1.95%,-2.07%,-2.81%,-3.71%,-3.35%,Upgrade
Total Shareholder Return,-1.15%,-2.45%,-3.36%,-3.70%,-1.10%,-0.25%,-1.34%,-1.22%,-0.94%,0.58%,1.25%,2.14%,3.47%,2.54%,4.36%,5.26%,4.29%,4.29%,0.67%,-0.65%,-1.22%,-0.94%,-1.80%,-1.92%,-1.91%,-1.63%,0.65%,1.68%,2.15%,1.82%,-0.24%,-0.83%,-1.43%,-1.36%,-1.56%,-1.64%,-1.63%,-1.78%,-2.50%,-3.37%,-3.02%,Upgrade
