Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,"11,332","15,003","15,440","15,083","14,482","14,312","14,888","8,775",-,-,-,-,-,-,-
Market Cap Growth,-,4.83%,3.71%,71.89%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"12,860","16,442","16,605","16,387","15,743","15,695","16,184","10,045","1,381","1,533","1,376",-,-,-,617
PE Ratio,77.37,222.92,252.91,283.47,360.88,181.08,226.01,170.53,-,-,-,-,-,-,-
PS Ratio,6.36,8.35,8.95,9.04,9.00,9.49,10.39,6.35,-,-,-,-,-,-,-
PB Ratio,22.45,29.50,32.28,34.07,35.39,38.48,43.31,28.06,-,-,-,-,-,-,-
Debt / Equity Ratio,4.22,4.22,4.51,4.83,5.20,5.62,4.90,5.38,-81.88,2995.44,24.20,-,-,-,-8.88
Current Ratio,1.25,1.25,1.24,1.27,1.18,1.21,1.03,1.07,0.99,0.99,1.00,-,-,-,1.00
Buyback Yield / Dilution,-4.17%,-1.08%,-150.29%,-152.92%,57.73%,58.31%,58.15%,-,-,-,-,-,-,-,-
Total Shareholder Return,-4.17%,-1.08%,-150.29%,-152.92%,57.73%,58.31%,58.15%,-,-,-,-,-,-,-,-
