Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Market Capitalization,"4,718","4,329","4,188","3,755","4,186","4,483","5,028","4,923","5,073","5,359","4,857","4,161","3,577","2,593","5,115","4,690","4,622","4,271","3,354","4,342","3,514","4,175","4,274","3,784","3,468","3,378","3,014","2,477","2,030","1,936","2,028","2,302","2,534","2,216","2,225","1,853","1,738","1,943","2,010"
Market Cap Growth,-,-3.43%,-16.71%,-23.72%,-17.49%,-16.35%,3.53%,18.33%,41.81%,106.65%,-5.06%,-11.28%,-22.61%,-39.28%,52.50%,8.01%,31.54%,2.29%,-21.52%,14.76%,1.33%,23.59%,41.81%,52.72%,70.85%,74.50%,48.60%,7.60%,-19.90%,-12.63%,-8.83%,24.29%,45.78%,14.05%,10.68%,-,-,-,-
Enterprise Value,"5,049","4,682","4,527","4,097","4,528","4,699","5,366","5,180","5,253","5,600","5,076","4,467","3,929","2,986","5,268","4,865","4,821","4,454","3,513","4,536","3,713","4,406","4,479","3,899","3,614","3,483","3,086","2,511","2,014","1,908","2,004","2,284","2,509","2,194","2,200","1,835","1,724","1,934","1,532"
PE Ratio,6.43,5.95,5.04,4.34,4.69,5.47,7.38,7.89,9.33,13.43,11.76,9.53,7.84,4.49,9.21,8.73,9.09,8.82,7.18,8.66,7.58,9.84,11.26,13.52,13.28,14.00,13.54,12.12,10.94,11.36,12.89,16.25,20.12,20.45,25.14,23.56,25.12,26.53,30.73
PS Ratio,4.73,4.36,4.18,3.65,3.99,4.28,4.89,4.83,5.19,5.52,5.09,4.44,3.89,2.90,5.90,5.64,5.85,5.68,4.66,6.32,5.39,6.77,7.41,6.98,6.76,6.99,6.58,5.77,5.08,5.15,5.74,7.01,8.41,8.16,9.29,8.86,9.61,12.44,15.30
PB Ratio,1.01,0.93,0.94,0.88,0.98,1.06,1.19,1.18,1.24,1.37,1.26,1.11,0.99,0.84,1.71,1.64,1.71,1.69,1.42,1.96,1.67,2.09,2.20,2.13,2.32,2.39,2.24,1.89,1.63,1.64,1.81,2.14,2.47,2.22,2.33,2.33,2.26,2.63,2.78
Debt / Equity Ratio,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.08,0.08,0.08,0.08,0.11,0.12,0.14,0.08,0.08,0.08,0.09,0.09,0.10,0.11,0.13,0.13,0.10,0.12,0.09,0.07,0.04,-,-,-,-,-,-,-,-,-,-,-
Dividend Yield,2.07%,0.62%,0.59%,0.63%,0.54%,0.48%,0.42%,0.41%,0.38%,0.34%,0.37%,0.43%,0.46%,0.61%,0.29%,0.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,13.30%,15.60%,16.70%,13.20%,9.70%,7.90%,11.50%,9.70%,11.90%,13.20%,14.40%,14.40%,106.70%,10.50%,10.00%,10.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.93%,0.93%,2.36%,3.64%,4.60%,3.37%,2.09%,0.67%,-9.60%,-14.29%,-14.21%,-14.12%,-4.52%,-0.23%,-0.32%,-0.25%,-0.31%,-0.16%,0.47%,-2.00%,-5.05%,-5.30%,-6.43%,-4.00%,-1.11%,-1.27%,-0.72%,-0.61%,-0.51%,-0.38%,-4.48%,-8.01%,-8.23%,-8.05%,-385.97%,-94.18%,-129.55%,-165.80%,39.04%
Total Shareholder Return,3.01%,1.55%,2.95%,4.26%,5.14%,3.86%,2.50%,1.07%,-9.22%,-13.96%,-13.84%,-13.69%,-4.06%,0.38%,-0.03%,0.07%,-0.31%,-0.16%,0.47%,-2.00%,-5.05%,-5.30%,-6.43%,-4.00%,-1.11%,-1.27%,-0.72%,-0.61%,-0.51%,-0.38%,-4.48%,-8.01%,-8.23%,-8.05%,-385.97%,-94.18%,-129.55%,-165.80%,39.04%
