Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Market Capitalization,634,"1,227",714,654,533,804,"1,007",-,-,-,-,-,-
Market Cap Growth,-,52.60%,-29.12%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,538,"1,126",630,585,407,643,839,-22,-11,-,-53,-,-32
PE Ratio,295.00,613.56,-69.96,-24.22,-15.00,-20.05,-23.69,-,-,-,-,-,-
PS Ratio,1.10,2.12,1.32,1.32,1.18,1.92,2.65,-,-,-,-,-,-
PB Ratio,1.77,3.39,2.09,2.05,2.02,3.15,3.91,-,-,-,-,-,-
Debt / Equity Ratio,-,-,-,0.22,-,-,-,0.57,0.55,-,0.37,-,4.44
Current Ratio,2.74,2.74,2.61,2.91,3.17,3.28,3.69,1.95,1.73,-,5.39,-,4.01
Buyback Yield / Dilution,-19.13%,-19.13%,-24.67%,-50.60%,-36.71%,-37.94%,-2.74%,10.43%,-17.10%,-,-,-,-
Total Shareholder Return,-19.13%,-19.13%,-24.67%,-50.60%,-36.71%,-37.94%,-2.74%,10.43%,-17.10%,-,-,-,-
