Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,70,83,85,95,94,108,100,83,85,83,79,75,66,65,85,66,65,64,66,71,75,68,72,65,66,64,73,59,53,49,52,49,48,42,43,43,44,46,43,36,39,Upgrade
Market Cap Growth,-,-22.87%,-15.10%,14.43%,10.68%,30.12%,26.40%,10.84%,28.92%,27.20%,-7.57%,13.16%,2.07%,1.50%,29.82%,-6.46%,-13.86%,-5.36%,-8.85%,8.65%,13.41%,5.97%,-1.67%,11.20%,25.80%,31.29%,42.02%,20.21%,8.92%,14.86%,18.90%,12.54%,10.20%,-6.81%,0.72%,21.10%,13.06%,16.22%,28.05%,-6.22%,-19.67%,Upgrade
Enterprise Value,99,112,96,112,126,86,56,34,47,37,63,65,77,126,140,107,71,49,53,100,109,81,83,68,73,83,115,97,90,73,75,65,63,46,40,46,50,45,56,36,29,Upgrade
PE Ratio,7.33,9.47,9.76,10.79,10.01,11.61,10.54,8.62,9.68,10.01,9.90,10.58,9.70,9.62,12.51,11.76,12.48,13.53,15.33,15.84,18.13,17.66,20.31,17.77,18.41,17.86,20.46,16.53,15.13,14.46,16.00,15.77,16.38,14.85,16.36,17.20,15.23,17.32,16.49,14.49,21.07,Upgrade
PS Ratio,2.36,2.79,2.87,3.25,3.13,3.64,3.43,2.86,3.10,3.10,2.98,3.00,2.72,2.71,3.57,2.76,2.77,2.85,3.05,3.44,3.73,3.46,3.74,3.44,3.56,3.48,4.02,3.28,2.99,2.82,3.03,2.89,2.89,2.54,2.59,2.57,2.50,2.66,2.54,2.12,2.42,Upgrade
PB Ratio,1.19,1.41,1.42,1.79,1.62,1.69,1.39,1.19,1.23,1.24,1.15,1.12,1.00,1.04,1.42,1.10,1.14,1.19,1.30,1.57,1.67,1.53,1.64,1.48,1.52,1.49,1.72,1.37,1.24,1.16,1.24,1.17,1.18,1.04,1.07,1.08,1.10,1.16,1.11,0.96,1.06,Upgrade
Debt / Equity Ratio,2.19,2.19,0.70,0.98,0.83,0.73,0.55,0.60,0.69,0.76,0.53,0.61,0.50,1.42,1.17,0.90,0.55,0.33,0.24,0.92,1.12,0.63,0.57,0.58,0.63,0.81,1.25,1.20,1.12,1.02,0.88,0.99,0.97,1.05,0.89,1.00,0.94,1.04,0.95,1.12,1.33,Upgrade
Dividend Yield,7.11%,2.15%,1.09%,0.98%,0.95%,1.66%,0.90%,1.03%,1.02%,1.69%,1.08%,1.13%,1.23%,1.29%,0.98%,1.24%,1.20%,1.23%,1.57%,0.99%,0.96%,1.00%,1.28%,1.00%,0.90%,0.89%,1.19%,1.01%,1.02%,1.10%,1.56%,0.99%,1.00%,1.14%,1.12%,0.99%,0.98%,0.94%,1.00%,1.05%,0.97%,Upgrade
Payout Ratio,51.60%,94.50%,41.00%,39.50%,38.80%,100.70%,36.60%,29.40%,38.20%,73.30%,30.90%,39.40%,49.00%,50.70%,45.20%,44.50%,46.60%,47.50%,163.60%,52.00%,56.50%,56.50%,113.30%,60.00%,61.10%,64.70%,88.90%,61.10%,55.60%,58.80%,88.20%,52.90%,56.20%,64.30%,56.20%,57.10%,57.10%,80.00%,66.70%,31.80%,70.00%,Upgrade
Buyback Yield / Dilution,3.19%,3.19%,3.92%,-1.83%,3.71%,-2.38%,-,2.65%,-4.15%,2.11%,-0.29%,-0.45%,0.14%,0.07%,-3.77%,-10.32%,-3.18%,-12.91%,-5.66%,0.85%,-2.49%,-0.69%,-0.18%,-0.84%,-0.74%,3.19%,-0.89%,-0.15%,-,-0.04%,-0.06%,-0.06%,-,-0.27%,-0.22%,-0.22%,-0.70%,0.19%,0.17%,0.17%,0.17%,Upgrade
Total Shareholder Return,10.24%,5.34%,5.01%,-0.84%,4.65%,-0.72%,0.90%,3.67%,-3.13%,3.80%,0.79%,0.68%,1.37%,1.36%,-2.79%,-9.08%,-1.98%,-11.68%,-4.09%,1.84%,-1.53%,0.31%,1.10%,0.16%,0.16%,4.08%,0.30%,0.86%,1.02%,1.06%,1.51%,0.94%,1.00%,0.87%,0.90%,0.78%,0.28%,1.13%,1.17%,1.22%,1.14%,Upgrade
