Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Market Capitalization,213,225,233,202,208,215,209,194,156,159,128,87,100,74,191,192,188,177,136,195,-,-,-,-,-
Market Cap Growth,-,4.68%,11.85%,4.11%,33.13%,34.68%,62.45%,123.53%,55.86%,116.64%,-32.65%,-54.72%,-46.83%,-58.43%,40.21%,-1.61%,-,-,-,-,-,-,-,-,-
Enterprise Value,104,47,124,55,84,80,4,-12,-32,-11,-25,26,-28,-75,74,81,65,21,8,67,-,-,-94,-,-68
PE Ratio,7.23,6.80,7.87,7.49,8.26,8.86,9.01,8.73,7.66,8.25,6.67,4.56,12.41,9.02,23.18,20.63,8.37,7.45,5.44,8.11,-,-,-,-,-
PS Ratio,3.14,3.06,3.44,3.24,3.59,3.94,4.07,4.02,3.40,3.64,2.95,1.99,2.28,1.67,4.38,4.43,4.46,4.28,3.34,5.05,-,-,-,-,-
PB Ratio,1.48,1.46,1.62,1.49,1.58,1.67,1.64,1.58,1.33,1.43,1.20,0.82,0.99,0.75,1.91,1.90,1.90,1.89,1.54,2.35,-,-,-,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,-,0.12
Dividend Yield,2.41%,0.66%,0.63%,0.55%,0.53%,0.51%,0.53%,0.52%,0.64%,0.63%,0.78%,1.06%,0.92%,1.36%,2.64%,0.53%,-,-,-,-,-,-,-,-,-
Payout Ratio,15.50%,15.20%,17.40%,13.60%,15.60%,17.60%,19.00%,15.90%,16.40%,19.60%,21.20%,20.80%,18.50%,19.60%,113.60%,-15.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-1.24%,-0.90%,-1.14%,-1.15%,-1.33%,-1.36%,-0.71%,1.33%,1.71%,9.17%,9.88%,9.19%,9.42%,2.11%,-22.12%,-32.50%,-39.86%,-39.79%,-13.04%,-5.24%,-,-,-,-,-
Total Shareholder Return,1.16%,-0.24%,-0.51%,-0.60%,-0.80%,-0.85%,-0.18%,1.85%,2.35%,9.79%,10.66%,10.25%,10.34%,3.46%,-19.49%,-31.97%,-39.86%,-39.79%,-13.04%,-5.24%,-,-,-,-,-
