Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31
Market Capitalization,627,633,616,563,622,626,857,839,920,852,"1,016",-,-,-,-,-,-
Market Cap Growth,-,1.08%,-28.07%,-32.97%,-32.40%,-26.47%,-15.72%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,461","1,453","1,395","1,413","1,728","1,789","2,887","2,705","2,735","2,863","3,065","1,873","1,735",-,"1,421",-,937
PE Ratio,7.64,7.59,1.88,1.46,1.64,1.89,3.02,2.62,2.14,1.57,2.74,-,-,-,-,-,-
PS Ratio,0.81,0.81,0.53,0.41,0.41,0.41,0.54,0.50,0.50,0.43,0.63,-,-,-,-,-,-
PB Ratio,0.53,0.52,0.49,0.45,0.52,0.56,0.93,0.90,1.09,0.95,1.38,-,-,-,-,-,-
Debt / Equity Ratio,0.80,0.80,0.74,0.81,1.15,1.25,2.48,2.32,2.52,2.60,3.25,3.09,3.72,-,3.76,-,2.27
Dividend Yield,-,-,-,-,-,7.17%,-,6.55%,-,-,-,-,-,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,147.10%,0.00%,666.70%,0.00%,-,-,-,-,-,-,-
Buyback Yield / Dilution,0.97%,0.97%,2.19%,-0.27%,-2.31%,-2.13%,-1.75%,-1.64%,-,-,-,-,-,-,-,-,-
Total Shareholder Return,0.97%,0.97%,2.19%,-0.27%,-2.31%,-2.13%,5.43%,-1.64%,6.55%,-,-,-,-,-,-,-,-
