Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+56 Quarters
Market Capitalization,95,113,129,153,133,149,156,151,156,165,143,120,119,111,137,112,106,109,90,99,105,113,105,71,69,76,80,54,48,46,47,43,41,43,42,42,41,44,43,42,42,Upgrade
Market Cap Growth,-,-24.44%,-17.19%,1.27%,-14.47%,-9.28%,8.62%,25.92%,31.49%,49.08%,4.35%,6.85%,11.49%,1.00%,52.01%,13.07%,0.87%,-3.41%,-13.72%,40.56%,52.76%,49.39%,31.37%,31.29%,43.61%,65.17%,70.83%,23.99%,16.56%,6.66%,10.07%,2.98%,0.17%,-1.45%,-0.63%,-0.57%,-1.10%,2.34%,5.78%,0.51%,7.24%,Upgrade
Enterprise Value,257,275,235,202,151,113,129,91,136,95,120,136,196,210,226,200,225,215,206,211,213,195,205,171,189,163,170,140,132,125,127,107,91,86,90,94,91,63,69,69,75,Upgrade
PE Ratio,7.79,9.63,12.05,17.34,12.74,13.15,10.80,8.44,8.00,7.31,6.76,6.52,7.36,8.12,12.64,11.23,14.16,19.57,18.14,24.23,25.21,28.96,25.53,14.11,13.66,14.45,15.54,11.77,14.50,16.16,18.09,16.51,14.61,14.90,16.24,19.45,19.49,22.60,15.62,19.07,21.08,Upgrade
PS Ratio,1.08,1.28,1.47,1.77,1.54,1.72,1.70,1.58,1.64,1.73,1.61,1.47,1.60,1.68,2.29,2.03,2.19,2.46,2.21,2.49,2.71,3.02,2.84,1.90,1.87,2.11,2.28,1.66,1.61,1.58,1.64,1.56,1.51,1.65,1.69,1.70,1.67,1.73,1.63,1.71,1.88,Upgrade
PB Ratio,0.59,0.69,0.81,1.01,0.82,1.04,0.99,0.96,1.02,1.06,0.94,0.81,0.84,0.83,1.13,0.93,0.92,0.98,0.95,1.08,1.15,1.25,1.25,1.11,1.11,1.26,1.34,0.90,0.81,0.81,0.84,0.80,0.77,0.79,0.78,0.80,0.80,0.88,0.89,0.88,0.85,Upgrade
Debt / Equity Ratio,1.11,1.11,0.81,0.49,0.39,0.41,0.22,0.22,0.26,0.27,0.31,0.61,0.92,0.89,0.93,0.84,1.14,1.04,1.34,1.31,1.27,1.04,1.29,1.71,2.08,1.55,1.64,1.56,1.53,1.52,1.58,1.30,1.09,0.87,1.10,1.07,1.09,0.57,0.70,0.70,0.81,Upgrade
Dividend Yield,4.61%,0.98%,0.85%,0.73%,0.63%,0.56%,0.54%,0.56%,0.43%,0.40%,0.46%,0.56%,0.55%,0.59%,0.44%,0.54%,0.56%,0.55%,0.56%,0.51%,0.47%,0.43%,0.43%,0.49%,0.45%,0.41%,0.38%,0.58%,0.62%,0.65%,0.62%,0.68%,0.70%,0.68%,0.68%,0.70%,0.69%,0.65%,0.67%,0.68%,0.67%,Upgrade
Payout Ratio,35.20%,32.90%,29.40%,34.50%,52.10%,36.80%,46.30%,17.10%,24.50%,12.60%,12.90%,10.40%,11.30%,16.40%,26.40%,14.80%,18.00%,51.10%,34.10%,30.70%,37.50%,81.80%,112.50%,20.00%,28.60%,40.00%,20.50%,17.40%,22.60%,45.30%,32.10%,55.00%,35.70%,75.00%,31.20%,41.70%,32.70%,240.00%,60.00%,42.40%,42.40%,Upgrade
Buyback Yield / Dilution,-19.59%,-19.59%,-17.76%,-18.59%,1.19%,1.19%,-0.30%,0.28%,0.64%,0.64%,-5.19%,-6.12%,-6.40%,-5.71%,-17.26%,-16.30%,-16.29%,-21.10%,-9.54%,-43.00%,-42.77%,-38.71%,-32.31%,0.25%,0.08%,-0.06%,-0.07%,-0.82%,-0.34%,0.22%,2.31%,2.60%,2.79%,2.30%,1.16%,0.83%,-0.45%,-0.91%,-1.17%,-1.24%,-0.51%,Upgrade
Total Shareholder Return,-14.97%,-18.61%,-16.91%,-17.86%,1.82%,1.75%,0.24%,0.84%,1.06%,1.04%,-4.72%,-5.57%,-5.86%,-5.13%,-16.81%,-15.75%,-15.74%,-20.56%,-8.99%,-42.48%,-42.30%,-38.28%,-31.88%,0.74%,0.53%,0.34%,0.31%,-0.24%,0.29%,0.87%,2.93%,3.28%,3.49%,2.97%,1.85%,1.54%,0.24%,-0.26%,-0.49%,-0.56%,0.17%,Upgrade
