Metrics,Current,2022-09-30,2022-03-31,2021-03-31,2020-03-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,8,15,28,29,21,75,117,160,120,378,482,516,504
Market Cap Growth,-,-80.37%,-76.50%,-82.12%,-82.76%,-80.08%,-75.73%,-68.97%,-76.23%,-,-,-,-
Enterprise Value,-2,5,6,18,22,65,84,86,29,268,305,355,365
PE Ratio,-1.63,-,-1.63,-0.82,-0.29,-3.10,-3.74,28.95,6.08,6.73,5.59,7.88,9.58
PS Ratio,1.25,-,4.36,16.32,2.99,-1.79,-2.72,43.35,1.41,3.00,3.36,4.81,5.79
PB Ratio,0.80,1.49,2.24,1.66,0.43,0.75,1.02,1.27,1.00,2.95,2.93,3.69,4.24
Debt / Equity Ratio,-,-,-,0.58,0.43,0.24,0.19,0.16,-,-,-,-,-
Current Ratio,1.32,1.90,1.32,2.09,4.21,3.15,5.09,3.68,5.60,5.95,7.49,6.84,6.74
Dividend Yield,-,-,-,-,-,-,-,-,15.47%,-,-,-,
Payout Ratio,0.00%,-,-,-,-,0.00%,0.00%,0.00%,0.00%,-111.10%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-22.68%,-0.10%,-22.68%,0.54%,0.37%,-0.15%,8.34%,2.05%,5.04%,-13.53%,-23.51%,-23.61%,-22.47%
Total Shareholder Return,-22.68%,-0.10%,-22.68%,0.54%,0.37%,-0.15%,8.34%,2.05%,5.04%,1.94%,-23.51%,-23.61%,-22.47%
