Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
Market Capitalization,"7,513","6,933","5,995","5,850","5,261","5,208","5,428","3,688","3,759","3,753","4,538","4,242","3,454","2,323","2,253","2,208","1,947","1,457","1,179","1,353","1,156","1,080",946,905,782,672,713,461,-,-,-,-,-,-
Market Cap Growth,-,33.11%,10.45%,58.64%,39.96%,38.77%,19.61%,-13.06%,8.82%,61.53%,101.47%,92.12%,77.38%,59.45%,91.00%,63.22%,68.45%,34.87%,24.63%,49.43%,47.77%,60.81%,32.70%,96.23%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"7,673","6,970","6,035","5,847","5,182","5,147","5,350","3,640","3,673","3,663","4,504","4,203","3,424","2,295","2,169","2,133","1,869","1,354","1,104","1,288","1,076","1,024",865,809,689,596,662,385,7,-,5,-,-,4
PE Ratio,41.74,37.86,37.68,41.73,36.58,34.18,35.56,25.88,31.12,32.52,51.33,62.29,52.20,46.77,35.58,44.24,39.84,32.22,34.91,38.36,42.00,41.70,38.01,35.02,26.41,24.71,27.25,19.30,-,-,-,-,-,-
PS Ratio,8.52,7.74,7.32,7.70,7.43,7.64,8.49,6.19,6.80,7.25,9.87,10.26,9.36,7.17,7.13,7.89,7.44,5.97,5.31,6.26,5.68,5.56,5.07,5.13,4.79,4.43,5.04,3.67,-,-,-,-,-,-
PB Ratio,9.36,8.50,8.04,9.44,8.30,7.83,7.76,5.59,5.97,6.39,7.88,7.94,7.57,5.79,5.55,5.66,6.32,5.04,4.47,5.25,4.66,4.50,3.97,3.91,3.46,3.10,3.39,2.20,-,-,-,-,-,-
Debt / Equity Ratio,0.24,0.24,0.26,0.20,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.06,0.04,0.03,-,-,-,-,-,-,-,-,-,-,-,0.13,0.23,-,0.26,-,-,0.30
Dividend Yield,0.16%,0.05%,0.05%,0.05%,0.06%,0.06%,0.05%,0.07%,0.07%,0.07%,0.05%,0.05%,0.06%,0.09%,0.08%,0.08%,0.09%,0.12%,0.13%,0.11%,0.13%,0.14%,0.14%,0.14%,0.16%,0.19%,0.26%,0.40%,-,-,-,-,-,-
Payout Ratio,6.60%,5.80%,4.40%,9.00%,10.90%,9.30%,5.20%,6.80%,7.00%,7.70%,5.30%,13.60%,6.60%,39.10%,9.90%,13.30%,12.30%,9.10%,33.30%,12.30%,14.60%,20.00%,20.70%,30.00%,14.60%,20.00%,15.20%,20.80%,-,-,-,-,0.00%,-
Buyback Yield / Dilution,-0.85%,-0.85%,-0.55%,-0.22%,-0.21%,-0.10%,0.03%,-0.59%,-1.53%,-1.72%,-1.92%,-2.92%,-4.01%,-4.20%,-4.24%,-2.56%,-0.77%,-0.62%,-0.55%,-0.93%,-0.97%,-1.12%,42.46%,41.31%,-55.45%,-54.96%,-172.20%,-165.81%,8.98%,-0.12%,-,-,-,-
Total Shareholder Return,-0.69%,-0.81%,-0.50%,-0.17%,-0.16%,-0.05%,0.07%,-0.52%,-1.46%,-1.66%,-1.87%,-2.87%,-3.95%,-4.12%,-4.16%,-2.48%,-0.68%,-0.50%,-0.42%,-0.82%,-0.84%,-0.98%,42.60%,41.46%,-55.29%,-54.77%,-171.94%,-165.41%,8.98%,-0.12%,-,-,-,-
