Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31,2018-01-01
Market Capitalization,451,448,514,584,609,778,609,741,825,748,-,-,-,-,-,-,-
Market Cap Growth,-,-42.42%,-15.51%,-21.18%,-26.23%,3.92%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,221,229,277,354,356,503,341,463,538,355,-14,-22,-,-,2,7,17
PE Ratio,11.49,11.19,12.40,14.43,16.02,18.04,16.25,18.86,21.98,22.96,-,-,-,-,-,-,-
PS Ratio,5.45,5.56,6.67,7.62,7.40,8.25,7.29,8.62,10.23,11.07,-,-,-,-,-,-,-
PB Ratio,1.69,1.73,1.98,2.27,2.34,2.70,2.40,2.74,2.80,2.84,-,-,-,-,-,-,-
Debt / Equity Ratio,0.19,0.19,0.19,0.19,0.06,0.06,0.06,0.07,0.07,0.07,5.53,0.75,-,-,0.95,1.40,1.88
Current Ratio,13.63,13.63,9.35,10.30,15.25,16.20,9.32,9.85,14.31,15.37,0.74,1.81,-,-,1.53,1.69,1.19
Dividend Yield,8.77%,-,2.21%,1.66%,1.59%,1.44%,1.50%,2.30%,-,-,-,-,-,-,-,-,-
Payout Ratio,76.30%,0.00%,101.70%,74.80%,109.00%,120.00%,88.20%,174.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,1.91%,1.91%,-,-,0.04%,1.33%,-2.48%,-2.48%,-2.52%,-2.52%,-,-,-,-,-,-,-
Total Shareholder Return,10.76%,1.91%,2.21%,1.66%,1.62%,2.78%,-0.99%,-0.18%,-2.52%,-2.52%,-,-,-,-,-,-,-
