Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"36,188","45,282","57,091","57,751","63,149","75,304","78,158","78,288","74,639","78,569","64,615","51,277","50,597","41,411","43,158","40,882","37,630","35,530","33,383","37,592","39,331","40,502","39,225","37,932","36,844","36,135","38,153","30,723","27,861","25,966","29,497","26,112","29,151","28,104","28,012","26,776","28,330","28,557","26,308","23,756","23,773",Upgrade
Market Cap Growth,-,-39.87%,-26.95%,-26.23%,-15.39%,-4.15%,20.96%,52.68%,47.52%,89.73%,49.72%,25.43%,34.46%,16.55%,29.28%,8.75%,-4.32%,-12.28%,-14.89%,-0.90%,6.75%,12.09%,2.81%,23.46%,32.25%,39.17%,29.34%,17.66%,-4.43%,-7.61%,5.30%,-2.48%,2.90%,-1.58%,6.48%,12.71%,19.17%,29.99%,29.17%,2.47%,10.30%,Upgrade
Enterprise Value,"92,165","101,259","102,295","92,385","84,091","85,102","99,068","101,524","91,703","90,079","91,436","61,421","57,233","83,421","83,650","73,789","67,913","63,592","58,426","67,327","63,935","65,122","64,728","63,584","61,296","55,309","57,100","54,129","50,454","49,642","52,845","50,345","53,495","52,381","52,499","50,348","51,637","52,787","49,500","46,146","43,558",Upgrade
PE Ratio,6.04,7.53,9.63,9.89,10.67,12.50,12.96,13.65,14.38,17.34,15.44,14.02,15.22,12.68,14.25,13.27,12.01,11.59,10.90,12.86,14.40,15.66,17.67,17.26,16.75,17.13,16.89,14.17,13.51,13.15,15.24,13.16,14.54,14.23,14.13,13.59,16.41,15.44,16.83,15.52,13.73,Upgrade
PS Ratio,1.61,2.02,2.57,2.60,2.81,3.26,3.38,3.42,3.37,3.73,3.17,2.79,3.15,2.97,3.61,3.62,3.36,3.21,3.04,3.44,3.63,3.75,3.64,3.57,3.48,3.44,3.73,3.07,2.86,2.78,3.21,2.88,3.25,3.13,3.12,2.95,3.13,3.13,2.90,2.66,2.67,Upgrade
PB Ratio,0.58,0.73,0.94,0.95,1.00,1.16,1.13,1.14,1.09,1.16,0.91,0.73,0.74,0.63,0.65,1.27,1.19,1.15,1.11,1.25,1.32,1.37,1.32,1.27,1.21,1.20,1.27,1.02,0.94,0.92,1.08,0.96,1.16,1.14,1.15,1.10,1.18,1.21,1.15,1.08,1.08,Upgrade
Debt / Equity Ratio,1.50,1.50,1.10,0.94,0.70,0.60,0.59,0.63,0.64,0.64,0.64,0.68,0.69,1.19,0.89,1.11,1.04,1.00,0.96,1.10,0.93,0.93,0.96,0.96,0.92,0.79,0.78,0.89,0.87,0.95,1.00,1.01,1.08,1.07,1.11,1.06,1.08,1.13,1.12,1.14,1.03,Upgrade
Dividend Yield,7.66%,1.54%,1.22%,1.20%,1.02%,0.86%,0.82%,0.83%,0.81%,0.78%,0.95%,1.19%,1.21%,1.48%,0.98%,0.85%,0.83%,0.88%,0.94%,0.84%,0.75%,0.73%,0.67%,0.70%,0.67%,0.68%,0.65%,0.80%,0.83%,0.82%,0.72%,0.80%,0.68%,0.62%,0.63%,0.65%,0.62%,0.58%,0.63%,0.69%,0.69%,Upgrade
Payout Ratio,45.10%,49.10%,43.00%,44.80%,44.00%,48.00%,42.10%,39.70%,38.80%,45.50%,49.50%,57.00%,67.20%,61.60%,62.50%,46.90%,36.80%,41.30%,41.30%,39.70%,37.50%,39.10%,42.30%,44.00%,38.50%,63.80%,41.10%,40.50%,41.80%,40.30%,42.20%,42.20%,42.90%,35.30%,31.60%,33.80%,40.70%,32.90%,30.30%,60.50%,29.50%,Upgrade
Buyback Yield / Dilution,0.16%,0.16%,0.43%,0.76%,0.79%,1.28%,1.41%,0.83%,0.47%,-0.10%,-45.46%,-75.06%,-75.04%,-75.38%,-20.71%,0.78%,1.42%,2.14%,2.55%,3.01%,4.11%,3.85%,3.24%,2.06%,0.52%,-4.12%,-4.03%,-6.34%,-12.14%,-8.02%,-8.20%,-6.03%,-0.83%,-1.00%,-1.83%,-1.94%,-2.19%,-1.87%,-1.04%,-0.88%,-0.62%,Upgrade
Total Shareholder Return,7.81%,1.69%,1.65%,1.96%,1.81%,2.13%,2.24%,1.66%,1.28%,0.68%,-44.51%,-73.87%,-73.83%,-73.90%,-19.73%,1.63%,2.25%,3.02%,3.49%,3.85%,4.85%,4.59%,3.91%,2.76%,1.19%,-3.44%,-3.38%,-5.54%,-11.31%,-7.20%,-7.47%,-5.23%,-0.15%,-0.37%,-1.20%,-1.29%,-1.57%,-1.28%,-0.42%,-0.18%,0.07%,Upgrade
