Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
Market Capitalization,"67,791","85,916","81,193","99,538","80,878","134,733","221,568","305,755","342,410","284,408","274,410","231,175","204,543","112,299","127,012","121,892","134,483","121,826","99,088","103,974","98,874","91,056","88,485","76,989","64,472","51,950","47,626","49,447","44,251","47,195","44,225","37,823",-,-,-
Market Cap Growth,-,-36.23%,-63.36%,-67.45%,-76.38%,-52.63%,-19.26%,32.26%,67.40%,153.26%,116.05%,89.66%,52.10%,-7.82%,28.18%,17.23%,36.01%,33.79%,11.98%,35.05%,53.36%,75.28%,85.79%,55.70%,45.69%,10.08%,7.69%,30.73%,-,-,-,-,-,-,-
Enterprise Value,"60,306","78,242","73,311","92,928","76,021","129,767","215,271","296,699","335,677","277,533","267,497","223,357","197,294","106,368","117,244","112,917","125,401","113,120","89,445","94,275","87,236","79,634","76,078","65,747","54,629","42,541","37,303","39,544","34,787","38,204","36,630","29,922","-7,560",-,"-4,723"
PE Ratio,25.83,31.76,33.57,43.30,39.34,37.62,53.15,61.96,70.32,54.54,65.31,73.58,79.19,59.86,51.65,48.07,53.58,55.05,48.17,49.68,48.54,47.38,49.30,49.20,42.75,36.59,33.99,35.88,32.63,35.27,36.01,32.98,-,-,-
PS Ratio,2.42,3.06,2.95,3.68,3.07,5.22,8.73,12.45,14.36,12.44,12.79,11.39,10.64,6.15,7.15,7.16,8.23,7.67,6.41,6.95,6.81,6.60,6.76,6.24,5.48,4.61,4.39,4.75,4.42,4.89,4.78,4.26,-,-,-
PB Ratio,3.42,4.33,4.01,4.91,4.09,6.54,10.20,13.84,16.38,14.63,13.71,12.51,11.60,7.03,7.52,7.40,8.33,8.04,6.44,6.88,6.58,6.22,5.53,4.99,4.30,3.55,3.24,3.48,3.20,3.47,3.21,2.86,-,-,-
Debt / Equity Ratio,0.53,0.53,0.51,0.51,0.52,0.40,0.37,0.36,0.43,0.46,0.45,0.48,0.51,0.50,0.29,0.30,0.15,0.13,0.13,0.13,0.13,0.20,0.06,-,-,-,-,-,-,-,-,-,-,-,0.13
Current Ratio,1.29,1.29,1.27,1.27,1.23,1.19,1.22,1.30,1.29,1.29,1.33,1.38,1.38,1.39,1.43,1.43,1.22,1.22,1.27,1.28,1.38,1.35,1.43,1.42,1.45,1.47,1.53,1.55,1.54,1.53,1.52,1.57,1.57,-,1.32
Buyback Yield / Dilution,3.24%,3.24%,3.38%,2.53%,2.36%,1.51%,0.59%,0.25%,-0.17%,-0.42%,-0.17%,-0.17%,0.25%,0.25%,0.50%,0.92%,1.25%,2.38%,2.93%,1.96%,1.07%,-0.08%,-0.99%,-0.74%,0.66%,0.73%,1.38%,1.06%,0.74%,-0.08%,-0.90%,-0.25%,-,-,-
Total Shareholder Return,3.24%,3.24%,3.38%,2.53%,2.36%,1.51%,0.59%,0.25%,-0.17%,-0.42%,-0.17%,-0.17%,0.25%,0.25%,0.50%,0.92%,1.25%,2.38%,2.93%,1.96%,1.07%,-0.08%,-0.99%,-0.74%,0.66%,0.73%,1.38%,1.06%,0.74%,-0.08%,-0.90%,-0.25%,-,-,-
