Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,27,33,37,38,39,45,45,46,50,48,46,43,42,45,47,48,45,44,41,46,39,43,34
Market Cap Growth,-,-26.37%,-17.51%,-15.69%,-22.35%,-7.70%,-1.06%,6.26%,19.45%,6.16%,-3.56%,-9.79%,-6.06%,2.51%,14.83%,2.93%,15.75%,3.99%,20.91%,-,-,-,-
Enterprise Value,48,53,61,65,61,48,39,38,42,34,47,37,30,34,39,38,33,34,29,27,-4,29,27
PE Ratio,14.32,18.68,19.85,20.44,21.45,26.23,28.15,31.88,40.72,40.73,38.41,36.17,41.08,46.21,49.41,37.07,30.90,30.48,29.24,42.42,36.82,41.49,29.13
PS Ratio,3.09,3.71,4.24,4.40,4.57,5.35,5.47,5.78,6.61,6.49,6.31,5.87,5.63,5.93,6.03,5.85,5.56,5.62,5.45,6.16,5.35,5.98,4.61
PB Ratio,0.78,0.94,1.12,1.25,1.14,1.09,0.97,0.99,1.03,1.01,0.93,0.88,0.83,0.92,0.93,0.94,0.89,0.89,0.85,0.97,1.61,1.79,1.42
Debt / Equity Ratio,0.72,0.72,0.87,1.01,0.76,0.24,0.21,0.22,0.20,0.21,0.22,0.20,0.20,0.20,0.20,0.20,0.20,-,-,-,-,0.13,-
Dividend Yield,2.36%,-,0.46%,0.30%,0.29%,0.27%,0.27%,0.20%,0.19%,0.20%,0.14%,0.16%,0.17%,0.16%,0.15%,0.15%,0.16%,0.16%,0.17%,-,-,-,-
Payout Ratio,21.50%,0.00%,42.90%,21.10%,21.10%,23.50%,30.80%,18.80%,23.10%,23.10%,28.60%,22.20%,20.00%,16.70%,33.30%,66.70%,22.20%,18.20%,13.30%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,4.14%,4.14%,4.90%,5.24%,9.28%,5.15%,4.96%,8.98%,9.25%,10.60%,10.12%,6.64%,1.94%,0.46%,1.07%,0.16%,0.16%,0.16%,0.01%,-,-,-,-
Total Shareholder Return,6.50%,4.14%,5.36%,5.54%,9.58%,5.42%,5.22%,9.18%,9.44%,10.80%,10.26%,6.79%,2.10%,0.61%,1.22%,0.31%,0.31%,0.32%,0.18%,-,-,-,-
