Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2019-12-31
Market Capitalization,"1,247","1,172","1,249","1,233","1,303","1,420","1,638",-,-,-,-,-,-,-
Market Cap Growth,-,-17.48%,-23.74%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,520","1,442","1,527","1,398","1,482","1,598","1,823",296,272,-,285,-,-,133
PE Ratio,56.63,53.23,42.76,47.49,54.47,96.29,178.53,-,-,-,-,-,-,-
PS Ratio,5.89,5.52,6.30,6.64,7.50,8.82,10.88,-,-,-,-,-,-,-
PB Ratio,3.21,3.01,3.18,3.03,3.24,3.62,4.14,-,-,-,-,-,-,-
Debt / Equity Ratio,0.78,0.78,0.78,0.46,0.51,0.52,0.58,4.69,4.48,-,4.98,-,-,4.23
Dividend Yield,1.11%,-,0.29%,0.30%,0.28%,-,-,-,-,-,-,-,-,-
Payout Ratio,45.00%,0.00%,75.00%,60.00%,30.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,-
Buyback Yield / Dilution,-1.97%,-1.97%,-9.08%,-81.97%,-81.27%,-82.55%,-69.45%,-6.92%,27.30%,-,-,-,-,-
Total Shareholder Return,-0.85%,-1.97%,-8.79%,-81.67%,-80.99%,-82.55%,-69.45%,-6.92%,27.30%,-,-,-,-,-
