Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"21,654","21,817","24,121","20,015","21,518","23,816","23,498","24,390","22,135","23,878","17,551","13,203","13,804","12,625","21,903","21,915","20,143","17,873","15,946","17,907","18,312","18,392","20,076","20,193","19,312","17,795","17,999","16,527","17,458","18,279","17,802","18,992","17,456","17,604","17,988","16,680","16,103","15,742","16,198","14,161","14,096",Upgrade
Market Cap Growth,-,-8.39%,2.65%,-17.94%,-2.79%,-0.26%,33.88%,84.73%,60.36%,89.14%,-19.87%,-39.75%,-31.47%,-29.36%,37.36%,22.39%,10.00%,-2.82%,-20.57%,-11.32%,-5.18%,3.35%,11.54%,22.18%,10.62%,-2.65%,1.11%,-12.98%,0.01%,3.83%,-1.04%,13.86%,8.40%,11.83%,11.05%,17.79%,14.24%,39.76%,65.44%,67.14%,81.36%,Upgrade
Enterprise Value,"25,759","25,957","28,134","24,086","25,525","28,455","28,105","28,936","26,181","27,951","21,664","17,284","17,782","16,673","26,489","26,471","24,410","22,035","20,503","22,481","22,840","23,332","24,894","24,998","24,087","22,595","22,581","21,042","22,321","23,123","22,713","23,853","22,488","22,924","23,698","22,348","20,699","20,807","21,314","19,128","19,091",Upgrade
PE Ratio,12.04,11.58,13.45,10.36,10.37,9.38,10.03,11.33,10.40,14.11,10.23,7.65,7.68,7.40,10.61,12.81,12.44,9.77,8.85,-8.56,-8.00,-6.32,-6.41,41.13,27.79,18.71,20.09,11.82,13.02,11.89,10.58,11.56,10.58,22.86,22.54,22.54,24.97,17.07,92.03,-69.08,-28.48,Upgrade
PS Ratio,0.94,0.95,1.08,0.90,0.97,1.06,1.05,1.11,1.03,1.14,0.86,0.64,0.67,0.61,1.06,1.10,1.03,0.93,0.84,0.95,1.00,1.04,1.17,1.34,1.24,1.11,1.11,1.04,1.11,1.16,1.11,1.03,0.93,0.95,0.97,0.89,0.85,0.83,0.78,0.64,0.59,Upgrade
PB Ratio,1.51,1.52,1.76,1.55,1.51,1.50,1.32,1.37,1.21,1.35,0.95,0.74,0.81,0.83,1.35,1.36,1.32,1.25,1.22,1.41,1.46,1.40,1.49,1.17,1.12,1.05,1.07,0.89,0.94,1.01,1.01,1.04,0.96,0.92,0.96,0.89,0.83,0.80,0.86,0.75,0.74,Upgrade
Debt / Equity Ratio,0.30,0.30,0.32,0.34,0.31,0.31,0.28,0.28,0.24,0.25,0.23,0.24,0.25,0.28,0.30,0.30,0.30,0.30,0.36,0.37,0.37,0.39,0.37,0.30,0.30,0.30,0.29,0.29,0.29,0.29,0.30,0.30,0.30,0.31,0.33,0.32,0.31,0.32,0.35,0.34,0.35,Upgrade
Dividend Yield,2.32%,0.61%,0.56%,0.62%,0.59%,0.54%,0.56%,0.50%,0.56%,0.52%,0.66%,0.88%,0.84%,0.92%,0.49%,0.49%,0.54%,0.60%,0.67%,0.60%,0.49%,0.49%,0.44%,0.41%,0.44%,0.48%,0.48%,0.49%,0.47%,0.46%,0.48%,0.46%,0.43%,0.43%,0.43%,0.48%,0.42%,0.43%,0.41%,0.48%,0.32%,Upgrade
Payout Ratio,27.60%,25.10%,23.40%,37.40%,28.90%,29.20%,18.20%,25.40%,13.80%,51.50%,21.80%,25.80%,25.20%,43.30%,19.90%,20.70%,29.10%,17.20%,56.60%,25.00%,15.40%,15.00%,-2.50%,35.40%,-209.10%,22.50%,-121.10%,18.40%,38.20%,25.90%,20.20%,22.80%,18.20%,16.20%,20.50%,20.20%,-14.40%,13.60%,21.40%,23.10%,-23.80%,Upgrade
Buyback Yield / Dilution,5.61%,5.61%,6.54%,6.93%,7.93%,7.24%,5.02%,3.07%,0.25%,0.21%,0.58%,0.94%,0.95%,0.34%,-0.47%,-0.88%,-0.94%,-0.70%,-0.57%,1.61%,2.51%,3.57%,5.56%,5.61%,6.62%,6.68%,7.78%,6.96%,6.32%,5.77%,5.07%,7.36%,6.62%,5.69%,3.49%,1.59%,1.36%,-2.23%,-2.47%,-4.41%,-3.41%,Upgrade
Total Shareholder Return,7.93%,6.22%,7.10%,7.55%,8.52%,7.77%,5.57%,3.57%,0.81%,0.73%,1.24%,1.82%,1.79%,1.26%,0.02%,-0.39%,-0.40%,-0.09%,0.11%,2.21%,3.00%,4.05%,6.01%,6.03%,7.05%,7.16%,8.26%,7.45%,6.79%,6.22%,5.55%,7.82%,7.05%,6.12%,3.92%,2.07%,1.78%,-1.81%,-2.06%,-3.93%,-3.08%,Upgrade
