Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+68 Quarters
Market Capitalization,596,617,727,703,742,761,790,744,739,776,677,510,568,574,902,809,850,735,652,783,808,705,726,781,751,707,761,566,514,516,628,600,581,543,545,415,439,411,416,385,367,Upgrade
Market Cap Growth,-,-18.86%,-8.05%,-5.56%,0.32%,-1.95%,16.74%,45.91%,30.05%,35.11%,-24.91%,-36.96%,-33.10%,-21.92%,38.33%,3.40%,5.20%,4.34%,-10.25%,0.21%,7.58%,-0.36%,-4.60%,37.96%,46.16%,37.14%,21.25%,-5.61%,-11.62%,-4.93%,15.27%,44.43%,32.44%,31.97%,31.03%,7.79%,19.52%,23.82%,20.16%,-8.01%,-1.38%,Upgrade
Enterprise Value,746,767,931,848,972,666,318,253,400,489,461,514,472,569,"1,101","1,023","1,046",778,852,"1,036",991,837,813,960,943,762,903,744,899,710,840,715,761,614,845,596,504,356,535,396,407,Upgrade
PE Ratio,7.69,7.77,9.57,10.25,10.47,10.46,10.59,9.65,10.53,12.25,11.41,8.59,8.65,8.10,12.25,11.09,11.21,10.32,9.71,12.62,15.78,13.17,14.08,15.27,14.81,15.03,16.79,12.56,11.44,11.66,13.66,12.95,12.44,11.85,12.68,10.50,12.06,12.24,12.54,10.44,10.33,Upgrade
PS Ratio,2.53,2.62,3.19,3.18,3.36,3.45,3.56,3.39,3.49,3.84,3.45,2.61,2.86,2.82,4.39,3.99,4.11,3.62,3.30,4.07,4.49,3.81,3.93,4.22,4.02,3.88,4.18,3.12,2.84,2.90,3.56,3.36,3.25,2.95,3.06,2.47,2.75,2.78,2.82,2.58,2.45,Upgrade
PB Ratio,1.07,1.11,1.36,1.38,1.35,1.31,1.28,1.19,1.17,1.27,1.08,0.82,0.91,0.94,1.50,1.36,1.49,1.35,1.23,1.54,1.65,1.47,1.54,1.69,1.66,1.61,1.77,1.34,1.24,1.27,1.58,1.34,1.33,1.26,1.30,1.01,1.10,1.05,1.09,1.03,0.98,Upgrade
Debt / Equity Ratio,0.60,0.60,0.70,0.65,0.78,0.44,0.40,0.44,0.54,0.53,0.55,0.55,0.60,0.38,0.70,0.68,0.66,0.46,0.76,0.91,0.95,0.73,0.70,0.94,0.89,0.64,0.98,1.02,1.42,1.03,1.03,0.78,1.03,0.81,1.24,0.98,0.72,0.88,0.91,0.93,1.10,Upgrade
Dividend Yield,3.26%,0.79%,0.67%,0.70%,0.68%,0.61%,0.61%,0.66%,0.63%,0.60%,0.70%,0.94%,0.84%,3.32%,0.54%,0.60%,0.53%,2.06%,0.70%,0.58%,0.49%,0.56%,0.46%,0.43%,0.45%,0.44%,0.40%,0.54%,0.60%,0.59%,0.49%,0.51%,0.52%,0.51%,0.50%,0.66%,0.62%,0.67%,0.59%,0.64%,0.67%,Upgrade
Payout Ratio,24.80%,23.80%,21.70%,27.20%,27.60%,27.50%,31.30%,24.00%,23.30%,24.60%,26.60%,35.80%,36.20%,127.60%,27.20%,24.50%,24.80%,86.30%,26.20%,20.10%,28.60%,29.50%,27.90%,28.60%,20.90%,26.80%,26.20%,27.20%,24.40%,31.00%,26.50%,27.50%,25.60%,23.80%,23.00%,23.80%,25.00%,31.70%,29.00%,29.50%,30.50%,Upgrade
Buyback Yield / Dilution,5.52%,5.52%,8.42%,9.30%,7.67%,5.83%,3.65%,3.58%,2.62%,3.68%,2.76%,0.88%,0.79%,-0.30%,-0.56%,-0.50%,-0.54%,-0.42%,-0.71%,-0.75%,-0.62%,-0.74%,-0.94%,-0.90%,-1.00%,-0.83%,-0.42%,-0.42%,-0.74%,-0.86%,-1.04%,-1.20%,-0.73%,-0.61%,-0.45%,-0.30%,-0.54%,-0.57%,-0.56%,-0.73%,-0.89%,Upgrade
Total Shareholder Return,8.78%,6.31%,9.10%,10.00%,8.35%,6.44%,4.26%,4.24%,3.25%,4.28%,3.46%,1.82%,1.63%,3.01%,-0.02%,0.10%,-0.01%,1.64%,-0.01%,-0.18%,-0.13%,-0.18%,-0.48%,-0.47%,-0.55%,-0.39%,-0.01%,0.12%,-0.15%,-0.27%,-0.55%,-0.69%,-0.20%,-0.11%,0.06%,0.36%,0.09%,0.10%,0.03%,-0.09%,-0.22%,Upgrade
