Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Market Capitalization,419,525,506,720,745,698,"1,505","4,119","2,529","1,119",668,587,385,472,564,741,"1,721"
Market Cap Growth,-,-24.77%,-66.35%,-82.52%,-70.52%,-37.66%,125.23%,602.28%,556.93%,137.04%,18.48%,-20.85%,-77.64%,-,-,-,-
Enterprise Value,"-1,679","-1,580","-1,019","-1,180","-1,381",-979,-628,"1,758",28,160,-291,36,60,20,503,705,"1,537"
PE Ratio,-240.13,-240.13,-57.50,85.95,-60.88,47.50,52.69,321.34,67.84,69.68,95.29,611.23,-99.50,-71.67,-70.53,-74.54,-39.05
PS Ratio,2.06,2.54,2.43,3.37,3.40,2.84,6.53,19.69,13.88,8.72,6.43,7.09,5.76,8.66,12.37,18.16,49.01
PB Ratio,0.95,1.17,1.15,1.64,1.69,1.56,3.38,9.89,9.78,4.75,2.84,2.73,1.81,2.23,2.70,3.55,8.20
Debt / Equity Ratio,0.03,0.03,0.02,0.02,0.01,0.07,0.07,0.01,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.01
Current Ratio,1.18,1.18,1.22,1.19,1.18,1.20,1.16,1.13,1.07,1.10,1.10,1.19,1.37,1.31,-,-,2.25
Buyback Yield / Dilution,-4.08%,-24.45%,-0.10%,-5.93%,-3.11%,7.02%,-12.09%,-1.10%,-3.11%,-13.65%,-2.77%,-5.13%,-192.28%,-215.82%,-279.44%,-331.88%,-65.26%
Total Shareholder Return,-4.08%,-24.45%,-0.10%,-5.93%,-3.11%,7.02%,-12.09%,-1.10%,-3.11%,-13.65%,-2.77%,-5.13%,-192.28%,-215.82%,-279.44%,-331.88%,-65.26%
