Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
Market Capitalization,65,64,47,43,47,47,48,48,42,38,30,29,27,39,33,34,36,34,35,32,31,33,33,32,31,-,-,-,-,-,-,-
Market Cap Growth,-,34.26%,-2.55%,-9.39%,11.08%,24.32%,59.46%,63.19%,56.25%,-1.10%,-10.56%,-14.11%,-25.56%,13.98%,-3.43%,5.37%,17.56%,1.96%,6.39%,2.32%,0.86%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,94,93,75,52,-29,-24,13,33,-23,-291,76,86,47,53,42,48,38,31,47,48,33,35,30,16,-4,-77,11,10,-,-,-,-4
PE Ratio,27.72,28.55,20.26,15.97,14.02,11.70,8.29,7.12,6.11,6.61,7.65,13.39,24.67,38.19,35.55,38.76,52.38,44.30,43.13,41.99,42.59,47.96,59.05,55.53,34.60,-,-,-,-,-,-,-
PS Ratio,2.59,2.53,1.86,1.69,1.75,1.73,1.64,1.56,1.43,1.44,1.34,1.64,1.75,2.74,2.56,2.89,3.32,3.10,3.24,3.10,3.03,3.29,3.38,3.30,3.03,-,-,-,-,-,-,-
PB Ratio,1.55,1.51,1.12,1.05,1.13,1.11,1.13,1.15,1.06,0.98,0.80,0.83,0.80,1.15,1.01,1.04,1.14,1.08,1.12,1.05,1.01,1.05,1.03,1.00,0.99,-,-,-,-,-,-,-
Debt / Equity Ratio,1.08,1.08,1.34,1.11,1.10,1.15,1.17,1.56,1.83,2.18,2.51,2.42,1.19,1.05,1.09,1.05,0.45,0.46,0.60,0.98,0.56,0.52,0.43,0.42,0.40,0.90,1.72,1.95,-,-,-,1.01
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.53%,-,-,-,-,-,-,-,-,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,714.30%,0.00%,0.00%,0.00%,0.00%,-,-,-,-,-,-,-
Buyback Yield / Dilution,-2.91%,-2.91%,-2.99%,0.55%,0.52%,2.08%,2.65%,2.90%,4.17%,2.08%,1.49%,0.82%,-0.67%,-0.43%,-0.43%,-3.53%,-3.35%,-3.53%,-3.53%,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Shareholder Return,-2.91%,-2.91%,-2.99%,0.55%,0.52%,2.08%,2.65%,2.90%,4.17%,2.08%,1.49%,0.82%,-0.67%,-0.43%,-0.43%,-3.53%,-3.35%,-3.53%,-3.53%,-,3.53%,-,-,-,-,-,-,-,-,-,-,-
