Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+42 Quarters
Market Capitalization,"2,682","3,141","3,144","3,050","3,096","4,181","4,464","4,042","3,960","3,151","3,550","2,663","3,251","2,171","2,965","2,595","2,430","1,996","1,605","1,899","1,950","1,900","2,190","1,829","1,877","1,850","1,542","1,961","1,855","1,783","1,385","1,247","1,548","1,859","1,885","1,721","1,942","1,783","1,773","1,562","1,503",Upgrade
Market Cap Growth,-,-24.88%,-29.56%,-24.54%,-21.82%,32.69%,25.74%,51.77%,21.83%,45.16%,19.73%,2.63%,33.79%,8.74%,84.76%,36.66%,24.61%,5.04%,-26.72%,3.84%,3.89%,2.72%,42.05%,-6.76%,1.18%,3.73%,11.33%,57.28%,19.84%,-4.04%,-26.52%,-27.56%,-20.31%,4.26%,6.32%,10.18%,29.22%,11.77%,32.95%,20.55%,-0.41%,Upgrade
Enterprise Value,"2,653","3,129","3,036","2,904","2,988","4,118","4,304","3,901","3,878","3,128","3,544","2,604","3,200","2,168","2,907","2,513","2,376","1,991","1,567","1,734","1,756","1,732","1,997","1,630","1,698","1,693","1,359","1,798","1,714","1,661","1,242","1,101","1,422","1,759","1,760","1,583","1,830","1,657","1,644","1,418","1,395",Upgrade
PE Ratio,16.29,19.11,18.38,15.02,14.75,20.44,21.12,28.36,32.22,30.05,46.36,22.62,27.13,17.70,22.03,21.02,20.21,16.79,14.09,17.46,18.93,19.68,23.82,18.71,19.45,18.91,16.59,24.78,27.43,28.85,21.46,18.37,21.00,24.18,24.96,21.73,24.48,24.61,26.02,22.18,24.08,Upgrade
PS Ratio,4.95,5.83,5.55,5.07,5.03,6.83,7.65,7.48,7.96,7.04,8.31,6.33,7.84,5.14,7.22,6.57,6.26,5.24,4.21,4.91,5.06,4.96,5.78,4.94,5.10,5.12,4.39,5.73,5.67,5.50,4.21,3.79,4.69,5.72,6.00,5.63,6.50,5.98,5.95,5.29,5.14,Upgrade
PB Ratio,7.91,9.32,9.32,9.66,10.70,16.37,17.49,15.28,17.53,16.65,20.38,11.30,15.22,11.10,13.88,9.30,9.48,8.49,7.21,5.86,6.44,6.70,7.95,5.93,6.47,6.77,5.80,7.20,7.27,7.51,5.98,5.07,6.40,8.16,8.27,6.57,7.77,7.71,7.93,6.22,6.41,Upgrade
Debt / Equity Ratio,0.41,0.41,0.41,0.05,0.06,0.08,0.10,0.10,0.13,0.17,0.20,0.16,0.18,0.21,0.20,0.17,0.19,0.22,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Dividend Yield,4.11%,0.90%,0.86%,0.89%,0.87%,0.65%,1.88%,0.55%,0.56%,0.70%,1.92%,0.71%,0.58%,0.87%,3.89%,0.67%,0.71%,0.86%,8.38%,0.83%,0.80%,0.82%,2.77%,0.72%,0.70%,0.71%,2.30%,0.62%,0.65%,0.67%,2.49%,0.92%,1.20%,0.62%,0.54%,0.58%,0.52%,0.56%,3.07%,0.58%,0.60%,Upgrade
Payout Ratio,66.10%,79.20%,82.10%,60.40%,51.90%,64.00%,126.90%,42.50%,46.90%,44.60%,-1390.00%,58.20%,65.00%,90.70%,302.60%,50.00%,54.50%,52.20%,524.10%,50.00%,51.60%,55.90%,290.90%,51.90%,54.90%,56.00%,133.30%,50.00%,48.10%,66.70%,277.80%,92.60%,96.70%,54.30%,62.90%,53.70%,44.90%,50.00%,272.70%,48.80%,58.80%,Upgrade
Buyback Yield / Dilution,-0.13%,-0.13%,0.21%,-0.11%,-0.53%,-1.29%,-1.01%,-1.19%,-0.78%,-0.24%,-0.22%,-0.56%,-0.82%,-1.99%,-2.72%,-1.87%,-1.83%,-1.04%,-0.42%,-1.01%,-0.87%,-1.18%,-1.57%,-1.08%,-1.13%,-0.88%,-1.39%,-1.56%,-1.25%,-0.47%,-0.22%,-0.31%,-0.60%,-1.09%,-1.16%,-1.29%,-1.17%,-1.34%,-1.64%,-1.28%,-1.37%,Upgrade
Total Shareholder Return,4.00%,0.76%,1.08%,0.78%,0.35%,-0.64%,0.88%,-0.65%,-0.22%,0.45%,1.70%,0.16%,-0.24%,-1.12%,1.17%,-1.20%,-1.11%,-0.18%,7.96%,-0.19%,-0.07%,-0.36%,1.19%,-0.36%,-0.43%,-0.18%,0.91%,-0.94%,-0.60%,0.21%,2.27%,0.61%,0.60%,-0.47%,-0.63%,-0.71%,-0.66%,-0.78%,1.43%,-0.70%,-0.77%,Upgrade
