Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+2 Quarters
Market Capitalization,56,56,61,49,43,61,62,70,67,42,39,26,43,51,141,134,152,128,115,139,133,123,116,152,207,228,205,208,221,190,190,209,257,243,232,230,245,250,258,249,-,Upgrade
Market Cap Growth,-,-7.84%,-2.74%,-30.12%,-35.72%,46.18%,59.54%,173.11%,55.58%,-17.54%,-72.33%,-80.92%,-71.87%,-60.32%,22.87%,-4.05%,14.67%,3.84%,-0.94%,-8.17%,-35.83%,-45.97%,-43.39%,-26.87%,-6.59%,20.32%,7.62%,-0.90%,-13.91%,-22.14%,-17.86%,-8.92%,4.88%,-2.70%,-10.20%,-7.71%,-,-,-,-,-,Upgrade
Enterprise Value,167,167,171,144,115,168,146,156,189,176,203,196,222,267,351,344,386,396,373,375,388,400,384,389,449,509,490,462,558,536,515,521,523,532,472,428,384,385,359,318,-,Upgrade
PE Ratio,-4.77,-4.77,-5.04,-4.03,-3.39,-4.04,-32.50,37.62,7.66,2.16,-1.10,-0.71,-1.13,-0.73,-5.11,-3.64,-3.02,-7.84,-7.17,-18.79,-105.86,-10.51,-16.61,89.27,38.00,12.51,22.39,-26.40,104.93,-919.95,13.75,18.07,65.24,46.72,-67.40,15.82,11.07,9.09,8.95,6.11,-,Upgrade
PS Ratio,3.37,3.35,4.06,3.53,3.19,4.04,3.72,3.66,2.98,1.72,1.48,0.84,1.26,1.32,3.21,2.93,3.23,2.70,2.43,2.93,2.74,2.52,2.27,2.71,3.39,3.47,3.00,3.04,3.19,2.81,2.98,3.44,4.78,4.75,4.68,4.77,5.35,6.02,7.29,8.22,-,Upgrade
PB Ratio,0.60,0.60,0.64,0.50,0.42,0.58,0.58,0.63,0.59,0.35,0.36,0.24,0.41,0.50,0.95,0.88,0.99,0.69,0.60,0.69,0.61,0.56,0.52,0.67,0.87,0.91,0.82,0.84,0.86,0.74,0.71,0.73,0.88,1.02,0.96,0.89,0.93,0.95,0.96,0.92,-,Upgrade
Debt / Equity Ratio,1.28,1.28,1.23,1.09,1.00,1.16,1.15,1.12,1.31,1.60,1.96,1.97,2.61,2.68,1.84,1.80,1.80,1.59,1.56,1.41,1.35,1.39,1.35,1.28,1.34,1.29,1.28,1.27,1.39,1.40,1.34,1.22,1.05,1.35,1.23,1.18,1.16,0.73,0.75,0.75,-,Upgrade
Dividend Yield,0.87%,0.87%,-,-,-,-,-,-,-,-,-,-,-,7.98%,2.86%,3.01%,2.64%,3.14%,3.48%,2.87%,3.63%,3.24%,3.43%,4.09%,3.00%,2.72%,3.02%,3.59%,3.36%,3.92%,5.14%,4.76%,3.85%,2.51%,2.63%,2.65%,2.49%,2.44%,2.36%,-,-,Upgrade
Payout Ratio,-4.10%,-75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-9.50%,-14980.00%,234.20%,-13.80%,-2498.30%,-43.70%,-33.80%,80.60%,2498.30%,-624.60%,-108.30%,-111.40%,125.80%,76.50%,-361.70%,102.20%,-174.10%,-101.70%,126.60%,200.10%,62.00%,-54.10%,2350.00%,97.90%,522.20%,90.40%,0.00%,-,Upgrade
Buyback Yield / Dilution,0.00%,0.00%,-,-,-,16.93%,0.00%,-,-,-20.72%,-0.55%,-0.82%,-1.05%,-0.98%,-0.92%,-0.82%,16.59%,-0.65%,-0.58%,-0.57%,-21.45%,-0.54%,-0.53%,-0.51%,-0.52%,-0.56%,-0.42%,1.61%,0.94%,-21.67%,-21.68%,-24.01%,-23.00%,-0.00%,-,-,-,-,-,-,-,Upgrade
Total Shareholder Return,0.86%,0.87%,-,-,-,16.93%,0.00%,-,-,-20.72%,-0.55%,-0.82%,-1.05%,7.00%,1.94%,2.19%,19.23%,2.49%,2.90%,2.30%,-17.81%,2.70%,2.90%,3.58%,2.48%,2.16%,2.59%,5.20%,4.30%,-17.75%,-16.53%,-19.24%,-19.15%,2.51%,2.63%,2.65%,2.49%,2.44%,2.36%,-,-,Upgrade
