Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31
Market Capitalization,590,509,519,414,449,"1,290","1,484","2,094","3,956","6,089",-,-,-,-,-,-
Market Cap Growth,-,-60.51%,-65.03%,-80.25%,-88.65%,-78.81%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"3,856","3,813","4,036","3,988","6,058","8,405","10,020","11,183","13,369","15,033","6,887","4,690",-,-,"4,055","2,590"
PE Ratio,-1.81,-1.81,-1.90,-2.21,-5.94,38.05,13.07,19.96,74.03,135.69,-,-,-,-,-,-
PS Ratio,0.57,0.53,0.41,0.23,0.18,0.44,0.40,0.49,0.83,1.18,-,-,-,-,-,-
PB Ratio,1.37,1.26,1.20,0.83,0.82,2.28,2.83,3.91,7.64,10.08,-,-,-,-,-,-
Debt / Equity Ratio,10.38,10.38,10.38,9.77,12.41,13.81,17.49,18.12,19.40,16.05,-,3.53,-,-,11.10,12.85
Dividend Yield,2.68%,-,-,-,2.74%,-,1.47%,-,2.22%,-,-,-,-,-,-,-
Payout Ratio,-4.60%,0.00%,0.00%,0.00%,-12.10%,0.00%,320.00%,0.00%,988.60%,0.00%,-,-,-,-,-,-
Buyback Yield / Dilution,-22.88%,-22.88%,-23.89%,-24.69%,-21.38%,-10.52%,58.10%,59.91%,61.01%,61.30%,-,-,-,-,-,-
Total Shareholder Return,-22.88%,-22.88%,-23.89%,-24.69%,-18.64%,-10.52%,59.57%,59.91%,63.22%,61.30%,-,-,-,-,-,-
