Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+37 Quarters
Market Capitalization,151,158,155,150,181,208,203,201,244,230,151,122,139,125,260,297,305,310,314,351,348,313,295,353,326,380,340,300,271,247,365,403,403,415,454,532,596,522,551,513,505,Upgrade
Market Cap Growth,-,-24.34%,-23.28%,-25.47%,-25.68%,-9.48%,33.95%,64.08%,75.39%,84.19%,-41.82%,-58.74%,-54.47%,-59.67%,-17.15%,-15.35%,-12.29%,-0.97%,6.19%,-0.55%,6.53%,-17.67%,-13.16%,17.70%,20.30%,53.75%,-6.70%,-25.57%,-32.70%,-40.47%,-19.75%,-24.36%,-32.38%,-20.52%,-17.57%,3.80%,17.94%,7.80%,31.89%,30.40%,38.16%,Upgrade
Enterprise Value,334,338,333,322,368,384,379,373,406,308,222,227,234,224,378,439,451,442,445,489,428,345,328,395,407,496,549,561,569,565,671,867,858,900,926,915,"1,005",897,962,931,904,Upgrade
PE Ratio,-2.22,-2.22,-1.82,-2.39,-4.49,21.70,5.12,2.54,2.74,2.24,88.38,-2.86,-1.43,-1.00,-7.93,-4.79,-13.62,-38.94,-34.06,8.49,8.52,7.27,6.78,5.55,3.25,2.72,3.08,44.01,-4.12,-2.37,-5.51,-14.71,362.48,98.56,-135.74,13.93,9.46,10.17,9.35,8.54,7.86,Upgrade
PS Ratio,3.33,3.41,3.61,3.62,4.55,5.53,5.45,5.64,7.15,6.67,4.21,3.01,2.98,2.11,4.15,4.61,4.65,5.42,5.58,6.43,6.46,5.37,4.81,5.28,4.63,5.39,4.91,4.33,3.65,3.05,4.17,4.14,3.87,3.76,3.87,4.46,5.12,4.66,5.25,5.40,6.08,Upgrade
PB Ratio,1.10,1.13,1.12,0.90,0.99,0.90,0.83,0.81,1.00,0.95,0.67,0.64,0.79,0.76,1.05,1.15,1.01,0.97,1.00,0.95,0.93,0.82,0.76,0.92,0.84,0.98,0.88,0.82,0.81,0.82,1.01,0.86,0.78,0.79,0.87,0.94,1.02,0.89,1.05,0.97,0.99,Upgrade
Debt / Equity Ratio,1.37,1.37,1.34,1.12,1.15,0.82,0.76,0.77,0.93,0.49,0.58,0.56,0.66,0.65,0.54,0.59,0.53,0.45,0.47,0.41,0.55,0.21,0.16,0.42,0.60,0.51,0.57,0.88,1.04,1.16,0.96,1.08,1.01,1.01,0.98,0.81,0.81,0.83,0.87,0.90,0.97,Upgrade
Dividend Yield,13.84%,3.32%,3.37%,3.49%,2.89%,2.51%,2.57%,2.59%,2.14%,2.26%,3.44%,4.25%,7.18%,7.91%,3.71%,3.23%,3.14%,3.08%,3.07%,2.81%,2.88%,3.27%,3.67%,3.39%,3.66%,3.14%,5.20%,5.95%,6.58%,7.40%,5.49%,5.04%,5.04%,4.56%,4.49%,3.83%,3.42%,3.58%,3.33%,3.55%,3.59%,Upgrade
Payout Ratio,-29.60%,80.80%,-22.80%,-47.70%,-12.10%,-65.60%,-,45.70%,80.80%,23.90%,13.10%,25.00%,49.00%,-12.40%,-201.00%,-29.10%,-125.60%,74.10%,-29.00%,153.80%,142.90%,90.90%,62.50%,166.70%,111.10%,87.00%,40.80%,34.90%,30.90%,-90.60%,-25.70%,-58.00%,170.60%,77.10%,-59.20%,-1450.00%,131.80%,120.80%,120.80%,64.40%,966.70%,Upgrade
Buyback Yield / Dilution,-0.32%,-0.32%,-0.30%,-0.28%,-0.26%,-0.22%,-0.15%,-0.09%,-0.04%,-0.92%,-3.35%,-3.87%,-4.07%,-3.12%,0.43%,2.96%,4.86%,6.93%,11.11%,17.63%,16.14%,14.28%,11.18%,2.90%,2.90%,5.25%,11.61%,12.15%,12.15%,10.01%,1.92%,0.40%,0.32%,-8.76%,-11.07%,-11.97%,-12.26%,-15.85%,-56.21%,-57.43%,-65.74%,Upgrade
Total Shareholder Return,13.32%,3.00%,3.06%,3.21%,2.63%,2.28%,2.42%,2.50%,2.10%,1.34%,0.09%,0.38%,3.11%,4.79%,4.14%,6.19%,8.00%,10.01%,14.18%,20.44%,19.02%,17.55%,14.85%,6.29%,6.56%,8.39%,16.81%,18.11%,18.73%,17.41%,7.41%,5.44%,5.36%,-4.20%,-6.58%,-8.14%,-8.84%,-12.27%,-52.88%,-53.88%,-62.15%,Upgrade
