Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
Market Capitalization,302,513,411,177,189,163,209,390,216,157,49,22,33,8,10,29,28,38,26,38,22,34,41,66,158,233,229,334,283,466,602,-,-,-,-,-,-
Market Cap Growth,-,214.17%,96.75%,-54.51%,-12.49%,3.88%,323.49%,1672.88%,563.49%,1989.23%,388.05%,-24.28%,16.72%,-80.30%,-60.47%,-23.16%,25.29%,13.70%,-37.46%,-42.35%,-85.94%,-85.56%,-82.19%,-80.33%,-44.07%,-50.10%,-61.88%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,574,785,685,466,490,465,492,673,488,450,328,307,313,295,299,322,317,337,311,330,309,318,322,354,443,509,494,614,562,749,897,411,-,-,157,-,113
PE Ratio,7.56,12.38,11.24,7.18,9.72,8.36,13.10,17.30,9.94,9.36,3.06,3.41,-1915.67,33.28,-1.97,-3.05,-1.86,-1.15,-0.68,-0.85,-0.57,-1.35,-1.86,-5.75,-23.81,-48.22,42.50,47.50,26.57,44.81,-357.29,-,-,-,-,-,-
PS Ratio,0.62,1.06,0.86,0.40,0.45,0.41,0.56,1.07,0.62,0.48,0.16,0.07,0.11,0.03,0.04,0.11,0.10,0.14,0.10,0.16,0.10,0.15,0.18,0.27,0.61,0.84,0.74,1.00,0.78,1.22,1.61,-,-,-,-,-,-
PB Ratio,-7.25,-7.25,-5.00,-1.88,-1.77,-1.43,-1.72,-3.18,-1.67,-1.16,-0.36,-0.15,-0.22,-0.05,-0.06,-0.19,-0.19,-0.25,-0.17,-0.27,-0.16,-0.27,-0.34,-0.62,-1.50,-2.28,-2.41,-3.75,-3.11,-5.66,-6.95,-,-,-,-,-,-
Debt / Equity Ratio,-4.04,-4.04,-3.48,-3.29,-2.90,-2.76,-2.51,-2.47,-2.34,-2.34,-2.44,-2.31,-2.23,-2.23,-1.99,-2.05,-2.05,-2.01,-2.04,-2.15,-2.17,-2.47,-2.54,-2.87,-2.86,-2.97,-3.17,-3.39,-3.41,-3.76,-3.57,-2.03,-,-,-7.83,-,-3.31
Current Ratio,2.93,2.93,2.46,2.76,2.56,2.64,2.25,2.66,2.52,2.91,2.68,2.97,2.95,3.39,2.21,2.45,2.36,2.14,2.05,2.45,2.24,2.68,2.91,2.68,2.39,2.35,2.62,2.72,2.33,2.72,2.40,2.09,-,-,2.42,-,1.89
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.58%,1.07%,1.08%,0.75%,0.89%,0.55%,-,-,-,-,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-112.50%,-56.20%,-60.80%,64.30%,-450.00%,45.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-1.57%,-1.57%,-0.12%,0.09%,0.35%,-0.68%,-5.05%,-5.05%,-4.71%,-3.34%,0.01%,-0.07%,0.07%,-0.91%,-0.57%,-0.57%,-0.89%,-0.23%,-0.23%,-0.29%,-0.19%,-0.45%,-0.69%,-0.24%,1.05%,2.48%,2.09%,2.16%,0.49%,-0.12%,-,-,-,-,-,-,-
Total Shareholder Return,-1.57%,-1.57%,-0.12%,0.09%,0.35%,-0.68%,-5.05%,-5.05%,-4.71%,-3.34%,0.01%,-0.07%,0.07%,-0.91%,-0.57%,-0.57%,-0.89%,-0.23%,-0.23%,-0.29%,-0.19%,-0.45%,-0.69%,-0.24%,2.63%,3.56%,3.18%,2.91%,1.38%,0.43%,-,-,-,-,-,-,-
