Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31,2016-12-31
Market Capitalization,285,322,467,442,412,477,504,514,499,510,469,336,338,283,390,372,-,-,-,-,-,-
Market Cap Growth,-,-32.52%,-7.37%,-14.07%,-17.46%,-6.48%,7.52%,53.18%,47.54%,80.54%,20.29%,-9.80%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,576,613,851,690,680,407,325,418,247,386,362,307,196,151,313,379,-,-,112,-,-33,-148
PE Ratio,7.35,8.47,11.67,10.57,9.10,10.01,9.56,10.25,9.11,9.36,10.49,7.96,10.70,9.93,13.19,13.33,-,-,-,-,-,-
PS Ratio,1.37,1.55,2.21,2.04,1.87,2.11,2.12,2.14,2.04,2.11,2.11,1.61,1.77,1.54,2.15,2.08,-,-,-,-,-,-
PB Ratio,0.79,0.90,1.31,1.28,1.34,1.45,1.40,1.46,1.45,1.55,1.42,1.04,1.11,0.96,1.36,1.32,-,-,-,-,-,-
Debt / Equity Ratio,1.22,1.22,1.24,0.92,0.99,0.19,0.18,0.18,0.19,0.20,0.20,0.21,0.22,0.23,0.24,0.24,-,-,0.94,-,0.60,0.43
Dividend Yield,5.07%,1.13%,0.78%,0.82%,0.77%,0.59%,0.56%,0.54%,0.56%,0.51%,0.56%,0.78%,0.77%,0.92%,0.67%,0.55%,-,-,-,-,-,-
Payout Ratio,36.70%,43.90%,33.30%,37.50%,34.00%,27.60%,21.90%,21.30%,23.90%,17.20%,25.40%,14.90%,22.70%,48.40%,34.90%,28.60%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,-15.69%,-15.69%,-15.81%,-15.61%,-0.20%,-0.20%,-0.19%,-0.26%,-0.30%,-0.34%,-0.15%,-19.33%,-23.72%,-23.63%,-23.80%,-3.94%,-1.15%,-2.12%,-,-,-,-
Total Shareholder Return,-10.62%,-14.56%,-15.03%,-14.78%,0.57%,0.39%,0.37%,0.28%,0.26%,0.17%,0.41%,-18.55%,-22.95%,-22.71%,-23.13%,-3.39%,-1.15%,-2.12%,-,-,-,-
