Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Market Capitalization,"5,014","4,930","4,549","4,084","4,865","5,832","5,567","5,538","5,585","5,390","4,915","4,639","4,732","4,558","6,962","6,051",-,-,-,-,-,-,-,-,-,-,-,-
Market Cap Growth,-,-15.47%,-18.29%,-26.26%,-12.89%,8.21%,13.27%,19.37%,18.03%,18.25%,-29.40%,-23.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"12,019","11,914","11,385","10,825","11,575","12,533","12,199","11,678","11,342","10,680","9,850","8,724","8,039","7,813","9,683","8,312","1,323","2,671","2,440","1,823","1,324","1,313",899,837,706,436,283,171
PE Ratio,8.15,7.90,9.75,9.11,14.93,11.41,8.91,8.77,7.93,6.28,12.68,13.36,18.94,64.26,13.98,15.41,-,-,-,-,-,-,-,-,-,-,-,-
PS Ratio,3.83,3.75,3.78,3.60,4.47,5.48,5.45,5.76,6.36,6.57,6.12,5.92,6.03,5.91,9.70,9.42,-,-,-,-,-,-,-,-,-,-,-,-
PB Ratio,0.85,0.83,0.77,0.70,0.85,0.99,0.94,0.94,0.96,0.93,0.86,0.82,0.85,0.83,1.17,1.02,-,-,-,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,1.25,1.25,1.24,1.23,1.24,1.20,1.19,1.18,1.09,0.96,0.92,0.76,0.63,0.66,0.51,0.42,0.28,0.68,0.79,0.71,0.71,0.80,0.62,0.66,0.73,0.86,0.72,0.82
Dividend Yield,10.51%,-,3.12%,2.99%,2.51%,2.10%,2.19%,2.20%,2.17%,2.25%,3.09%,3.25%,3.18%,3.37%,1.63%,2.10%,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,62.00%,0.00%,75.00%,46.30%,-344.40%,281.80%,70.50%,86.10%,81.60%,77.50%,83.00%,69.60%,49.40%,-49.40%,100.00%,106.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.83%,0.83%,-0.05%,-0.28%,-0.60%,-0.82%,-1.12%,-1.60%,-1.65%,0.59%,-19.88%,-0.44%,-35.37%,-66.79%,-121.71%,-135.52%,-132.09%,-133.73%,-118.27%,-123.41%,-115.61%,-119.95%,-214.28%,-146.80%,-585.15%,-42532.75%,-,-
Total Shareholder Return,11.31%,0.83%,3.06%,2.71%,1.91%,1.28%,1.07%,0.60%,0.52%,2.84%,-16.79%,2.81%,-32.19%,-63.43%,-120.08%,-133.42%,-132.09%,-133.73%,-118.27%,-123.41%,-115.61%,-119.95%,-214.28%,-146.80%,-585.15%,-42532.75%,-,-
