Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+71 Quarters
Market Capitalization,"1,348","1,367","1,528","1,443","1,590","1,730","1,606","1,651","1,552","1,790","1,741","1,381","1,517","1,510","1,800","1,909","1,658","1,443","1,533","1,842","1,824","1,743","1,793","1,600","1,533","1,656","1,721","1,472","1,356","1,280","1,350","1,368","1,497","1,405","1,391","1,167","1,274","1,177","1,272","1,134",968,Upgrade
Market Cap Growth,-,-20.96%,-4.81%,-12.57%,2.44%,-3.36%,-7.78%,19.54%,2.35%,18.54%,-3.26%,-27.65%,-8.53%,4.63%,17.38%,3.65%,-9.09%,-17.22%,-14.51%,15.06%,19.01%,5.28%,4.22%,8.73%,13.03%,29.36%,27.43%,7.63%,-9.42%,-8.90%,-2.90%,17.19%,17.52%,19.43%,9.34%,2.89%,31.62%,42.44%,61.82%,59.05%,39.56%,Upgrade
Enterprise Value,"1,818","1,838","1,984","1,905","2,038","2,183","1,974","1,999","1,936","2,188","2,156","1,753","1,871","1,902","2,207","2,302","1,948","1,734","1,819","2,133","2,113","2,017","2,083","1,841","1,764","1,897","1,951","1,666","1,552","1,477","1,582","1,556","1,689","1,599","1,617","1,364","1,467","1,380","1,492","1,326","1,168",Upgrade
PE Ratio,-130.21,-130.21,-587.83,23.20,24.62,13.97,11.24,11.00,9.12,11.62,13.06,11.66,14.12,8.84,9.76,14.55,14.02,47.54,83.59,11.23,10.25,10.00,10.58,25.03,23.82,22.40,20.54,17.32,16.94,15.17,14.45,13.34,14.14,12.76,13.34,10.76,11.94,10.48,11.47,10.46,8.26,Upgrade
PS Ratio,0.97,0.98,1.11,1.06,1.17,1.28,1.21,1.22,1.14,1.35,1.33,1.08,1.18,1.06,1.26,1.38,1.22,1.19,1.29,1.51,1.53,1.48,1.53,1.39,1.33,1.45,1.52,1.31,1.24,1.18,1.25,1.27,1.40,1.31,1.31,1.11,1.23,1.13,1.23,1.10,0.94,Upgrade
PB Ratio,1.18,1.20,1.39,1.34,1.26,1.13,0.89,0.92,0.86,1.06,0.97,0.81,0.93,1.02,1.15,1.21,1.11,1.01,1.19,1.41,1.35,1.24,1.19,1.15,1.13,1.25,1.33,1.02,0.96,0.96,1.07,1.05,1.15,1.00,1.04,0.91,0.99,0.98,1.16,1.04,0.88,Upgrade
Debt / Equity Ratio,0.44,0.44,0.45,0.46,0.40,0.33,0.28,0.22,0.23,0.26,0.24,0.25,0.27,0.29,0.28,0.27,0.20,0.21,0.23,0.23,0.22,0.21,0.20,0.18,0.18,0.19,0.19,0.17,0.17,0.18,0.20,0.18,0.18,0.17,0.18,0.18,0.19,0.20,0.22,0.22,0.21,Upgrade
Dividend Yield,3.91%,1.00%,0.87%,0.92%,0.84%,0.78%,0.81%,0.79%,0.84%,0.73%,0.72%,0.91%,0.83%,0.83%,0.67%,0.63%,0.73%,0.83%,0.79%,0.65%,0.65%,0.68%,0.64%,0.71%,0.74%,0.69%,0.64%,0.74%,0.81%,0.86%,0.79%,0.77%,0.71%,0.75%,0.70%,0.83%,0.76%,0.83%,0.67%,0.72%,0.86%,Upgrade
Payout Ratio,-516.00%,206.20%,-72.70%,97.00%,-106.70%,66.70%,32.30%,79.50%,27.90%,33.00%,26.30%,34.50%,41.10%,68.20%,36.30%,47.00%,12.80%,37.30%,-58.20%,95.00%,203.60%,58.20%,9.10%,43.00%,550.00%,74.30%,54.10%,40.20%,91.40%,43.40%,50.00%,47.20%,64.10%,30.50%,32.40%,37.70%,46.90%,33.30%,24.40%,33.10%,30.80%,Upgrade
Buyback Yield / Dilution,1.66%,1.66%,1.66%,1.42%,0.71%,-,-0.48%,-0.24%,-0.24%,-0.24%,-0.32%,-0.17%,-0.19%,-0.51%,1.25%,-0.43%,-0.45%,-0.32%,-1.28%,-0.66%,-0.58%,-0.75%,-0.28%,-0.55%,-0.43%,0.36%,2.04%,2.26%,2.62%,1.91%,-0.37%,0.03%,-0.27%,-0.10%,-0.03%,-1.41%,-2.21%,-2.85%,-1.86%,-1.44%,-0.22%,Upgrade
Total Shareholder Return,5.58%,2.66%,2.53%,2.34%,1.55%,0.78%,0.34%,0.55%,0.60%,0.49%,0.41%,0.75%,0.64%,0.32%,1.92%,0.20%,0.28%,0.51%,-0.49%,-0.01%,0.07%,-0.07%,0.37%,0.16%,0.31%,1.05%,2.68%,3.01%,3.43%,2.77%,0.42%,0.81%,0.44%,0.66%,0.67%,-0.57%,-1.45%,-2.02%,-1.19%,-0.73%,0.64%,Upgrade
