Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+4 Quarters
Market Capitalization,847,815,815,664,743,882,694,678,518,259,182,237,134,86,58,85,92,84,83,92,93,86,103,116,115,120,137,113,113,139,131,81,73,74,69,79,83,97,-,-,-,Upgrade
Market Cap Growth,-,-7.60%,17.43%,-2.04%,43.42%,240.66%,281.40%,185.68%,286.59%,200.00%,212.74%,179.98%,45.98%,3.19%,-29.86%,-7.45%,-1.73%,-2.86%,-19.52%,-21.14%,-18.96%,-28.28%,-24.87%,3.01%,1.78%,-13.46%,4.31%,39.79%,55.30%,88.03%,89.36%,1.83%,-11.76%,-24.01%,-,-,-,-,-,-,-,Upgrade
Enterprise Value,"1,233","1,200","1,288",808,"1,079","1,230",933,975,738,557,554,423,274,278,241,357,309,263,273,311,290,278,334,349,309,386,310,306,264,334,267,242,178,239,296,223,229,259,116,129,112,Upgrade
PE Ratio,5.53,5.37,5.31,4.38,5.60,6.04,3.74,4.17,3.24,2.05,2.97,4.44,4.39,7.28,38.03,97.17,41.24,7606.75,-51.43,-38.24,-27.49,100.16,38.74,20.68,16.26,17.32,19.69,20.12,12.21,12.89,11.68,6.99,10.34,12.23,10.77,11.26,10.00,7.81,-,-,-,Upgrade
PS Ratio,0.10,0.10,0.10,0.08,0.09,0.11,0.09,0.09,0.07,0.04,0.03,0.04,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,-,-,-,Upgrade
PB Ratio,1.51,1.45,1.51,1.32,1.52,2.00,1.72,1.83,1.43,0.84,1.60,2.08,1.33,1.04,0.81,1.21,1.32,1.19,1.20,1.35,1.42,1.26,1.48,1.66,1.66,1.75,2.03,1.73,1.79,2.20,2.12,1.32,1.30,1.37,1.33,1.56,1.67,2.03,-,-,-,Upgrade
Debt / Equity Ratio,1.10,1.10,1.28,0.65,1.21,1.24,1.02,1.37,1.32,1.65,4.76,3.58,2.99,4.69,4.93,6.51,5.07,4.29,4.47,4.79,4.89,4.58,4.91,5.01,4.54,5.39,4.54,4.93,4.29,4.50,3.43,3.72,3.33,3.36,4.42,2.93,3.23,3.54,2.48,2.87,2.51,Upgrade
Current Ratio,1.31,1.31,1.29,1.59,1.41,1.43,1.48,1.34,1.36,1.25,1.20,1.24,1.28,1.19,1.24,1.19,1.24,1.25,1.23,1.23,1.06,1.07,1.09,1.11,1.11,1.10,1.11,1.13,1.14,1.13,1.16,1.15,1.16,1.15,1.13,1.15,1.16,1.15,1.19,1.19,1.17,Upgrade
Dividend Yield,4.39%,0.60%,0.61%,3.72%,-,-,-,3.54%,-,-,6.36%,4.73%,-,-,-,-,-,-,-,-,-,0.65%,0.55%,0.49%,0.49%,0.47%,0.36%,0.44%,0.44%,0.36%,0.27%,0.44%,0.48%,0.48%,-,-,-,-,-,-,-,Upgrade
Payout Ratio,21.50%,13.10%,14.00%,51.80%,0.00%,0.00%,0.00%,86.20%,0.00%,0.00%,119.00%,45.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-88.90%,-266.70%,114.30%,44.40%,47.10%,17.90%,25.00%,46.70%,41.20%,25.00%,6.20%,13.50%,20.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.94%,-0.94%,-1.42%,-2.78%,-36.49%,-40.89%,-58.07%,-60.66%,-25.79%,-23.08%,-9.31%,-5.42%,-0.75%,0.59%,0.41%,0.01%,-0.68%,-0.75%,-0.77%,0.43%,1.27%,1.38%,1.09%,-0.20%,0.34%,0.23%,0.14%,-0.71%,-1.14%,-1.20%,-0.84%,0.10%,0.70%,6.04%,10.48%,10.28%,8.31%,2.70%,-2.30%,-1.13%,6.58%,Upgrade
Total Shareholder Return,3.50%,-0.34%,-0.82%,0.94%,-36.49%,-40.89%,-58.07%,-57.12%,-25.79%,-23.08%,-2.95%,-0.69%,-0.75%,0.59%,0.41%,0.01%,-0.68%,-0.75%,-0.77%,0.43%,1.27%,2.03%,1.64%,0.30%,0.83%,0.71%,0.50%,-0.26%,-0.69%,-0.84%,-0.57%,0.54%,1.19%,6.52%,10.48%,10.28%,8.31%,2.70%,-2.30%,-1.13%,6.58%,Upgrade
