Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2019-12-31
Market Capitalization,"1,557","1,960","1,859","2,187","2,277","3,227",-,-,-,-,-,-
Market Cap Growth,-,-39.25%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"13,814","14,235","13,956","14,387","8,464","8,217","4,264",-,-,-,"4,093","4,381"
PE Ratio,1.66,2.32,2.04,2.90,3.43,-23.55,-,-,-,-,-,-
PS Ratio,0.14,0.17,0.18,0.22,0.24,0.34,-,-,-,-,-,-
PB Ratio,8.01,10.21,5.18,16.69,40.66,-4.79,-,-,-,-,-,-
Debt / Equity Ratio,68.73,68.73,35.97,101.12,140.95,-8.56,-10.17,-,-,-,4.23,3.79
Current Ratio,0.89,0.89,0.82,0.79,0.92,0.66,0.69,-,-,-,0.98,1.01
Dividend Yield,1.17%,-,-,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,0.05%,0.05%,-26.85%,-,-,-,-,-,-,-,-,-
Total Shareholder Return,1.24%,0.05%,-26.85%,-,-,-,-,-,-,-,-,-
