Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"1,761","2,307","2,819","2,644","2,323","2,668","2,742","2,492","2,566","2,767","2,064","1,512","1,704","1,888","2,861","2,690","2,763","2,630","2,726","2,929","2,900","3,111","3,135","3,280","3,322","3,108","3,257","2,513","2,342","2,323","2,264","2,117","2,308","2,209","2,290","2,081","2,341","2,408","2,518","2,264","2,240",Upgrade
Market Cap Growth,-,-13.51%,2.80%,6.12%,-9.47%,-3.57%,32.87%,64.79%,50.61%,46.56%,-27.85%,-43.79%,-38.35%,-28.22%,4.94%,-8.15%,-4.71%,-15.48%,-13.04%,-10.70%,-12.69%,0.12%,-3.77%,30.54%,41.84%,33.77%,43.87%,18.71%,1.48%,5.15%,-1.12%,1.73%,-1.44%,-8.24%,-9.07%,-8.08%,4.51%,3.70%,31.61%,14.69%,11.69%,Upgrade
Enterprise Value,"3,641","4,187","5,008","3,540","2,856","2,519","2,142","1,117","1,823","2,252","2,142","1,885","2,513","3,797","4,108","3,651","4,440","4,083","4,027","3,994","4,478","4,677","4,388","3,934","4,637","4,320","4,376","3,288","3,597","3,212","3,380","2,923","3,427","2,984","3,295","3,152","3,836","3,875","4,278","3,867","4,400",Upgrade
PE Ratio,6.34,8.22,10.19,10.30,8.88,10.40,10.34,9.79,10.55,12.56,11.73,8.64,9.71,9.65,12.64,11.37,11.51,12.20,13.08,15.89,17.31,17.49,18.25,18.23,19.26,18.64,20.16,15.90,15.53,15.73,15.15,14.22,15.06,14.15,14.50,12.84,14.33,14.65,15.56,14.15,13.86,Upgrade
PS Ratio,1.76,2.31,2.87,2.79,2.50,2.93,2.88,2.68,2.84,3.16,2.64,1.98,2.20,2.37,3.44,3.20,3.32,3.33,3.50,3.78,3.82,4.02,4.12,4.43,4.61,4.40,4.67,3.65,3.43,3.43,3.33,3.13,3.42,3.27,3.42,3.09,3.46,3.55,3.73,3.34,3.34,Upgrade
PB Ratio,0.67,0.88,1.09,1.07,0.94,1.04,1.01,0.92,0.95,1.05,0.79,0.63,0.73,0.83,1.22,1.16,1.20,1.14,1.21,1.28,1.29,1.39,1.41,1.47,1.52,1.44,1.54,1.18,1.11,1.12,1.11,1.05,1.14,1.09,1.15,1.00,1.12,1.17,1.22,1.12,1.10,Upgrade
Debt / Equity Ratio,0.93,0.93,1.11,0.58,0.41,0.39,0.38,0.41,0.43,0.44,0.74,0.80,0.80,1.21,0.75,0.67,0.94,0.82,0.78,0.65,0.88,0.84,0.74,0.60,0.79,0.74,0.69,0.58,0.80,0.64,0.71,0.70,0.76,0.74,0.74,0.76,0.94,0.95,1.04,1.03,1.24,Upgrade
Dividend Yield,6.20%,1.09%,1.25%,0.95%,1.04%,0.90%,1.29%,0.92%,0.89%,0.82%,2.36%,-,1.23%,1.13%,0.98%,0.80%,0.79%,0.84%,1.03%,0.72%,0.73%,0.68%,0.78%,0.59%,0.58%,0.62%,0.64%,0.69%,0.74%,0.67%,0.85%,0.74%,0.69%,0.73%,0.81%,0.72%,0.65%,0.64%,0.61%,0.68%,0.70%,Upgrade
Payout Ratio,38.80%,38.50%,43.80%,36.60%,35.70%,39.50%,61.10%,31.10%,36.80%,32.60%,100.00%,0.00%,54.20%,81.20%,56.70%,34.20%,36.10%,39.40%,48.50%,32.40%,60.00%,42.90%,73.70%,39.30%,42.30%,44.00%,50.00%,41.70%,43.50%,40.90%,50.00%,45.00%,42.90%,40.90%,47.60%,38.10%,38.10%,36.40%,36.40%,38.10%,38.10%,Upgrade
Buyback Yield / Dilution,-4.01%,-4.01%,-3.84%,-2.63%,1.14%,1.19%,0.58%,-0.62%,-0.50%,1.12%,1.14%,2.52%,4.16%,3.29%,6.80%,5.48%,3.95%,3.08%,-0.56%,-0.56%,-0.54%,-0.68%,-1.07%,-1.09%,-0.78%,-0.27%,0.44%,1.08%,1.83%,3.02%,6.06%,6.84%,6.50%,6.45%,3.73%,3.11%,3.17%,3.56%,3.34%,3.28%,2.81%,Upgrade
Total Shareholder Return,2.18%,-2.93%,-2.59%,-1.68%,2.18%,2.10%,1.88%,0.30%,0.39%,1.94%,3.50%,2.52%,5.39%,4.42%,7.78%,6.29%,4.75%,3.92%,0.48%,0.16%,0.19%,-0.01%,-0.29%,-0.50%,-0.20%,0.34%,1.08%,1.77%,2.57%,3.69%,6.91%,7.59%,7.19%,7.18%,4.54%,3.83%,3.81%,4.19%,3.96%,3.97%,3.51%,Upgrade
