Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,221,241,288,264,278,293,272,243,230,229,185,124,156,127,245,241,246,204,223,246,244,235,209,209,181,178,147,120,108,96,105,82,82,76,79,73,71,60,58,56,54,Upgrade
Market Cap Growth,-,-17.48%,5.83%,8.75%,20.98%,27.74%,46.86%,96.22%,47.59%,79.85%,-24.42%,-48.59%,-36.74%,-37.53%,9.83%,-2.15%,0.98%,-13.21%,6.65%,17.51%,34.46%,32.01%,42.76%,74.82%,68.35%,85.09%,39.57%,45.37%,30.50%,25.79%,33.04%,12.38%,16.87%,26.84%,36.64%,30.17%,31.71%,22.85%,23.45%,23.06%,19.67%,Upgrade
Enterprise Value,476,499,567,391,344,155,78,97,183,170,176,173,202,128,381,294,291,260,298,292,335,310,344,267,229,205,172,160,136,75,124,99,123,113,90,87,116,63,81,72,123,Upgrade
PE Ratio,5.77,6.09,7.49,6.90,7.36,7.97,7.54,7.20,7.65,8.56,7.84,5.52,6.88,5.47,10.37,10.31,10.76,9.09,10.19,13.21,14.43,15.73,16.24,15.44,14.14,14.59,11.11,9.43,8.81,8.13,11.00,9.55,10.37,10.83,12.33,12.26,13.39,13.03,14.01,15.54,16.55,Upgrade
PS Ratio,2.26,2.49,3.07,2.85,3.02,3.25,3.06,2.83,2.84,3.04,2.64,1.86,2.39,1.94,3.77,3.76,3.89,3.30,3.68,4.16,4.28,4.29,3.99,4.13,3.70,3.76,3.05,2.56,2.35,2.15,2.55,2.11,2.21,2.15,2.31,2.20,2.19,1.88,1.83,1.77,1.69,Upgrade
PB Ratio,0.91,1.00,1.21,1.15,1.26,1.36,1.32,1.24,1.22,1.26,1.07,0.73,0.93,0.78,1.53,1.55,1.65,1.42,1.61,1.85,1.90,1.91,1.77,1.81,1.61,1.63,1.38,1.36,1.27,1.17,1.34,1.08,1.12,1.06,1.13,1.07,1.17,1.02,1.01,1.01,0.79,Upgrade
Debt / Equity Ratio,1.60,1.60,1.64,1.26,0.79,0.23,0.24,0.36,0.93,1.00,1.21,1.48,1.40,1.09,1.83,1.42,1.34,1.43,1.59,1.43,1.80,1.55,2.42,1.40,1.35,1.19,1.24,1.42,1.46,1.28,1.37,1.39,1.77,2.37,2.00,1.69,2.32,2.22,2.14,1.62,1.84,Upgrade
Dividend Yield,2.11%,0.53%,0.41%,0.45%,0.42%,0.36%,0.39%,0.39%,0.41%,0.37%,0.46%,0.69%,0.56%,0.69%,0.36%,0.37%,0.36%,0.38%,0.34%,0.31%,0.31%,0.28%,0.31%,0.31%,0.36%,0.30%,0.34%,0.36%,0.32%,0.36%,0.32%,0.41%,0.31%,0.33%,0.32%,0.32%,0.22%,0.25%,0.13%,0.14%,0.15%,Upgrade
Payout Ratio,12.00%,12.20%,11.70%,11.70%,12.20%,11.50%,10.60%,9.90%,11.10%,9.90%,11.40%,14.80%,16.70%,16.30%,14.30%,14.50%,14.80%,13.20%,13.00%,13.70%,14.00%,12.20%,26.10%,16.70%,18.20%,16.70%,15.60%,14.10%,12.00%,8.00%,12.90%,12.90%,10.20%,12.90%,14.10%,12.40%,9.90%,11.60%,5.80%,6.20%,8.30%,Upgrade
Buyback Yield / Dilution,-0.21%,-0.21%,-1.82%,-1.97%,-1.30%,-0.94%,0.80%,1.86%,2.93%,4.28%,3.87%,2.99%,1.25%,-0.75%,-1.14%,-0.91%,-1.02%,-0.94%,-1.30%,-1.63%,-1.68%,-1.38%,-9.21%,-13.32%,-13.38%,-12.09%,-5.18%,-1.14%,-0.98%,-1.97%,-0.68%,-7.42%,-10.85%,-11.24%,-11.07%,-1.59%,2.79%,2.43%,2.29%,-0.51%,-1.63%,Upgrade
Total Shareholder Return,1.91%,0.32%,-1.41%,-1.52%,-0.87%,-0.57%,1.19%,2.25%,3.34%,4.65%,4.33%,3.68%,1.81%,-0.06%,-0.78%,-0.55%,-0.66%,-0.56%,-0.95%,-1.31%,-1.36%,-1.11%,-8.90%,-13.01%,-13.03%,-11.79%,-4.85%,-0.78%,-0.66%,-1.61%,-0.36%,-7.01%,-10.54%,-10.91%,-10.76%,-1.26%,3.01%,2.69%,2.42%,-0.38%,-1.49%,Upgrade
