Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Market Capitalization,"5,539","2,921","2,811","2,998","3,832","3,598","4,727",132,129,-,-,-,-
Market Cap Growth,-,-18.81%,-40.54%,2176.86%,2880.93%,-,-,-,-,-,-,-,-
Enterprise Value,"5,166","2,548","2,435","2,495","3,357","3,154","4,259",-127,-133,-,-230,-,-195
PE Ratio,1181.76,1181.76,87.63,-200.11,-126.98,-298.74,-101.97,-21.03,24.53,-,-,-,-
PS Ratio,6.61,3.49,3.57,4.02,5.50,5.47,7.64,0.23,0.23,-,-,-,-
PB Ratio,89.18,47.04,47.44,30.25,53.14,48.64,-14.60,1.11,1.07,-,-,-,-
Debt / Equity Ratio,2.70,2.70,3.19,1.37,1.21,1.59,-0.42,0.99,0.72,-,0.59,-,0.24
Current Ratio,1.33,1.33,1.40,1.46,1.45,1.66,1.81,1.24,1.23,-,1.33,-,1.31
Buyback Yield / Dilution,75.22%,75.22%,-311.06%,-336668.00%,-82352.00%,-335803.00%,-82227.00%,-,-32.16%,-,-,-,-
Total Shareholder Return,75.22%,75.22%,-311.06%,-336668.00%,-82352.00%,-335803.00%,-82227.00%,-,-32.16%,-,-,-,-
