Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,316,368,470,489,456,488,517,412,416,-,-,-,-,-,-
Market Cap Growth,-,-24.54%,-9.08%,18.60%,9.53%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,167,219,388,383,278,17,120,-90,-92,-406,-262,-,-,-,-124
PE Ratio,6.54,7.66,10.49,11.42,10.81,11.61,12.18,10.16,10.69,-,-,-,-,-,-
PS Ratio,2.87,3.35,4.54,5.11,5.01,5.62,6.21,5.14,5.53,-,-,-,-,-,-
PB Ratio,1.21,1.41,1.86,2.04,1.95,2.11,2.20,1.82,1.91,-,-,-,-,-,-
Debt / Equity Ratio,0.76,0.76,0.70,0.88,0.40,0.14,0.12,0.13,0.13,0.22,0.21,-,-,-,0.49
Dividend Yield,3.55%,-,0.55%,0.53%,0.57%,0.53%,0.50%,0.63%,-,-,-,-,-,-,-
Payout Ratio,16.10%,0.00%,19.50%,22.10%,25.90%,25.90%,23.10%,23.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-0.07%,-0.07%,-0.13%,-0.12%,-0.12%,-6.03%,-5.89%,-,-,-,-,-,-,-,-
Total Shareholder Return,3.48%,-0.07%,0.42%,0.41%,0.45%,-5.50%,-5.39%,0.63%,-,-,-,-,-,-,-
