Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,"2,390","3,078","2,889","2,355","2,309","3,867","3,951","2,456",-,-,-,-,-,-,-
Market Cap Growth,-,-20.40%,-26.89%,-4.12%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"6,335","7,071","4,006","1,430",-283,"4,432","6,970","2,644","-1,217","-1,255",-584,-,-,-,757
PE Ratio,1.20,1.42,0.51,0.33,0.39,1.58,1.24,0.92,-,-,-,-,-,-,-
PS Ratio,0.25,0.33,0.20,0.16,0.19,0.67,0.43,0.30,-,-,-,-,-,-,-
PB Ratio,0.27,0.36,0.33,0.26,0.24,0.40,0.38,0.24,-,-,-,-,-,-,-
Debt / Equity Ratio,0.67,0.67,0.63,0.49,0.28,0.34,0.54,0.26,0.03,0.03,0.15,-,-,-,0.39
Dividend Yield,7.78%,-,1.58%,1.98%,2.06%,1.24%,1.20%,-,-,-,-,-,-,-,-
Payout Ratio,6.50%,0.00%,-7.10%,3.20%,1.60%,2.20%,7.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,5.88%,5.88%,12.10%,10.16%,8.64%,7.45%,-,-,-,-,-,-,-,-,-
Total Shareholder Return,13.86%,5.88%,13.68%,12.14%,10.70%,8.69%,1.20%,-,-,-,-,-,-,-,-
