Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Market Capitalization,"16,819","18,530","15,217","13,224","16,003","20,603","23,292","18,804","19,637","16,957","14,218","13,178","13,133","9,434","10,310","8,218","9,736",-
Market Cap Growth,-,-10.06%,-34.67%,-29.67%,-18.51%,21.50%,63.82%,42.69%,49.52%,79.74%,37.91%,60.36%,34.90%,-,-,-,-,-
Enterprise Value,"15,729","17,322","13,987","12,142","15,072","19,826","22,343","18,007","18,983","16,177","13,460","12,533","12,603","9,042","9,879","7,885","9,455",-325
PE Ratio,48.41,58.97,49.19,49.11,62.77,85.16,102.69,80.70,91.32,89.14,85.50,86.38,90.35,73.88,123.08,72.02,-,-
PS Ratio,14.04,15.36,12.80,11.28,13.91,18.49,21.64,18.21,20.03,18.20,15.93,15.38,15.54,11.46,13.29,10.86,-,-
PB Ratio,3.39,3.70,3.07,2.72,3.39,4.43,5.01,4.10,4.32,3.75,3.30,3.25,3.27,2.69,3.05,2.86,3.42,-
Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01
Dividend Yield,0.46%,0.10%,0.11%,0.13%,0.10%,0.08%,0.07%,0.09%,0.08%,0.10%,0.11%,0.12%,0.11%,0.15%,0.12%,0.15%,0.12%,-
Payout Ratio,21.90%,21.40%,19.00%,23.50%,24.20%,19.50%,33.30%,29.60%,29.60%,23.50%,27.60%,40.00%,47.10%,30.80%,100.00%,38.10%,88.90%,0.00%
Buyback Yield / Dilution,-1.28%,-1.28%,-0.99%,-0.06%,0.09%,-1.20%,-5.30%,-6.79%,-11.85%,-17.48%,-26.37%,-28.80%,-22.97%,21.85%,29.56%,-,-,-
Total Shareholder Return,-0.82%,-1.17%,-0.88%,0.06%,0.20%,-1.12%,-5.23%,-6.70%,-11.76%,-17.39%,-26.25%,-28.68%,-22.85%,22.00%,29.68%,0.15%,0.12%,-
