Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,79,119,135,139,129,127,123,111,131,123,99,79,80,79,143,124,115,110,113,155,147,132,149,162,164,150,124,102,95,92,85,78,78,74,74,73,76,84,64,64,65,Upgrade
Market Cap Growth,-,-6.32%,10.05%,24.76%,-1.49%,3.41%,23.81%,40.89%,64.33%,56.29%,-30.72%,-36.12%,-30.60%,-28.46%,26.31%,-20.07%,-22.00%,-16.99%,-24.21%,-4.14%,-10.17%,-11.73%,20.43%,57.73%,72.10%,62.63%,45.69%,31.51%,22.71%,23.96%,14.40%,6.51%,1.56%,-11.00%,17.00%,13.46%,17.48%,31.10%,16.02%,19.60%,21.30%,Upgrade
Enterprise Value,155,197,208,118,76,2,-31,-38,-9,-37,15,31,39,49,103,105,134,159,159,207,199,195,233,215,207,158,117,66,132,111,99,114,129,110,109,107,110,115,89,60,61,Upgrade
PE Ratio,7.39,11.72,14.81,17.08,17.16,17.04,14.53,15.25,20.13,17.19,18.37,11.60,10.01,11.10,18.18,17.03,17.28,18.31,23.00,241.30,-742.64,-4566.20,-5148.47,43.04,37.83,40.35,32.65,31.90,34.93,26.74,23.42,16.68,17.14,17.13,18.07,24.55,22.96,25.82,20.10,14.83,14.81,Upgrade
PS Ratio,1.32,2.02,2.40,2.58,2.46,2.45,2.32,2.10,2.53,2.40,2.05,1.66,1.65,1.66,3.00,2.69,2.55,2.45,2.59,3.65,3.59,3.30,3.82,4.12,4.11,3.92,3.20,2.66,2.49,2.35,2.19,1.96,1.98,1.92,1.93,1.96,2.06,2.28,1.74,1.73,1.70,Upgrade
PB Ratio,0.76,1.16,1.37,1.49,1.27,1.18,1.01,0.92,1.09,1.04,0.85,0.68,0.69,0.72,1.30,1.14,1.07,1.05,1.11,1.56,1.48,1.39,1.55,1.66,1.69,1.58,1.32,1.06,0.99,0.98,0.91,0.86,0.87,0.83,0.84,0.84,0.89,1.01,0.79,0.80,0.79,Upgrade
Debt / Equity Ratio,1.04,1.04,0.93,0.36,0.33,0.30,0.28,0.29,0.13,0.15,0.31,0.72,0.77,0.44,0.46,0.67,0.65,0.78,0.87,0.81,0.90,1.12,1.02,0.71,0.76,0.30,0.20,0.40,0.72,0.34,0.55,0.56,0.81,0.74,0.77,0.70,0.65,0.74,0.70,0.78,0.62,Upgrade
Dividend Yield,3.45%,0.59%,0.48%,0.47%,0.51%,0.53%,0.56%,0.61%,0.48%,0.51%,0.63%,0.79%,0.79%,0.79%,0.44%,0.50%,0.54%,0.57%,0.50%,0.37%,0.39%,0.42%,0.37%,0.34%,0.34%,0.37%,0.40%,0.48%,0.52%,0.54%,0.52%,0.57%,0.51%,0.53%,0.47%,0.47%,0.39%,0.36%,0.47%,0.46%,0.38%,Upgrade
Payout Ratio,26.10%,22.60%,24.50%,25.50%,35.10%,33.30%,40.60%,36.10%,34.30%,20.70%,120.00%,57.10%,25.00%,50.00%,31.60%,27.90%,38.70%,30.80%,40.70%,35.50%,57.90%,57.90%,-19.00%,73.30%,47.80%,57.90%,55.60%,37.00%,90.90%,47.60%,150.00%,52.90%,30.80%,33.30%,25.90%,50.00%,27.30%,30.00%,150.00%,28.60%,23.80%,Upgrade
Buyback Yield / Dilution,3.59%,3.59%,4.74%,4.37%,2.87%,0.73%,-0.44%,-0.45%,-0.33%,-0.45%,-0.45%,-0.44%,-0.35%,-0.32%,-0.29%,-0.32%,-0.48%,-3.28%,-4.26%,-3.57%,-3.61%,-0.57%,-0.12%,-0.90%,-0.76%,-0.66%,-0.16%,-,-,-,-,-,-,-,-,-,-,-,-0.00%,-,-,Upgrade
Total Shareholder Return,7.13%,4.18%,5.22%,4.84%,3.39%,1.26%,0.11%,0.16%,0.15%,0.06%,0.18%,0.35%,0.44%,0.48%,0.14%,0.19%,0.06%,-2.71%,-3.76%,-3.20%,-3.22%,-0.15%,0.25%,-0.56%,-0.43%,-0.30%,0.25%,0.48%,0.52%,0.54%,0.52%,0.57%,0.51%,0.53%,0.47%,0.47%,0.39%,0.36%,0.47%,0.46%,0.38%,Upgrade
