Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30
Market Capitalization,438,491,470,463,467,562,530,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Market Cap Growth,-,-12.56%,-11.47%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,035","1,072","1,013",794,689,713,650,138,135,139,152,120,66,33,89,121,71,73,136,31,13
PE Ratio,10.46,11.87,14.56,14.02,14.79,14.37,11.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PS Ratio,3.54,3.82,4.33,5.19,5.80,7.58,7.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PB Ratio,0.80,0.86,0.82,0.81,0.81,0.94,0.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,1.02,1.02,0.95,0.59,0.39,0.26,0.20,0.27,0.28,0.30,0.36,0.31,0.18,0.13,0.36,0.42,0.29,0.32,0.83,0.27,0.12
Dividend Yield,14.72%,-,3.11%,2.90%,2.65%,1.99%,1.87%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,96.10%,0.00%,78.30%,113.80%,-1500.00%,385.70%,48.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,2.09%,2.09%,-2.20%,-22.96%,-27.22%,-31.33%,-29.34%,-21.59%,-21.58%,-21.70%,-37.83%,-36.42%,-69.42%,-75.49%,-102.66%,-125.49%,-80.94%,-70.17%,-292.65%,-149.56%,-607.40%
Total Shareholder Return,16.86%,2.09%,0.90%,-20.06%,-24.58%,-29.34%,-27.47%,-21.59%,-21.58%,-21.70%,-37.83%,-36.42%,-69.42%,-75.49%,-102.66%,-125.49%,-80.94%,-70.17%,-292.65%,-149.56%,-607.40%
