Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Market Capitalization,"1,005","1,126","1,048",994,981,"1,185","1,362","1,136","1,129","1,207",794,567,531,436,566,475,489,617,573,729,819,617,565,-,-,-,-,-,-
Market Cap Growth,-,-4.97%,-23.05%,-12.47%,-13.15%,-1.86%,71.54%,100.52%,112.52%,176.73%,40.37%,19.33%,8.72%,-29.32%,-1.21%,-34.91%,-40.28%,0.04%,1.45%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,869","1,990","1,753",768,"2,164","1,653","1,364","1,143","1,429","1,483","1,963","1,756","1,889",313,241,270,90,642,432,386,656,529,262,-510,-360,-,-389,-,-389
PE Ratio,5.16,5.76,5.41,5.10,5.03,6.16,6.61,5.34,5.34,5.94,4.78,4.16,5.20,5.50,8.31,8.44,8.90,11.21,9.62,11.32,14.07,10.77,10.99,-,-,-,-,-,-
PS Ratio,2.30,2.57,2.45,2.34,2.33,2.86,3.17,2.66,2.69,3.03,2.34,1.95,2.30,2.25,3.42,3.29,3.57,4.67,4.25,5.61,6.76,5.12,5.05,-,-,-,-,-,-
PB Ratio,0.67,0.75,0.72,0.70,0.80,1.00,1.18,1.02,1.07,1.19,0.98,0.75,0.75,0.65,0.87,0.75,0.95,1.29,1.36,1.79,2.08,1.63,1.54,-,-,-,-,-,-
Debt / Equity Ratio,0.82,0.82,0.64,0.07,1.17,0.74,0.89,0.73,0.66,0.54,1.66,2.14,2.49,0.66,0.28,0.25,0.12,0.71,0.46,0.17,0.48,0.53,0.15,0.23,0.25,-,0.28,-,0.39
Dividend Yield,1.25%,0.31%,0.29%,0.30%,0.31%,0.26%,0.19%,0.23%,0.23%,0.22%,0.29%,0.40%,0.43%,0.52%,0.36%,0.43%,0.41%,0.33%,0.30%,0.24%,0.21%,0.28%,0.23%,-,-,-,-,-,-
Payout Ratio,6.40%,7.50%,6.20%,5.70%,6.20%,6.80%,5.20%,4.90%,5.70%,4.40%,4.10%,4.40%,6.10%,10.90%,7.70%,11.70%,13.80%,20.70%,11.80%,10.90%,11.50%,12.00%,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,0.16%,0.16%,0.29%,0.13%,-0.05%,-0.20%,-0.42%,-0.34%,-0.39%,-0.32%,-0.20%,-0.12%,-0.06%,-0.08%,-0.05%,-0.06%,-0.09%,-0.09%,-7.67%,-34.69%,-35.94%,-35.92%,-26.41%,-1.01%,-0.18%,-,-,-,-
Total Shareholder Return,1.41%,0.47%,0.58%,0.43%,0.25%,0.06%,-0.23%,-0.11%,-0.16%,-0.10%,0.09%,0.29%,0.37%,0.45%,0.30%,0.37%,0.33%,0.23%,-7.37%,-34.46%,-35.73%,-35.64%,-26.17%,-1.01%,-0.18%,-,-,-,-
