Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
Market Capitalization,787,775,783,854,928,926,"1,074","1,406","1,155","1,404","1,504","1,361","1,373","1,106","1,253","1,557","1,415","1,205","1,094","1,276","1,173","1,055","1,185","1,224","1,166","1,257","1,210","1,053",985,934,965,769,738,672,650,-,-,-,-,-
Market Cap Growth,-,-16.38%,-27.09%,-39.26%,-19.63%,-33.99%,-28.59%,3.37%,-15.93%,26.89%,20.07%,-12.59%,-2.91%,-8.22%,14.48%,22.03%,20.55%,14.24%,-7.61%,4.18%,0.65%,-16.05%,-2.08%,16.27%,18.40%,34.58%,25.38%,37.02%,33.36%,39.03%,48.55%,-,-,-,-,-,-,-,-,-
Enterprise Value,816,797,833,891,802,881,"1,149","1,542",437,835,849,602,470,89,109,"1,503","1,448","1,275","1,144","1,293","1,108","1,106","1,223","1,310","1,270","1,355","1,292","1,155","1,096","1,034","1,051",884,865,793,769,-,-,-,3,43
PE Ratio,40.56,38.98,35.25,-14.44,-12.24,-15.44,-6.22,-11.09,-15.08,-22.70,311.88,29.87,-232.90,-52.16,32.68,52.76,19.05,16.99,17.15,24.33,27.17,25.89,27.19,17.74,14.57,15.69,16.25,17.13,16.67,16.39,18.04,15.47,15.41,14.95,14.54,-,-,-,-,-
PS Ratio,0.94,0.91,0.96,1.07,1.18,1.17,1.39,1.85,1.55,1.89,2.25,1.90,1.78,1.38,1.38,1.77,1.62,1.37,1.24,1.44,1.33,1.23,1.45,1.59,1.67,1.99,2.06,1.94,1.88,1.83,1.91,1.54,1.54,1.44,1.48,-,-,-,-,-
PB Ratio,1.34,1.31,1.41,1.62,1.56,1.43,1.48,1.73,1.35,2.19,1.89,1.66,1.73,1.54,1.61,2.02,1.79,1.60,1.54,1.83,1.70,1.54,1.71,1.70,1.62,1.77,1.75,1.41,1.35,1.32,1.42,1.09,1.07,0.96,0.94,-,-,-,-,-
Debt / Equity Ratio,0.55,0.55,0.59,0.62,0.55,0.50,0.51,0.45,0.43,0.57,0.46,0.39,0.40,0.53,0.34,0.26,0.26,0.27,0.31,0.29,0.29,0.30,0.29,0.27,0.27,0.27,0.28,0.26,0.26,0.27,0.28,0.27,0.28,0.28,0.28,-,-,-,0.23,0.18
Dividend Yield,0.96%,0.24%,0.24%,0.22%,0.20%,0.20%,1.04%,0.80%,0.90%,0.66%,0.62%,0.68%,0.67%,0.83%,0.74%,0.59%,0.65%,0.76%,0.83%,0.71%,0.77%,0.86%,2.04%,0.74%,0.78%,0.72%,4.10%,0.57%,0.61%,0.64%,0.49%,0.61%,0.63%,0.69%,-,-,-,-,-,-
Payout Ratio,37.70%,26.30%,12.50%,-26.30%,38.50%,20.00%,-16.50%,-46.90%,49.20%,-8.90%,-45.50%,34.90%,25.60%,-24.80%,44.10%,-36.10%,44.80%,39.50%,76.90%,46.20%,52.60%,56.60%,8000.00%,85.70%,61.20%,47.60%,187.50%,27.40%,40.00%,45.50%,36.40%,24.20%,36.40%,48.50%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,-0.61%,-0.61%,-0.89%,-0.46%,-9.09%,-22.27%,-20.38%,-20.46%,-12.36%,-0.78%,-0.99%,-1.86%,-0.30%,-0.01%,-1.18%,-0.01%,-1.30%,-0.92%,-0.41%,-0.53%,0.04%,0.44%,-0.54%,-0.95%,-1.61%,-1.97%,-1.58%,-1.76%,-2.09%,-2.21%,-2.52%,-2.17%,-1.48%,-1.10%,6.25%,20.13%,-,-,-,-
Total Shareholder Return,0.33%,-0.37%,-0.65%,-0.24%,-8.89%,-22.07%,-19.34%,-19.66%,-11.46%,-0.12%,-0.37%,-1.18%,0.37%,0.81%,-0.45%,0.58%,-0.65%,-0.17%,0.43%,0.18%,0.82%,1.30%,1.50%,-0.21%,-0.83%,-1.24%,2.52%,-1.19%,-1.49%,-1.58%,-2.03%,-1.56%,-0.85%,-0.41%,6.25%,20.13%,-,-,-,-
