Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+66 Quarters
Market Capitalization,226,304,408,394,405,450,510,488,505,505,426,353,390,413,607,561,500,552,508,553,630,687,702,742,689,647,676,519,409,405,423,379,388,355,393,317,359,372,391,354,301,Upgrade
Market Cap Growth,-,-32.45%,-20.01%,-19.32%,-19.72%,-10.93%,19.59%,38.18%,29.59%,22.37%,-29.73%,-37.03%,-22.07%,-25.16%,19.33%,1.51%,-20.62%,-19.68%,-27.57%,-25.53%,-8.55%,6.22%,3.81%,42.93%,68.31%,59.73%,59.82%,36.98%,5.51%,13.96%,7.60%,19.52%,7.95%,-4.62%,0.49%,-10.25%,19.24%,38.82%,53.84%,28.46%,16.89%,Upgrade
Enterprise Value,583,661,771,662,656,611,789,517,607,566,534,534,730,821,"1,111","1,025",909,"1,025","1,212","1,198","1,233","1,227","1,337","1,221","1,180","1,128","1,226",951,775,763,961,766,704,711,842,646,680,629,751,669,513,Upgrade
PE Ratio,5.55,7.35,8.69,8.56,9.01,10.25,11.83,10.95,11.49,11.66,10.35,8.87,9.77,10.36,14.60,13.22,11.98,13.36,12.23,14.16,16.43,18.49,19.99,21.17,20.42,20.00,21.90,17.33,14.36,14.97,16.34,15.34,15.98,15.09,17.09,13.96,16.44,17.23,18.37,16.70,14.50,Upgrade
PS Ratio,1.91,2.57,3.24,3.14,3.27,3.67,4.18,4.09,4.22,4.29,3.77,3.13,3.57,3.82,5.48,5.09,4.64,5.11,4.77,5.38,6.05,6.77,7.03,7.42,7.13,6.72,7.26,5.77,4.70,4.88,5.29,4.89,5.11,4.90,5.53,4.53,5.25,5.52,5.88,5.39,4.68,Upgrade
PB Ratio,0.61,0.82,1.12,1.10,1.08,1.16,1.23,1.16,1.21,1.24,1.05,0.89,1.00,1.10,1.56,1.45,1.28,1.43,1.31,1.45,1.68,1.90,1.98,2.17,2.09,2.04,2.21,1.67,1.34,1.55,1.69,1.53,1.62,1.48,1.69,1.38,1.59,1.71,1.89,1.76,1.53,Upgrade
Debt / Equity Ratio,1.10,1.10,1.20,0.92,0.84,0.63,0.78,0.68,0.70,0.72,0.78,0.86,1.32,1.40,1.40,1.36,1.22,1.34,1.93,1.83,1.79,1.69,1.99,1.51,1.66,1.67,1.92,1.55,1.36,1.54,2.30,1.70,1.52,1.65,2.06,1.56,1.62,1.40,1.91,1.81,1.27,Upgrade
Dividend Yield,8.27%,1.55%,2.32%,1.15%,-,2.06%,0.92%,0.92%,-,1.79%,1.06%,1.22%,-,2.08%,0.71%,0.74%,-,1.56%,0.85%,0.69%,-,0.55%,1.05%,0.46%,-,0.52%,0.98%,-,0.70%,0.70%,0.66%,0.74%,0.69%,1.49%,-,0.81%,0.67%,0.64%,1.21%,0.64%,-,Upgrade
Payout Ratio,45.60%,72.40%,95.50%,36.40%,0.00%,76.90%,52.60%,39.60%,0.00%,80.90%,43.20%,40.00%,0.00%,94.70%,47.40%,38.60%,0.00%,79.10%,42.50%,38.50%,0.00%,34.10%,100.00%,36.80%,0.00%,36.80%,90.30%,0.00%,39.10%,36.90%,42.90%,43.30%,42.30%,80.80%,0.00%,42.30%,43.40%,40.40%,91.30%,43.90%,0.00%,Upgrade
Buyback Yield / Dilution,2.96%,2.96%,3.86%,3.81%,3.10%,2.53%,1.56%,0.90%,0.43%,0.51%,1.06%,2.49%,3.96%,5.46%,4.77%,3.74%,2.08%,-1.06%,-2.69%,-4.26%,-5.25%,-4.67%,-3.99%,-3.73%,-12.48%,-12.20%,-11.99%,-11.69%,-2.02%,-1.99%,-1.69%,-1.51%,-1.45%,-1.26%,-1.23%,-1.22%,-1.24%,-1.42%,-1.64%,-1.86%,-2.00%,Upgrade
Total Shareholder Return,11.22%,4.51%,6.18%,4.96%,3.10%,4.60%,2.48%,1.82%,0.43%,2.30%,2.12%,3.71%,3.96%,7.54%,5.48%,4.48%,2.08%,0.50%,-1.84%,-3.57%,-5.25%,-4.13%,-2.94%,-3.27%,-12.48%,-11.68%,-11.01%,-11.69%,-1.32%,-1.29%,-1.02%,-0.77%,-0.77%,0.22%,-1.23%,-0.41%,-0.57%,-0.78%,-0.42%,-1.22%,-2.00%,Upgrade
