Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"398,688","383,549","393,343","306,454","330,741","402,527","467,966","489,131","470,840","464,531","387,335","293,393","286,603","276,750","437,226","376,312","362,676","331,451","324,627","379,242","354,778","377,412","371,052","336,096","324,726","313,761","308,768","240,522","227,225","217,353","243,065","225,471","251,463","225,861","233,936","226,580","218,075","229,898","219,837","194,571","199,529",Upgrade
Market Cap Growth,-,-4.71%,-15.95%,-37.35%,-29.75%,-13.35%,20.82%,66.72%,64.28%,67.85%,-11.41%,-22.03%,-20.98%,-16.50%,34.69%,-0.77%,2.23%,-12.18%,-12.51%,12.84%,9.25%,20.29%,20.17%,39.74%,42.91%,44.36%,27.03%,6.68%,-9.64%,-3.77%,3.90%,-0.49%,15.31%,-1.76%,6.41%,16.45%,9.29%,26.56%,31.53%,26.53%,46.70%,Upgrade
Enterprise Value,"430,648","421,675","368,614","237,545","230,834","222,678","276,071","333,040","362,720","391,883","401,828","363,478","393,538","493,676","689,688","712,846","645,080","613,722","579,461","476,512","461,923","478,807","434,546","390,234","387,302","365,424","414,487","337,578","360,815","327,891","360,556","348,111","368,450","258,533","286,674","346,215","381,650","415,776","398,909","358,739","471,187",Upgrade
PE Ratio,9.91,9.53,10.96,8.70,8.89,9.94,10.06,10.13,10.22,11.96,14.13,12.33,12.25,9.77,12.62,11.34,11.15,10.62,10.57,13.62,13.56,15.20,16.44,13.42,13.21,13.20,13.52,11.06,10.24,9.77,10.73,10.26,12.06,10.94,11.65,11.06,14.82,15.08,13.28,11.51,8.71,Upgrade
PS Ratio,2.88,2.81,3.06,2.48,2.75,3.35,3.85,4.02,3.88,3.75,3.23,2.46,2.40,2.41,3.78,3.33,3.27,3.01,2.98,3.53,3.36,3.64,3.69,3.34,3.26,3.19,3.20,2.53,2.44,2.34,2.60,2.41,2.64,2.35,2.46,2.35,2.30,2.41,2.26,2.00,2.01,Upgrade
PB Ratio,1.30,1.26,1.35,1.06,1.16,1.41,1.59,1.69,1.64,1.66,1.39,1.08,1.08,1.06,1.67,1.42,1.38,1.28,1.27,1.47,1.38,1.47,1.45,1.30,1.26,1.23,1.22,0.95,0.90,0.87,0.98,0.92,1.04,0.96,1.01,0.98,0.96,1.05,1.04,0.94,0.95,Upgrade
Debt / Equity Ratio,1.93,1.93,1.86,2.00,1.99,2.01,1.87,2.08,2.09,2.27,1.94,2.06,2.27,2.24,1.97,2.24,2.09,2.25,2.08,1.99,1.99,2.01,1.94,1.98,1.98,2.00,1.95,2.02,1.98,1.95,1.93,2.12,2.24,2.38,2.44,2.42,2.57,2.66,2.53,2.74,2.93,Upgrade
Dividend Yield,2.93%,0.78%,0.75%,0.97%,0.90%,0.74%,0.64%,0.55%,0.58%,0.60%,0.72%,0.95%,0.97%,1.01%,0.65%,0.68%,0.72%,0.80%,0.82%,0.50%,0.54%,0.52%,0.53%,0.53%,0.55%,0.56%,0.57%,0.73%,0.72%,0.76%,0.70%,0.73%,0.60%,0.67%,0.64%,0.67%,0.66%,0.63%,0.66%,0.74%,0.57%,Upgrade
Payout Ratio,29.50%,24.30%,28.00%,31.90%,36.10%,37.90%,29.90%,24.10%,23.70%,20.00%,23.70%,30.70%,64.70%,113.90%,34.90%,29.70%,28.30%,30.20%,40.00%,23.80%,24.20%,23.50%,51.40%,28.20%,27.30%,28.90%,27.70%,30.00%,28.20%,32.40%,33.10%,25.90%,25.60%,27.40%,33.30%,29.20%,25.90%,29.50%,29.20%,-223.50%,18.60%,Upgrade
Buyback Yield / Dilution,0.28%,0.28%,0.47%,1.32%,2.49%,3.18%,3.37%,2.52%,1.27%,0.70%,1.98%,3.88%,5.48%,6.27%,5.97%,5.51%,5.10%,4.92%,4.80%,4.64%,4.57%,4.16%,3.57%,3.00%,2.89%,2.87%,5.72%,1.50%,1.00%,0.53%,-2.73%,1.67%,1.81%,1.73%,0.84%,-0.58%,0.05%,0.61%,0.63%,1.23%,0.16%,Upgrade
Total Shareholder Return,3.26%,1.05%,1.22%,2.29%,3.38%,3.92%,4.01%,3.07%,1.85%,1.30%,2.70%,4.82%,6.45%,7.28%,6.62%,6.19%,5.81%,5.72%,5.63%,5.14%,5.11%,4.67%,4.10%,3.53%,3.45%,3.42%,6.29%,2.23%,1.72%,1.29%,-2.03%,2.39%,2.40%,2.39%,1.48%,0.09%,0.71%,1.24%,1.29%,1.97%,0.74%,Upgrade
