Metrics,Current,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-30,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2019-10-31
Market Capitalization,170,213,190,204,280,320,254,-,-,-,-,-
Market Cap Growth,-,-33.53%,-25.11%,-,-,-,-,-,-,-,-,-
Enterprise Value,96,139,202,215,201,274,112,-159,-145,-161,-186,-77
PE Ratio,9.27,10.74,11.59,11.96,16.17,17.64,14.08,-,-,-,-,-
PS Ratio,2.51,3.15,3.17,3.49,5.02,5.90,4.85,-,-,-,-,-
PB Ratio,0.65,0.81,0.75,0.76,1.03,1.19,0.95,-,-,-,-,-
Debt / Equity Ratio,0.29,0.29,0.30,0.28,0.29,0.29,0.29,0.38,0.38,0.02,0.05,0.16
Dividend Yield,1.37%,-,0.26%,0.26%,0.20%,0.17%,0.23%,-,-,-,-,-
Payout Ratio,8.10%,0.00%,10.80%,12.30%,14.80%,13.20%,12.90%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,1.52%,1.52%,-15.81%,-29.91%,-29.91%,-29.91%,-11.92%,-,-,-,-,-
Total Shareholder Return,2.88%,1.52%,-15.55%,-29.65%,-29.71%,-29.74%,-11.69%,-,-,-,-,-
