Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"19,312","20,063","25,039","30,964","28,597","21,871","19,763","19,217","18,695","19,503","16,332","11,813","13,337","13,491","22,400","21,115","23,235","21,751","20,089","23,659","24,712","27,687","25,737","24,467","24,918","23,855","24,254","18,201","18,798","17,660","16,152","16,248","16,612","16,880","16,596","16,270","16,311","15,894","15,161","14,554","14,417",Upgrade
Market Cap Growth,-,-8.27%,26.70%,61.13%,52.97%,12.15%,21.01%,62.67%,40.18%,44.56%,-27.09%,-44.05%,-42.60%,-37.98%,11.50%,-10.75%,-5.97%,-21.44%,-21.94%,-3.30%,-0.83%,16.06%,6.11%,34.43%,32.55%,35.08%,50.16%,12.02%,13.16%,4.62%,-2.67%,-0.13%,1.84%,6.20%,9.46%,11.79%,13.14%,19.69%,20.28%,20.72%,37.96%,Upgrade
Enterprise Value,"9,646","10,397","6,080","7,694","-2,392","-12,072","-19,914","-17,105","-12,990","-9,607","-4,443","-4,369","-2,533","9,677","20,822","19,317","25,439","24,960","23,222","26,274","28,294","30,476","27,553","25,571","27,894","23,896","27,590","16,516","19,775","19,044","19,976","20,634","21,544","19,924","17,951","16,296","18,915","17,313","17,207","15,936","15,817",Upgrade
PE Ratio,8.68,9.01,13.24,19.52,19.83,12.95,11.12,10.71,11.18,13.39,12.77,9.08,9.47,8.24,12.11,11.11,11.94,11.07,10.94,14.67,17.12,20.79,19.39,18.36,18.82,18.69,19.82,15.64,17.18,16.91,16.35,16.35,16.81,17.13,16.96,17.54,17.15,15.60,14.27,12.82,12.71,Upgrade
PS Ratio,2.27,2.36,3.27,4.57,4.61,3.65,3.26,3.20,3.24,3.61,3.17,2.29,2.49,2.35,3.72,3.50,3.87,3.67,3.47,4.14,4.39,4.99,4.71,4.60,4.76,4.62,4.75,3.62,3.91,3.77,3.59,3.69,3.77,3.88,3.83,3.78,3.78,3.66,3.48,3.34,3.34,Upgrade
PB Ratio,0.76,0.79,0.99,1.23,1.11,1.22,1.10,1.10,1.12,1.19,1.01,0.73,0.84,0.85,1.43,1.34,1.48,1.40,1.30,1.53,1.59,1.76,1.58,1.50,1.53,1.47,1.47,1.11,1.14,1.08,1.00,1.26,1.31,1.35,1.35,1.32,1.34,1.34,1.34,1.32,1.35,Upgrade
Debt / Equity Ratio,0.57,0.57,0.30,0.17,0.16,0.20,0.20,0.21,0.21,0.22,0.27,0.34,0.40,0.40,0.45,0.79,0.78,0.77,0.83,0.68,0.75,0.65,0.51,0.54,0.57,0.51,0.59,0.64,0.65,0.74,0.79,0.80,0.82,0.85,0.75,0.75,0.62,0.55,0.47,0.49,0.51,Upgrade
Dividend Yield,4.34%,1.09%,0.83%,0.68%,0.75%,0.71%,0.78%,0.74%,0.76%,0.73%,0.86%,1.20%,1.06%,1.06%,0.65%,0.63%,0.58%,0.63%,0.70%,0.60%,0.47%,0.40%,0.44%,0.46%,0.46%,0.49%,0.45%,0.60%,0.59%,0.63%,0.58%,0.57%,0.56%,0.55%,0.56%,0.57%,0.57%,0.58%,0.60%,0.63%,0.63%,Upgrade
Payout Ratio,37.50%,32.30%,27.20%,33.80%,111.10%,45.60%,35.60%,29.70%,32.30%,33.00%,31.20%,40.00%,63.20%,57.00%,30.60%,28.80%,29.90%,29.90%,26.70%,28.20%,24.50%,33.50%,37.30%,33.80%,31.80%,35.20%,35.40%,33.30%,35.40%,40.20%,42.90%,36.10%,35.20%,42.20%,36.30%,36.50%,35.20%,42.90%,44.60%,32.90%,27.30%,Upgrade
Buyback Yield / Dilution,-30.08%,-30.13%,-34.14%,-36.35%,-38.37%,-0.58%,-0.31%,-0.38%,-0.40%,0.84%,2.78%,3.49%,5.26%,5.92%,5.98%,6.98%,6.58%,7.38%,6.75%,5.75%,5.40%,3.90%,2.92%,2.78%,3.20%,2.66%,-16.32%,-16.98%,-18.95%,-19.89%,-0.89%,-0.94%,-0.98%,-1.25%,-1.45%,-1.43%,-2.18%,-1.94%,-1.74%,-3.15%,-2.48%,Upgrade
Total Shareholder Return,-25.74%,-29.04%,-33.31%,-35.67%,-37.62%,0.13%,0.48%,0.36%,0.36%,1.56%,3.64%,4.69%,6.32%,6.98%,6.63%,7.61%,7.16%,8.01%,7.45%,6.35%,5.87%,4.30%,3.36%,3.24%,3.66%,3.15%,-15.88%,-16.38%,-18.36%,-19.26%,-0.31%,-0.37%,-0.42%,-0.70%,-0.89%,-0.86%,-1.61%,-1.36%,-1.14%,-2.52%,-1.85%,Upgrade
