Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+23 Quarters
Market Capitalization,"1,263","1,367","1,384","1,161","1,278","1,801","2,254","2,374","2,125","1,786","1,652","1,063",895,588,837,768,750,684,568,815,923,888,824,838,775,722,695,755,588,657,"1,018",886,"1,179","1,174","1,545","1,584","1,940","1,577","1,821","1,325","1,379",Upgrade
Market Cap Growth,-,-24.10%,-38.59%,-51.12%,-39.85%,0.87%,36.46%,123.45%,137.44%,203.81%,97.33%,38.38%,19.25%,-14.05%,47.48%,-5.80%,-18.74%,-22.96%,-31.07%,-2.68%,19.09%,22.94%,18.47%,10.90%,31.84%,9.95%,-31.72%,-14.78%,-50.09%,-44.06%,-34.09%,-44.06%,-39.26%,-25.54%,-15.16%,19.58%,40.76%,8.08%,92.08%,96.69%,118.53%,Upgrade
Enterprise Value,"3,146","3,260","3,134","2,885","3,080","3,710","3,968","4,132","4,041","3,780","3,704","3,215","3,034","2,580","2,628","2,602","2,636","2,444","2,262","2,543","2,558","2,457","2,295","2,155","1,940",812,970,914,752,762,"1,083",769,984,"1,008","1,342","1,411","1,770","1,342","1,550",971,"1,266",Upgrade
PE Ratio,10.43,11.11,11.78,8.79,8.04,8.80,10.83,11.78,12.32,14.78,20.66,18.50,17.97,9.28,9.59,11.53,10.80,10.42,8.45,11.56,14.82,22.79,28.72,22.23,21.19,15.34,14.33,17.68,22.25,23.35,29.00,18.72,13.81,12.35,15.81,15.30,22.22,18.96,24.21,21.15,25.91,Upgrade
PS Ratio,1.51,1.64,1.56,1.22,1.28,1.78,2.30,2.68,2.70,2.64,2.74,1.84,1.57,1.02,1.49,1.38,1.34,1.24,1.03,1.50,1.80,1.87,1.94,2.22,2.31,2.24,2.15,2.30,1.74,1.83,2.67,2.17,2.72,2.63,3.43,3.56,4.54,3.84,4.68,3.66,4.14,Upgrade
PB Ratio,1.50,1.63,1.70,1.45,1.63,2.21,2.72,2.92,2.72,2.45,2.32,1.57,1.36,0.90,1.24,1.15,1.15,1.08,0.90,1.27,1.48,1.46,1.40,1.43,1.35,1.31,2.16,1.61,1.26,1.30,2.00,1.64,2.11,2.08,2.74,2.83,3.77,3.09,3.69,2.84,5.38,Upgrade
Debt / Equity Ratio,2.76,2.76,2.86,2.65,2.75,2.75,2.78,2.89,2.97,3.28,3.36,3.55,3.63,3.64,3.13,3.17,3.28,3.09,3.09,3.03,2.91,2.80,2.90,2.92,2.34,0.59,1.12,0.69,0.69,0.31,0.30,0.02,-,-,-,-,-,-,-,0.02,0.09,Upgrade
Current Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.23,3.71,Upgrade
Dividend Yield,3.73%,0.89%,0.88%,0.96%,0.89%,0.65%,0.53%,0.28%,0.31%,0.37%,0.40%,0.50%,0.59%,0.85%,0.64%,0.58%,0.60%,0.67%,0.84%,0.47%,0.41%,0.43%,0.41%,0.46%,0.41%,0.42%,0.43%,0.47%,0.64%,0.58%,0.39%,0.45%,0.35%,0.35%,0.27%,0.26%,-,-,-,-,-,Upgrade
Payout Ratio,37.40%,31.00%,34.00%,34.60%,64.10%,34.20%,22.90%,10.70%,10.00%,17.10%,14.40%,17.40%,45.90%,-115.50%,22.10%,17.40%,15.50%,19.60%,1375.00%,13.00%,15.50%,15.30%,100.00%,19.40%,-132.40%,26.90%,24.10%,22.10%,45.50%,30.40%,57.70%,-642.90%,40.90%,20.80%,21.40%,11.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,5.47%,5.47%,6.41%,6.53%,5.00%,2.65%,1.27%,0.16%,-1.42%,-8.49%,-0.99%,1.96%,4.33%,10.81%,8.81%,3.54%,1.77%,1.06%,-16.50%,0.42%,-18.93%,-24.18%,-13.07%,-8.12%,15.03%,20.37%,24.12%,10.50%,8.00%,7.05%,5.21%,5.43%,3.09%,2.24%,1.66%,-12.79%,-15.72%,-15.74%,-15.13%,-1.36%,0.28%,Upgrade
Total Shareholder Return,9.22%,6.37%,7.29%,7.49%,5.89%,3.30%,1.80%,0.44%,-1.11%,-8.12%,-0.60%,2.47%,4.92%,11.66%,9.44%,4.12%,2.38%,1.73%,-15.66%,0.89%,-18.52%,-23.76%,-12.66%,-7.67%,15.44%,20.80%,24.55%,10.96%,8.64%,7.63%,5.59%,5.88%,3.43%,2.59%,1.92%,-12.52%,-15.72%,-15.74%,-15.13%,-1.36%,0.28%,Upgrade
