Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Market Capitalization,156,162,123,148,152,167,229,736,199,107,83,144,159,257,345,569,846,645,"1,359",-,-,-,-,-
Market Cap Growth,-,-2.91%,-46.07%,-79.88%,-23.45%,56.05%,177.08%,410.36%,24.73%,-58.34%,-76.04%,-74.65%,-81.16%,-60.22%,-74.65%,-,-,-,-,-,-,-,-,-
Enterprise Value,421,425,363,393,375,343,346,845,417,432,450,433,342,469,472,606,680,489,"1,157",-,-,-3,-,32
PE Ratio,1.55,1.39,1.30,1.35,1.25,1.29,60.45,-13.45,-1.41,-0.53,-0.98,-3.52,3.02,2.32,2.61,4.07,5.97,5.05,11.65,-,-,-,-,-
PS Ratio,0.31,0.32,0.26,0.28,0.27,0.29,0.42,1.54,0.51,0.32,0.26,0.42,0.39,0.58,0.75,1.21,1.61,1.26,2.73,-,-,-,-,-
PB Ratio,0.23,0.24,0.20,0.23,0.24,0.27,0.39,1.36,0.40,0.23,0.15,0.26,0.27,0.41,0.58,0.98,1.55,1.27,2.92,-,-,-,-,-
Debt / Equity Ratio,0.60,0.60,0.63,0.62,0.66,0.53,0.54,0.71,0.86,1.21,0.95,0.88,0.68,0.69,0.60,0.46,0.29,0.06,0.04,-,-,0.38,-,1.95
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.13%,-,-,-,-,-,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,34.20%,0.00%,0.00%,0.00%,-,-,0.00%,0.00%,-
Buyback Yield / Dilution,4.30%,14.39%,3.90%,0.05%,-1.91%,-2.41%,-6.56%,-5.89%,-3.92%,0.39%,0.57%,1.33%,0.62%,-4.68%,-6.32%,-6.81%,-6.90%,-4.64%,-1.39%,-17.64%,-,-,-,-
Total Shareholder Return,4.30%,14.39%,3.90%,0.05%,-1.91%,-2.41%,-6.56%,-5.89%,-3.92%,0.39%,0.57%,1.33%,0.62%,-4.68%,-6.32%,10.32%,-6.90%,-4.64%,-1.39%,-17.64%,-,-,-,-
