Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+42 Quarters
Market Capitalization,194,200,217,166,167,222,196,183,166,152,122,102,115,96,136,104,125,117,116,127,144,126,117,105,105,90,93,50,44,43,42,43,45,45,38,37,33,30,30,30,30,Upgrade
Market Cap Growth,-,-10.18%,10.34%,-9.64%,0.18%,46.43%,61.34%,80.04%,45.31%,58.47%,-10.55%,-2.17%,-8.53%,-18.43%,16.93%,-18.10%,-13.05%,-7.08%,-0.90%,20.68%,37.10%,41.04%,26.46%,111.64%,140.10%,109.51%,121.64%,16.19%,-2.32%,-5.63%,9.44%,15.79%,37.53%,52.11%,28.70%,24.87%,9.98%,19.00%,91.06%,75.33%,98.72%,Upgrade
Enterprise Value,116,121,62,-145,-130,-147,-157,-166,-58,-55,-34,-38,38,56,115,50,110,92,93,110,110,81,50,23,51,55,50,-6,20,6,-3,-30,23,22,21,5,17,6,10,-21,1,Upgrade
PE Ratio,6.92,7.04,8.20,6.87,7.10,9.97,9.35,9.27,9.85,9.73,8.41,7.24,7.96,6.38,8.77,6.85,8.41,8.08,8.32,11.01,13.97,13.43,14.34,11.51,12.12,11.25,12.43,7.10,6.57,6.92,7.20,7.77,8.55,9.04,8.08,8.56,8.23,7.19,8.15,9.58,11.81,Upgrade
PS Ratio,2.68,2.76,3.18,2.58,2.71,3.87,3.60,3.56,3.53,3.34,2.79,2.41,2.68,2.18,3.08,2.37,2.91,2.79,2.84,3.23,3.79,3.40,3.30,3.04,3.14,2.79,3.00,1.66,1.49,1.50,1.50,1.55,1.67,1.73,1.49,1.48,1.33,1.24,1.28,1.31,1.35,Upgrade
PB Ratio,1.51,1.55,1.82,1.56,1.44,1.81,1.47,1.42,1.56,1.49,1.22,1.06,1.23,1.06,1.61,1.27,1.63,1.62,1.74,2.04,2.42,2.21,2.11,1.90,1.99,1.77,1.94,1.03,0.94,0.95,0.99,1.04,1.15,1.19,1.05,1.07,0.97,0.94,0.97,0.89,0.92,Upgrade
Debt / Equity Ratio,0.21,0.21,0.24,0.22,0.18,0.16,0.21,0.18,0.19,0.26,0.29,0.37,0.33,0.21,0.31,0.29,0.24,0.26,0.35,0.30,0.32,0.33,0.37,0.34,0.28,0.35,0.42,0.43,0.36,0.43,0.54,0.50,0.49,0.68,0.78,0.87,0.74,0.84,0.97,0.73,0.71,Upgrade
Dividend Yield,2.47%,0.73%,0.43%,0.56%,0.56%,0.42%,0.41%,0.44%,0.44%,0.48%,0.51%,0.61%,0.54%,-,0.87%,-,0.95%,-,0.79%,-,0.64%,-,0.60%,-,0.66%,-,0.53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Payout Ratio,15.10%,19.20%,11.90%,12.90%,16.50%,16.30%,14.70%,12.40%,16.30%,16.30%,14.50%,16.90%,19.40%,0.00%,30.70%,0.00%,31.10%,0.00%,25.70%,0.00%,26.90%,0.00%,60.90%,0.00%,27.50%,0.00%,23.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.48%,-0.48%,-0.63%,-0.59%,-12.44%,-12.42%,-12.21%,-12.20%,-0.35%,-0.23%,-0.42%,-0.37%,-0.48%,-0.49%,-0.66%,-0.80%,-0.91%,-1.52%,-1.24%,-1.50%,-3.55%,-3.09%,-3.57%,-3.67%,-1.56%,-1.42%,-1.26%,-0.89%,-1.04%,-1.12%,-0.68%,-0.55%,-0.34%,-0.23%,-0.26%,-0.28%,-0.28%,-0.25%,-0.14%,-0.11%,-,Upgrade
Total Shareholder Return,2.00%,0.26%,-0.20%,-0.03%,-11.87%,-12.00%,-11.79%,-11.76%,0.09%,0.25%,0.09%,0.24%,0.06%,-0.49%,0.21%,-0.80%,0.04%,-1.52%,-0.45%,-1.50%,-2.91%,-3.09%,-2.96%,-3.67%,-0.91%,-1.42%,-0.73%,-0.89%,-1.04%,-1.12%,-0.68%,-0.55%,-0.34%,-0.23%,-0.26%,-0.28%,-0.28%,-0.25%,-0.14%,-0.11%,-,Upgrade
