Metrics,Current,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2009-02-28,2008-11-30,2008-08-31,2008-05-31,2008-02-29,2007-11-30,2007-08-31,2007-05-31,2007-02-28,2006-11-30,2006-08-31,2006-05-31,2006-02-28,2005-11-30,2005-08-31,2005-05-31,2005-02-28,2004-11-30,2004-08-31,2004-05-31,2004-02-29,2003-11-30,2003-08-31,2003-05-31,2003-02-28,2002-11-30,2002-08-31,2002-05-31
Market Capitalization,608,250,184,223,479,602,993,484,9,2,0,0,0,0,0,4,15,18,15,19,15,14,11,22,19,22,22,13,13,14,12,13,14,15,40,50,12,16,33,38,-
Market Cap Growth,-,-58.43%,-81.50%,-53.83%,5310.76%,33567.58%,731975.37%,540729.13%,13714.04%,566.67%,-60.95%,-97.95%,-99.58%,-98.50%,-97.72%,-76.57%,3.33%,28.46%,44.96%,-13.45%,-21.74%,-36.49%,-51.51%,64.78%,43.75%,59.34%,77.18%,3.15%,-3.80%,-5.54%,-69.57%,-74.72%,14.31%,-11.67%,23.70%,30.54%,-,-,-,-,-
Enterprise Value,758,264,198,204,446,592,980,456,-1,2,0,0,2,0,0,4,14,16,13,16,11,10,6,16,13,15,15,6,6,6,4,4,5,5,38,48,11,15,33,38,-0
PE Ratio,-6.11,-6.11,-4.55,-16.01,-20.37,-28.60,-67.61,-33.15,-15.59,-,-,-,-0.24,-0.13,-0.15,-1.61,-4.65,-5.43,-4.68,-5.98,-5.30,-4.70,-4.05,-9.76,-8.37,-12.76,-12.31,-6.55,-9.31,-14.66,-23.72,-51.29,-32.21,-21.97,-48.91,-54.65,-12.66,-17.61,-32.48,-,-
PS Ratio,18.22,6.13,6.61,14.44,56.05,587.05,-,-,-,-,-,-,-,0.15,0.98,12.63,45.34,50.76,37.35,18.86,9.56,8.36,4.40,6.61,4.88,4.90,5.20,4.22,3.97,3.62,2.93,2.82,3.80,5.06,17.14,30.82,10.94,33.43,7099.49,-,-
PB Ratio,12.24,4.11,2.89,3.27,6.63,-69.96,-1077.21,-644.18,-3.43,-,-,-,-0.03,0.12,0.90,6.56,19.39,11.79,7.31,6.65,4.08,3.17,2.06,3.73,2.99,3.00,2.84,1.64,1.56,1.55,1.33,1.30,1.37,1.45,16.61,19.05,10.43,12.41,-,-,-
Debt / Equity Ratio,0.60,0.60,0.52,0.32,0.19,-0.14,-1.30,-1.68,-0.83,-,-,-,-0.94,0.10,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17
Current Ratio,0.23,0.23,0.30,0.87,1.65,0.82,2.40,5.93,4.70,-,-,-,0,0.83,0.66,1.58,2.36,3.00,3.09,4.20,6.39,7.76,5.54,5.73,7.99,8.25,10.16,8.41,10.35,15.52,25.63,18.09,12.95,13.48,4.28,6.72,3.43,3.65,-,-,1.89
Buyback Yield / Dilution,-76.26%,-76.26%,-74.96%,-107.19%,-3680.20%,-3433.74%,-3433.73%,-2914.21%,0.00%,-1.36%,-1.65%,-6.39%,-8.00%,-6.84%,-7.75%,-1.90%,-2.13%,-1.91%,-0.77%,-0.43%,-0.06%,-,-,-0.00%,-0.00%,-0.00%,-,0.14%,-32.63%,-34.72%,-29.16%,-62.00%,-56.89%,-23.94%,-31.08%,-444.87%,-323.61%,-468.79%,-140.63%,54.27%,50.87%
Total Shareholder Return,-76.26%,-76.26%,-74.96%,-107.19%,-3680.20%,-3433.74%,-3433.73%,-2914.21%,0.00%,-1.36%,-1.65%,-6.39%,-8.00%,-6.84%,-7.75%,-1.90%,-2.13%,-1.91%,-0.77%,-0.43%,-0.06%,-,-,-0.00%,-0.00%,-0.00%,-,0.14%,-32.63%,-34.72%,-29.16%,-62.00%,-56.89%,-23.94%,-31.08%,-444.87%,-323.61%,-468.79%,-140.63%,54.27%,50.87%
