Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,"4,997","5,673","4,278","4,501","4,826","8,653","12,757","12,620","15,424","1,726","1,252",-,-,-,-
Market Cap Growth,-,-34.45%,-66.47%,-64.33%,-68.71%,401.44%,919.14%,-,-,-,-,-,-,-,-
Enterprise Value,"8,167","8,951","8,052","7,976","7,737","12,074","16,169","14,780","17,223","5,108","4,985",255,-,-,"4,395"
PE Ratio,-23.20,-23.20,-13.35,-11.50,-13.90,-20.76,-26.36,-27.70,-32.93,-5.84,-5.59,-,-,-,-
PS Ratio,2.85,3.31,2.72,3.21,3.86,7.73,12.95,14.49,19.29,2.53,2.21,-,-,-,-
PB Ratio,0.93,1.08,0.82,0.87,0.93,1.66,2.91,2.97,3.67,-5.88,-10.42,-,-,-,-
Debt / Equity Ratio,1.20,1.20,1.08,0.91,0.75,0.98,0.96,0.71,0.61,-13.90,-42.10,20.00,-,-,-15.00
Current Ratio,-,-,-,-,-,-,-,-,-,-,5.78,-,-,-,-
Buyback Yield / Dilution,-8.96%,-8.96%,-75.27%,-14.51%,-149.30%,-634.25%,-570.87%,-962.89%,-405.96%,-191.73%,-19.65%,-,-,-,-
Total Shareholder Return,-8.96%,-8.96%,-75.27%,-14.51%,-149.30%,-634.25%,-570.87%,-962.89%,-405.96%,-191.73%,-19.65%,-,-,-,-
