Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Market Capitalization,291,32,25,50,80,282,620,-,-,-,-,-,-
Market Cap Growth,-,-88.72%,-96.03%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,347,88,92,130,170,354,647,10,-6,-,3,-,1
PE Ratio,-0.30,-0.30,-0.28,-0.72,-1.99,-11.49,-55.26,-,-,-,-,-,-
PS Ratio,3.07,0.34,0.23,0.50,0.98,4.99,20.05,-,-,-,-,-,-
PB Ratio,3.54,0.39,0.30,0.49,0.59,6.95,-10.47,-,-,-,-,-,-
Debt / Equity Ratio,0.77,0.77,0.97,0.96,0.94,2.75,-1.17,-0.21,-0.22,-,-0.93,-,-0.44
Current Ratio,0.77,0.77,0.59,0.50,0.34,0.41,0.59,0.76,1.36,-,0.12,-,0.15
Buyback Yield / Dilution,-116.55%,-116.55%,-368.39%,-7541.46%,-249882.32%,55.36%,87.81%,-,-,-,-,-,-
Total Shareholder Return,-116.55%,-116.55%,-368.39%,-7541.46%,-249882.32%,55.36%,87.81%,-,-,-,-,-,-
