Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31
Market Capitalization,"1,197","1,449","1,696","1,791","1,853","2,113","2,091","2,031","1,767","2,103","1,639",806,795,613,"1,225","1,160","1,129",979,"1,076","1,202","1,249","1,244","1,282","1,150",874,854,622,467,-,-,-,-,-,-
Market Cap Growth,-,-31.40%,-18.88%,-11.79%,4.82%,0.45%,27.54%,151.84%,122.39%,243.27%,33.86%,-30.51%,-29.64%,-37.43%,13.84%,-3.47%,-9.59%,-21.29%,-16.08%,4.54%,42.92%,45.67%,106.03%,146.49%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,256,509,"1,154","1,967","1,186",571,511,928,285,443,615,240,440,550,"1,332","1,262","1,261","1,048","1,178","1,232","1,488","1,463","1,510","1,264",748,787,702,504,-4,-,82,-,207,177
PE Ratio,9.54,11.53,13.62,13.25,12.46,12.24,10.99,10.86,12.98,18.17,25.77,20.37,11.49,9.43,14.61,14.64,14.73,12.23,13.41,13.95,17.06,19.94,24.46,29.96,28.01,23.89,15.33,11.44,-,-,-,-,-,-
PS Ratio,2.39,2.90,3.34,3.36,3.30,3.60,3.39,3.22,2.99,3.80,3.57,2.12,2.18,1.79,3.46,3.41,3.41,2.98,3.27,3.56,3.73,3.94,4.33,4.23,3.35,3.26,2.42,1.89,-,-,-,-,-,-
PB Ratio,0.87,1.06,1.28,1.40,1.40,1.53,1.46,1.45,1.29,1.58,1.27,0.65,0.99,0.78,1.61,1.56,1.57,1.41,1.60,1.85,1.98,2.04,2.15,2.01,1.72,2.50,1.88,1.42,-,-,-,-,-,-
Debt / Equity Ratio,0.28,0.28,0.37,0.62,0.16,0.15,0.15,0.16,0.17,0.18,0.23,0.40,0.45,0.46,0.45,0.46,0.41,0.38,0.34,0.33,0.54,0.48,0.58,0.37,0.12,0.18,0.65,0.47,0.32,-,0.76,-,1.20,1.29
Dividend Yield,2.19%,0.48%,0.36%,0.34%,0.33%,0.29%,0.25%,0.26%,0.29%,0.25%,0.26%,0.36%,0.36%,0.46%,0.20%,0.21%,0.22%,0.25%,0.23%,0.15%,0.15%,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,20.10%,19.20%,16.00%,19.10%,31.70%,17.60%,10.80%,11.50%,12.10%,9.80%,7.70%,-64.30%,12.70%,450.00%,11.60%,10.40%,13.30%,12.70%,14.50%,8.70%,8.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,1.96%,1.96%,1.64%,1.01%,0.25%,-0.54%,-1.09%,-47.53%,-47.61%,-52.26%,-52.59%,-3.88%,-3.96%,-0.77%,-0.70%,-0.72%,-0.59%,-0.72%,-0.52%,-2.27%,-19.18%,-27.67%,-61.74%,-66.94%,-53.09%,-43.25%,-12.41%,-6.71%,-,-,-,-,-,-
Total Shareholder Return,4.15%,2.44%,2.00%,1.35%,0.58%,-0.25%,-0.84%,-47.28%,-47.31%,-52.01%,-52.33%,-3.52%,-3.59%,-0.32%,-0.50%,-0.50%,-0.37%,-0.47%,-0.29%,-2.11%,-19.04%,-27.67%,-61.74%,-66.94%,-53.09%,-43.25%,-12.41%,-6.71%,-,-,-,-,-,-
