Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Market Capitalization,441,378,314,424,499,"1,127","1,592","2,620",285,288,285
Market Cap Growth,-,-66.43%,-80.30%,-83.80%,74.84%,291.56%,459.70%,-,-,-,-
Enterprise Value,214,158,69,31,175,745,774,"1,797",174,105,65
PE Ratio,-1.13,-1.13,-0.94,-1.28,-2.14,-4.62,-4.29,-7.18,-0.77,-0.92,-2.01
PS Ratio,3.22,2.80,2.62,3.66,4.68,11.41,17.46,34.65,4.24,4.94,5.51
PB Ratio,0.81,0.70,0.53,0.67,0.67,1.40,1.85,2.91,-0.61,-0.74,-1.42
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-0.63,-0.73,-1.37
Current Ratio,-,-,-,-,-,-,-,-,-,-,11.23
Buyback Yield / Dilution,-3.27%,-3.27%,-111.59%,-47.59%,-475.93%,-485.20%,-202.42%,-342.74%,-695.23%,-692.34%,-744.88%
Total Shareholder Return,-3.27%,-3.27%,-111.59%,-47.59%,-475.93%,-485.20%,-202.42%,-342.74%,-695.23%,-692.34%,-744.88%
