Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,81,79,85,79,84,87,91,95,-,-,-,-,-,-,-
Market Cap Growth,-,-9.18%,-6.43%,-17.04%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,86,87,73,65,59,49,48,39,-60,-14,-7,-,-,-,45
PE Ratio,17.93,18.95,20.34,20.42,34.33,44.25,51.97,43.22,-,-,-,-,-,-,-
PS Ratio,4.65,4.70,5.19,5.13,5.81,6.48,6.98,7.32,-,-,-,-,-,-,-
PB Ratio,0.78,0.79,0.85,0.80,0.85,0.89,0.91,0.96,-,-,-,-,-,-,-
Debt / Equity Ratio,0.35,0.35,0.25,0.15,-,-,0.19,0.34,0.58,0.77,0.94,-,-,-,0.96
Dividend Yield,1.10%,-,-,-,-,1.02%,-,-,-,-,-,-,-,-,-
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,0.30%,0.30%,-,-,-127.18%,-127.18%,-127.18%,-,-,-,-,-,-,-,-
Total Shareholder Return,1.40%,0.30%,-,-,-127.18%,-126.17%,-127.18%,-,-,-,-,-,-,-,-
