Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+43 Quarters
Market Capitalization,"3,528","3,412","3,368","2,947","3,211","3,211","3,735","3,055","2,898","2,790","2,731","2,309","1,870","1,804","2,312","2,524","2,363","2,213","2,132","2,333","2,376","2,139","2,238","2,098","1,985","1,847","2,140","1,716","1,476","1,701","1,506","1,552","1,996","2,184","2,143","1,995","1,927","1,897","1,954","1,783","1,678",Upgrade
Market Cap Growth,-,6.28%,-9.84%,-3.53%,10.80%,15.09%,36.76%,32.31%,54.97%,54.61%,18.15%,-8.51%,-20.85%,-18.48%,8.46%,8.20%,-0.56%,3.48%,-4.74%,11.19%,19.73%,15.83%,4.58%,22.27%,34.43%,8.56%,42.07%,10.51%,-26.03%,-22.11%,-29.73%,-22.18%,3.57%,15.14%,9.69%,11.91%,14.84%,20.61%,38.58%,58.66%,54.18%,Upgrade
Enterprise Value,"16,080","15,953","16,647","16,946","18,153","18,770","20,172","20,415","21,203","20,597","21,094","20,623","20,675","21,171","21,618","22,296","22,603","22,998","23,158","23,593","23,885","22,447","22,659","23,283","23,835","24,531","25,716","26,070","26,822","28,052","28,646","29,350","28,975","29,046","29,104","29,732","30,383","26,509","26,961","25,843","25,561",Upgrade
PE Ratio,14.29,13.81,8.27,5.79,7.02,7.04,9.50,6.16,5.64,5.40,7.75,14.45,15.39,30.23,16.30,20.85,18.07,14.23,9.35,9.17,9.22,9.02,12.92,9.39,7.59,7.14,8.33,7.10,7.15,6.77,5.62,6.01,6.78,7.31,6.97,6.55,6.83,6.15,6.46,6.17,6.39,Upgrade
PS Ratio,2.67,2.57,2.23,1.84,2.15,2.20,2.79,2.06,1.92,1.83,2.04,2.15,1.81,1.89,2.22,2.58,2.44,2.23,2.03,2.27,2.45,2.42,2.91,2.35,2.15,2.04,2.42,2.09,1.90,1.99,1.69,1.80,2.19,2.38,2.32,2.16,2.20,2.10,2.18,2.04,2.00,Upgrade
PB Ratio,1.10,1.06,1.05,0.93,1.04,1.04,1.27,1.07,1.02,1.01,1.04,0.96,0.80,0.78,0.97,1.07,1.02,0.95,0.93,1.01,1.04,0.96,1.04,0.99,0.94,0.88,1.04,0.87,0.78,0.91,0.80,0.85,1.11,1.23,1.24,1.20,1.22,1.25,1.35,1.29,1.27,Upgrade
Debt / Equity Ratio,4.16,4.16,4.58,4.73,5.20,5.42,5.97,6.51,6.84,6.81,7.34,8.01,8.44,8.82,8.60,8.90,9.17,9.39,9.64,9.61,9.87,9.50,9.94,10.55,10.80,11.23,12.00,12.87,13.97,14.59,14.95,15.75,15.59,15.66,16.26,17.35,18.68,16.92,17.99,18.06,18.73,Upgrade
Dividend Yield,1.06%,0.28%,0.29%,0.30%,0.28%,0.28%,0.25%,0.28%,0.29%,0.30%,0.31%,0.33%,0.42%,0.44%,0.35%,0.28%,0.31%,0.33%,0.34%,0.28%,0.28%,0.31%,0.29%,0.28%,0.30%,0.32%,0.28%,0.30%,0.35%,0.30%,0.36%,0.29%,0.23%,0.21%,0.22%,0.23%,0.24%,0.25%,0.24%,0.26%,0.28%,Upgrade
Payout Ratio,15.10%,36.60%,31.00%,8.60%,10.60%,4.90%,6.90%,15.90%,10.20%,6.90%,3.60%,10.80%,9.00%,-19.80%,18.90%,21.70%,29.50%,17.50%,34.00%,15.20%,13.20%,5.80%,13.70%,12.60%,20.60%,11.90%,6.00%,6.10%,19.70%,10.80%,6.50%,9.20%,6.50%,7.10%,6.30%,5.40%,6.20%,6.30%,6.60%,7.40%,4.60%,Upgrade
Buyback Yield / Dilution,1.83%,1.83%,2.77%,3.15%,2.66%,1.46%,0.51%,-0.15%,1.18%,3.38%,3.37%,3.36%,2.11%,1.03%,2.24%,2.71%,2.05%,1.41%,0.47%,1.36%,3.40%,3.17%,3.09%,2.55%,0.73%,1.85%,5.61%,5.34%,7.21%,6.92%,3.37%,2.98%,1.25%,0.51%,0.24%,0.14%,0.21%,0.28%,1.65%,2.03%,1.70%,Upgrade
Total Shareholder Return,2.89%,2.12%,3.06%,3.45%,2.94%,1.74%,0.76%,0.13%,1.47%,3.69%,3.68%,3.69%,2.53%,1.48%,2.59%,3.00%,2.35%,1.74%,0.82%,1.64%,3.68%,3.48%,3.38%,2.83%,1.02%,2.17%,5.89%,5.64%,7.55%,7.22%,3.73%,3.27%,1.48%,0.72%,0.46%,0.37%,0.45%,0.52%,1.88%,2.29%,1.98%,Upgrade
