Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,441,408,167,342,232,936,"1,150","1,204",522,-,-,-,-,-,-
Market Cap Growth,-,-56.42%,-85.50%,-71.59%,-55.60%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,201,176,30,186,77,617,819,828,318,-227,-68,-,-,-,-3
PE Ratio,-2.96,-2.96,-0.94,-2.70,-2.49,-32.64,-20.24,23.23,15.58,-,-,-,-,-,-
PS Ratio,5.14,4.84,1.52,2.42,1.46,6.05,8.47,11.86,7.68,-,-,-,-,-,-
PB Ratio,1.27,1.20,0.65,0.91,0.59,1.81,2.60,2.43,1.86,-,-,-,-,-,-
Debt / Equity Ratio,0.10,0.10,0.13,0.10,0.10,0.07,0.07,0.02,0.02,0.00,0.22,-,-,-,0.61
Current Ratio,9.85,9.85,8.15,9.57,10.61,20.13,17.96,22.42,18.54,33.08,3.55,-,-,-,3.50
Buyback Yield / Dilution,-29.62%,-28.75%,-33.94%,-24.67%,-37.69%,-40.25%,-56.11%,-60.79%,-41.25%,-40.42%,-4.97%,-,-,-,-
Total Shareholder Return,-29.62%,-28.75%,-33.94%,-24.67%,-37.69%,-40.25%,-56.11%,-60.79%,-41.25%,-40.42%,-4.97%,-,-,-,-
